Module,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_maxSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_minSpeed,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_startTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_stopTime,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalDistance,/veins-4.4/examples/pveins_providencia/results/nodebug-0.sca_nodebug-0-20170522-15:36:52-10336_totalTime
RSUExampleScenario.node[43].veinsmobility,15,0,27014.5,27105,245.838,1100.24,90
RSUExampleScenario.node[19].veinsmobility,15.65,0,27006.5,27108,301.325,1334.89,101
RSUExampleScenario.node[186].veinsmobility,16.25,0,27050.5,27110.5,187.721,680.245,59.5
RSUExampleScenario.node[227].veinsmobility,16.25,6.9,27061,27115,176.238,672.577,53.5
RSUExampleScenario.node[16].veinsmobility,23.15,0,27006,27119.5,336.383,1144.59,113
RSUExampleScenario.node[208].veinsmobility,16.1504,0,27055.5,27120,139.211,285.255,64
RSUExampleScenario.node[80].veinsmobility,16.2022,0,27023.5,27122,244.855,1029.16,98
RSUExampleScenario.node[357].veinsmobility,15.2626,4.35226,27097,27126,84.4382,273.161,28.5
RSUExampleScenario.node[38].veinsmobility,18.15,0,27013.5,27127.5,287.023,973.534,113.5
RSUExampleScenario.node[379].veinsmobility,15.0063,6.9,27101,27128,74.2794,273.729,26.5
RSUExampleScenario.node[138].veinsmobility,15.4825,3.15775,27038,27128,225.414,1060.25,89.5
RSUExampleScenario.node[8].veinsmobility,22.5,0,27003,27128.5,455.165,1282.16,125
RSUExampleScenario.node[61].veinsmobility,16.9,6.9,27017.5,27128.5,354.859,1568.3,110.5
RSUExampleScenario.node[46].veinsmobility,19.4,0,27015,27128.5,278.776,976.667,113
RSUExampleScenario.node[98].veinsmobility,19.5,0,27027.5,27130,280.277,980.404,102
RSUExampleScenario.node[71].veinsmobility,19.75,0,27021,27130,294.807,992.246,108.5
RSUExampleScenario.node[21].veinsmobility,18.5,0,27007.5,27130.5,300.84,991.492,122.5
RSUExampleScenario.node[42].veinsmobility,17.8252,0,27014,27132.5,351.572,1153.24,118
RSUExampleScenario.node[320].veinsmobility,16.25,0,27087,27133.5,120.988,279.773,46
RSUExampleScenario.node[154].veinsmobility,19.25,0,27043,27133.5,261.142,980.728,90
RSUExampleScenario.node[143].veinsmobility,15.65,0,27040,27133.5,223.218,1037.25,93
