Module,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_maxSpeed,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_minSpeed,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_startTime,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_stopTime,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_totalDistance,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_totalTime
ProvidenciaExampleScenario.node[11].veinsmobility,16.25,6.9,27008,27029,82.3489,278.286,20.5
ProvidenciaExampleScenario.node[15].veinsmobility,16.5004,6.9,27015,27035.5,84.5189,276.568,20
ProvidenciaExampleScenario.node[0].veinsmobility,18.5987,6.9,27000.5,27049,171.3,769.415,48
ProvidenciaExampleScenario.node[8].veinsmobility,19.5324,6.9,27007,27053.5,182.609,766.922,46
ProvidenciaExampleScenario.node[14].veinsmobility,15.1412,3.5,27014.5,27061,144.861,590.812,46
ProvidenciaExampleScenario.node[13].veinsmobility,16.25,6.9,27010.5,27065,176.325,748.407,54
ProvidenciaExampleScenario.node[9].veinsmobility,16,3.5,27007,27067,186.868,856.048,59.5
ProvidenciaExampleScenario.node[20].veinsmobility,19.6,6.9,27016.5,27068,188.778,747.573,51
ProvidenciaExampleScenario.node[16].veinsmobility,16.7699,3.5,27015,27072,194.957,856.152,56.5
ProvidenciaExampleScenario.node[23].veinsmobility,16.25,6.9,27018.5,27072.5,161.482,749.762,53.5
ProvidenciaExampleScenario.node[5].veinsmobility,15.65,0,27003.5,27073.5,181.848,495.821,69.5
ProvidenciaExampleScenario.node[17].veinsmobility,15.65,0,27015.5,27075.5,165.124,484.049,59.5
ProvidenciaExampleScenario.node[41].veinsmobility,16.25,6.9,27039,27086.5,150.613,638.368,47
ProvidenciaExampleScenario.node[12].veinsmobility,15.65,0,27008,27087.5,183.976,638.673,79
ProvidenciaExampleScenario.node[50].veinsmobility,15.5,5.4,27052,27091.5,128.784,497.032,39
ProvidenciaExampleScenario.node[52].veinsmobility,19.6171,5.7,27052.5,27112,195.283,913.711,59
ProvidenciaExampleScenario.node[112].veinsmobility,15.65,6.9,27103.5,27112.5,37.1136,104.787,8.5
ProvidenciaExampleScenario.node[33].veinsmobility,15.65,0,27031.5,27116.5,148.734,275.172,84.5
ProvidenciaExampleScenario.node[47].veinsmobility,16.4927,7.1,27050,27121.5,201.622,1010.05,71
ProvidenciaExampleScenario.node[70].veinsmobility,15,0,27066.5,27122,110.973,273.15,55
ProvidenciaExampleScenario.node[134].veinsmobility,15.65,6.9,27113.5,27122.5,37.477,105.043,8.5
ProvidenciaExampleScenario.node[4].veinsmobility,16.25,0,27002,27122.5,267.827,1038.94,120
ProvidenciaExampleScenario.node[45].veinsmobility,16.25,6.51785,27049,27126,222.394,1034.84,76.5
ProvidenciaExampleScenario.node[31].veinsmobility,18.15,0,27028.5,27128,267.149,974.817,99
ProvidenciaExampleScenario.node[37].veinsmobility,19.4,0,27034,27129.5,264.363,979.381,95
ProvidenciaExampleScenario.node[28].veinsmobility,19.2353,0,27025.5,27130,301.491,988.139,104
ProvidenciaExampleScenario.node[21].veinsmobility,15.8606,0,27017.5,27136.5,305.86,1190.03,118.5
ProvidenciaExampleScenario.node[22].veinsmobility,22.2389,0,27017.5,27137,324.414,915.166,119
ProvidenciaExampleScenario.node[74].veinsmobility,15.5,0,27068,27137.5,164.62,458.697,69
ProvidenciaExampleScenario.node[96].veinsmobility,15.65,1.24751,27089,27139.5,157.452,621.499,50
ProvidenciaExampleScenario.node[48].veinsmobility,16.25,0,27050.5,27143,257.782,1063.87,92
ProvidenciaExampleScenario.node[78].veinsmobility,16.25,6.9,27071.5,27145,202.714,1034.89,73
ProvidenciaExampleScenario.node[30].veinsmobility,21.9,0,27026.5,27145.5,403.248,1242.67,118.5
ProvidenciaExampleScenario.node[26].veinsmobility,22.75,0,27024,27146,315.765,851.293,121.5
ProvidenciaExampleScenario.node[3].veinsmobility,21.2414,0,27001.5,27146.5,324.081,844.022,144.5
ProvidenciaExampleScenario.node[27].veinsmobility,15.65,0,27024.5,27148,267.503,805.275,123
ProvidenciaExampleScenario.node[67].veinsmobility,20.5,0,27063,27152.5,260.985,764.838,89
ProvidenciaExampleScenario.node[1].veinsmobility,22.5,0,27000.5,27154,469.641,1615.76,153
ProvidenciaExampleScenario.node[73].veinsmobility,19.25,0,27067,27154,234.899,767.987,86.5
ProvidenciaExampleScenario.node[92].veinsmobility,20.1741,0,27087.5,27154,223.142,769.017,66
ProvidenciaExampleScenario.node[43].veinsmobility,18.3017,0,27047,27155.5,249.283,767.695,108
