"(PDH-CSV 4.0) (Hora est. Sudamérica Pacífico)(240)","\\ARACHNID92ROG\Disco físico(_Total)\Escrituras en disco/s","\\ARACHNID92ROG\Disco físico(_Total)\Lecturas de disco/s","\\ARACHNID92ROG\Disco físico(_Total)\Transferencias de disco/s","\\ARACHNID92ROG\Información del procesador(_Total)\% de frecuencia máxima","\\ARACHNID92ROG\Información del procesador(_Total)\% de rendimiento del procesador","\\ARACHNID92ROG\Información del procesador(_Total)\% de utilidad del procesador","\\ARACHNID92ROG\Información del procesador(_Total)\% de tiempo de procesador","\\ARACHNID92ROG\Memoria\Mbytes disponibles"
"05/31/2017 14:55:43.270"," "," "," ","100"," "," "," ","6295"
"05/31/2017 14:55:48.204","12.569549448191619","0","12.569549448191619","100","131.80785652585249","5.128995000017607","2.0163137894567806","6308"
"05/31/2017 14:55:53.212","22.165228036459347","0","22.165228036459347","100","130.97818131320557","5.0556825555781879","1.7954199513474878","6300"
"05/31/2017 14:55:58.214","5.9972944550533409","3.5983766730320048","9.5956711280853462","100","131.78186823853309","4.7142161781830616","1.2541985356215424","6305"
"05/31/2017 14:56:03.214","2.1997664079839683","0","2.1997664079839683","100","132.63425825422826","4.2450016167617779","0.63366871874097619","6310"
"05/31/2017 14:56:08.214","4.8001546231565859","3.6001159673674397","8.4002705905240251","100","132.23092151511392","8.078781782638492","3.6314801870561797","6236"
"05/31/2017 14:56:13.209","6.4066762555539896","0.8008345319442487","7.2075107874982383","100","131.65787525986016","22.944226750054771","14.285177723439945","5917"
"05/31/2017 14:56:18.214","41.95759202614876","4.5953553171496262","46.552947343298392","100","131.0524918611373","10.871338400289996","6.1875999250349922","5955"
"05/31/2017 14:56:23.215","14.998631109836777","0.19998174813115704","15.198612857967936","100","130.28865707986444","28.755827190238836","20.555373397261434","5928"
"05/31/2017 14:56:28.212","16.808250162739242","3.6017678920155518","20.410018054754794","100","130.40339796657119","26.179275186021897","18.514477783917695","5928"
"05/31/2017 14:56:33.202","16.2340714478478","1.6033650812689184","17.837436529116719","100","130.32120452723646","30.14997851161101","21.123851597078204","6070"
"05/31/2017 14:56:38.211","12.775581629643359","3.7927507963003722","16.56833242594373","100","130.24661085062777","32.230735892256909","22.374691271633996","6015"
"05/31/2017 14:56:43.216","12.988227981497957","0","12.988227981497957","100","130.5490582042992","23.938994119675659","16.911344278613385","6016"
"05/31/2017 14:56:48.213","10.004964551051739","3.601787238378626","13.606751789430366","100","130.56072170292111","23.716554783972558","16.677635412417903","6066"
"05/31/2017 14:56:53.201","5.613983055274403","0","5.613983055274403","100","130.46550275127188","23.88560255578593","16.47158497738095","6066"
"05/31/2017 14:56:58.207","3.1957798480236881","3.5952523290266494","6.7910321770503375","100","130.58717210576819","23.47795524375482","16.476131522609794","6066"
"05/31/2017 14:57:03.206","31.409671350972268","0","31.409671350972268","100","131.93737543513376","21.622881088218755","14.701752151630821","6060"
"05/31/2017 14:57:08.203","3.401689559563938","3.60178894542064","7.003478504984578","100","132.94469584499635","20.003840522424795","13.785584358745984","6051"
"05/31/2017 14:57:13.204","10.398926941845046","0","10.398926941845046","100","132.8806072872845","20.606623626985218","13.759301921694721","6047"
"05/31/2017 14:57:18.212","13.776189216650909","3.5937884913002374","17.369977707951147","100","132.86256369165022","20.387187650832875","13.857996183235832","6030"
"05/31/2017 14:57:23.200","7.8196156532072649","0","7.8196156532072649","100","133.06478145950024","19.938957580224493","13.651773078298435","6038"
"05/31/2017 14:57:28.213","8.9756985112122649","3.5902794044849058","12.565977915697172","100","133.00469934001467","20.564700157633574","14.138825597550886","6022"
"05/31/2017 14:57:33.205","3.0050874693752596","0","3.0050874693752596","100","133.10168634771483","20.074618097844137","13.486240658648697","6019"
"05/31/2017 14:57:38.215","13.374566651268868","3.5931671600423827","16.967733811311252","100","133.18302609756563","19.819352062864652","13.524158903759353","6031"
"05/31/2017 14:57:43.204","6.8142158749126551","0","6.8142158749126551","100","133.08515494372523","19.874125922812844","13.569223115684304","6034"
"05/31/2017 14:57:48.215","7.9830897188736669","4.9894310742960419","12.972520793169709","100","133.16778656663109","20.092180922373331","13.814288082442083","6028"
"05/31/2017 14:57:53.204","16.634861390042769","0.20042001674750323","16.835281406790273","100","132.97257912782354","20.263643849436789","13.647744774058534","6023"
"05/31/2017 14:57:58.207","23.388516285849271","3.9980369719400461","27.386553257789316","100","132.46698726207933","22.554202963693399","15.433321715865656","6073"
"05/31/2017 14:58:03.209","4.9974417093232564","1.3992836786105118","6.3967253879337687","100","132.60159020390071","22.66189781925053","15.550597756164775","6041"
"05/31/2017 14:58:08.211","8.7973169171066257","3.5989023751799833","12.396219292286609","100","133.00789137029105","20.25279426217682","13.659090719148725","6046"
"05/31/2017 14:58:13.210","3.6003405332652396","0","3.6003405332652396","100","132.5332239509807","22.297348061342703","15.578059744535356","6032"
"05/31/2017 14:58:18.208","30.614852966790007","3.6017474078576477","34.216600374647655","100","131.84434775930717","28.206841520406677","19.921675198916521","6022"
"05/31/2017 14:58:23.203","11.210098438279113","0","11.210098438279113","100","133.17310490846975","20.219304963897862","13.75103667658153","6021"
"05/31/2017 14:58:28.212","7.9863269419852658","3.5938471238933696","11.580174065878635","100","133.09155628017191","20.434155093537658","13.975076935074892","6044"
"05/31/2017 14:58:33.206","16.618205707735058","0","16.618205707735058","100","133.01875014210916","20.345035570188447","13.811937851112955","6046"
"05/31/2017 14:58:38.213","5.392936748366604","3.595291165577736","8.9882279139443408","100","133.12499473311436","20.926002694710494","14.720919331932214","6048"
