module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed
node[87],16.6391,0.0,27015.5,27088.5,183.83599999999998,602.895,72.5,True,1,0,8.315793103448275
node[53],16.2035,0.0,27010.0,27089.0,191.477,640.5459999999999,78.5,True,1,0,8.159821656050955
node[76],16.25,0.0,27014.0,27089.0,197.578,665.765,74.5,True,0,0,8.936442953020133
node[219],19.25,3.5,27033.0,27089.0,194.52900000000002,772.752,55.5,True,0,0,13.923459459459458
node[177],18.45,3.5,27026.5,27090.0,209.74200000000002,901.118,63.0,True,0,0,14.303460317460319
node[16],19.1421,0.0,27002.5,27090.5,254.575,867.898,87.5,True,1,0,9.918834285714286
node[123],15.85,0.0,27020.5,27090.5,182.674,651.139,69.5,True,0,0,9.368906474820143
node[191],19.4089,3.99054,27029.0,27090.5,211.149,863.857,61.0,True,0,0,14.161590163934425
node[170],16.25,0.0,27025.5,27090.5,211.674,882.681,64.5,True,0,0,13.684976744186047
node[128],15.4383,0.0,27021.0,27091.0,177.178,669.96,69.5,True,1,0,9.639712230215828
node[197],16.25,3.7,27030.5,27091.0,205.30599999999998,840.666,60.0,True,0,0,14.0111
node[339],16.1938,6.9,27050.5,27091.0,131.886,498.03,40.0,True,0,0,12.45075
node[68],21.5384,-1.87306,27012.5,27091.5,224.898,681.5010000000001,78.5,True,0,0,8.681541401273886
node[194],16.45,5.28805,27029.5,27091.5,209.06,869.37,61.5,True,0,0,14.13609756097561
node[193],15.0988,1.42369,27029.5,27092.0,161.088,637.206,62.0,True,1,0,10.277516129032259
node[226],16.4403,4.3766099999999994,27034.5,27092.0,184.84400000000002,655.692,57.0,True,1,0,11.503368421052631
node[183],20.75,0.0,27028.0,27093.5,287.18,925.29,65.0,True,2,0,14.23523076923077
node[223],16.3381,1.26221,27034.0,27094.5,161.724,640.387,60.0,True,1,0,10.673116666666665
