Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_maxSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_minSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_startTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_stopTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalDistance,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalTime
ProvidenciaExampleScenario.node[52].veinsmobility,22.5,0,27009.5,27255,583.911,1407.15,245
ProvidenciaExampleScenario.node[53].veinsmobility,16.2035,0,27010,27089,191.477,640.546,78.5
ProvidenciaExampleScenario.node[54].veinsmobility,17.5,0,27010,27287.5,691.282,2307.23,277
ProvidenciaExampleScenario.node[55].veinsmobility,15.65,0,27010,27142.5,322.186,1037.34,132
ProvidenciaExampleScenario.node[56].veinsmobility,15.4239,0,27010.5,27227,423.265,1544.14,216
ProvidenciaExampleScenario.node[57].veinsmobility,16.6927,5.5,27010.5,27073.5,199.197,879.372,62.5
ProvidenciaExampleScenario.node[58].veinsmobility,18.75,5.7,27011.5,27057,150.17,676.903,45
ProvidenciaExampleScenario.node[59].veinsmobility,15.65,0,27011.5,27171.5,337.163,1091.75,159.5
ProvidenciaExampleScenario.node[60].veinsmobility,15,0,27011.5,27145,299.732,1077.23,133
ProvidenciaExampleScenario.node[61].veinsmobility,23.15,0,27011.5,27276,620.592,1615.69,264
ProvidenciaExampleScenario.node[62].veinsmobility,16.25,0,27012,27270,600.905,1853.75,257.5
ProvidenciaExampleScenario.node[63].veinsmobility,23.2,0,27012,27134.5,425.283,1281.02,122
ProvidenciaExampleScenario.node[64].veinsmobility,16.25,7.1,27012,27067,173.669,761.505,54.5
ProvidenciaExampleScenario.node[65].veinsmobility,19.25,0,27012,27204.5,483.195,1561.15,192
ProvidenciaExampleScenario.node[66].veinsmobility,18.2373,0,27012,27205,522.708,1718.54,192.5
ProvidenciaExampleScenario.node[67].veinsmobility,23.7598,0,27012,27223.5,552.771,1526.9,211
ProvidenciaExampleScenario.node[68].veinsmobility,21.5384,-1.87306,27012.5,27091.5,224.844,681.484,78.5
ProvidenciaExampleScenario.node[69].veinsmobility,15.5074,0,27012.5,27249,506.641,1371.03,236
ProvidenciaExampleScenario.node[70].veinsmobility,15.4906,3.5,27012.5,27073.5,182.374,842.417,60.5
ProvidenciaExampleScenario.node[71].veinsmobility,16.2936,0,27012.5,27102,255.059,909.292,89
ProvidenciaExampleScenario.node[72].veinsmobility,15.5279,0,27013,27155.5,289.584,914.207,142
ProvidenciaExampleScenario.node[73].veinsmobility,21.4415,0,27013.5,27158.5,417.26,1411.26,144.5
ProvidenciaExampleScenario.node[74].veinsmobility,20.5,0,27013.5,27244,542.711,1782.76,230
ProvidenciaExampleScenario.node[75].veinsmobility,15.93,4.97647,27013.5,27078,208.574,881.36,64
ProvidenciaExampleScenario.node[76].veinsmobility,16.25,0,27014,27089,197.578,665.765,74.5
ProvidenciaExampleScenario.node[77].veinsmobility,21.9,0,27014,27136.5,326.222,903.44,122
