time,ProvidenciaExampleScenario.manager.vehiclesinsim
27000,0
27060,373
27120,645
27180,845
27240,1055
27300,1131
27360,1262
27420,1357
27480,1444
27540,1482
27600,1578
27660,1596
27720,1738
27780,1739
27840,1884
27900,1927
