time,ProvidenciaExampleScenario.node[4659].veinsmobility.speed
27695,7.1
27695.5,8.35
27696,9.6
27696.5,10.5186
27697,11.052
27697.5,11.3912
27698,11.5394
27698.5,12.0559
27699,12.3217
27699.5,12.4547
27700,12.7791
27700.5,12.9013
27701,12.0772
27701.5,10.5383
27702,9.32909
27702.5,9.32909
27703,8.82413
27703.5,8.63578
27704,8.59818
27704.5,8.05585
27705,7.43122
27705.5,7.14624
27706,7.06219
27706.5,6.99616
27707,4.78132
27707.5,4.78132
27708,4.77518
27708.5,4.83424
27709,5.05718
27709.5,5.26098
27710,5.28471
27710.5,4.36508
27711,4.36508
27711.5,4.07237
27712,3.97682
27712.5,2.99676
27713,2.99676
27713.5,3.1218
27714,2.93974
27714.5,2.90345
27715,3.0532
27715.5,3.20342
27716,3.03526
27716.5,0.457016
27717,0.457016
27717.5,0.957016
27718,1.31255
27718.5,1.51236
27719,1.58566
27719.5,1.52887
27720,1.43357
27720.5,1.3342
27721,0.630044
27721.5,0
27722,0.56565
27722.5,0.820917
27723,0
27723.5,0
27724,0.18211
27724.5,0
27725,0
27725.5,0
27726,0.152688
27726.5,0.267503
27727,0.357779
27727.5,0
27728,0
27728.5,0
27729,0
27729.5,0.316398
27730,0
27730.5,0.393996
27731,0.437007
27731.5,0
27732,0.046056
27732.5,0.0911725
27733,0.391058
27733.5,0
27734,0.0465047
27734.5,0.096472
27735,0.147587
27735.5,0.194458
27736,0.231729
27736.5,0.258962
27737,0
27737.5,0.0517866
27738,0.105911
27738.5,0.15981
27739,0.208523
27739.5,0.247112
27740,0.274748
27740.5,0
27741,0.0525059
27741.5,0.106515
27742,0.157408
27742.5,0.200614
27743,0.234425
27743.5,0.263911
27744,0
27744.5,0.0494002
27745,0.0987775
27745.5,0.402409
27746,0
27746.5,0.339959
27747,0.657828
27747.5,0.733114
27748,1.04973
27748.5,1.39259
27749,1.78337
27749.5,2.20518
27750,2.72158
27750.5,3.22375
27751,3.7309
27751.5,4.33888
27752,5.03875
27752.5,5.79314
27753,6.63586
27753.5,7.53353
27754,8.4702
27754.5,9.52389
27755,10.2869
27755.5,10.827
27756,10.9613
27756.5,11
27757,11
27757.5,11
27758,11
27758.5,11
27759,11
27759.5,11
27760,10.7902
27760.5,10.6617
27761,10.6202
27761.5,10.5974
27762,10.6949
27762.5,10.8099
27763,10.198
27763.5,8.58605
27764,8.58605
27764.5,6.33605
27765,6.33605
27765.5,6.83605
27766,7.83605
27766.5,8.41633
27767,8.73146
27767.5,9.1087
27768,9.43884
27768.5,9.56894
27769,9.655
27769.5,9.65125
27770,9.64598
27770.5,9.6297
27771,9.52475
27771.5,9.36256
27772,8.95972
27772.5,8.23391
27773,8.23391
27773.5,8.32189
27774,6.07189
27774.5,3.82189
27775,3.82189
27775.5,4.32189
27776,5.17507
27776.5,5.25487
27777,4.09403
27777.5,2.19445
27778,2.19445
27778.5,2.2937
27779,2.33834
27779.5,2.26771
27780,0.94722
27780.5,0
27781,0
27781.5,0.5
27782,1.5
27782.5,1.38207
27783,1.76414
27783.5,1.56475
27784,1.46954
27784.5,1.87433
27785,1.64021
27785.5,1.4679
27786,1.31895
27786.5,1.40911
27787,1.32779
27787.5,1.17255
27788,1.09958
27788.5,0.836229
27789,0
27789.5,0.0545814
27790,0.110533
27790.5,0.167937
27791,0.226635
27791.5,0.286476
27792,0.314577
27792.5,0
27793,0.312336
27793.5,0.338544
27794,0
27794.5,0.0610512
27795,0.499969
27795.5,0
27796,0.415808
27796.5,0.479266
27797,0
27797.5,0.0623229
27798,0.123875
27798.5,0.184222
27799,0.244144
27799.5,0.304937
27800,0.339287
27800.5,0
27801,0.0595867
27801.5,0.120208
27802,0.1818
27802.5,0.244059
27803,0.285313
27803.5,0.313342
27804,0
27804.5,0.0554796
27805,0.384481
27805.5,0.419531
27806,0.453906
27806.5,0
27807,0.0480043
27807.5,0.0958175
27808,0.141375
27808.5,0.183054
27809,0.234417
27809.5,0.286447
27810,0
27810.5,0.0490294
27811,0.0977821
27811.5,0.144071
27812,0.194146
27812.5,0.245041
27813,0.296324
27813.5,0
27814,0.049248
27814.5,0.0981136
27815,0.146704
27815.5,0.195959
27816,0.245441
27816.5,0.294651
27817,0.343044
27817.5,0.39118
27818,0
27818.5,0.0529426
27819,0.104574
27819.5,0.152382
27820,0.197853
27820.5,0.242969
27821,0.287502
27821.5,0
27822,0.050812
27822.5,0.100382
27823,0.1528
27823.5,0.195204
27824,0.227435
27824.5,0.272578
27825,0
27825.5,0.0552325
27826,0.109123
27826.5,0.44726
27827,0
27827.5,0.43061
27828,0.488848
27828.5,0
27829,0.0551459
27829.5,0.109651
27830,0.163175
27830.5,0.216614
27831,0.271437
27831.5,0.296786
27832,0.333397
27832.5,0
27833,0.0599869
27833.5,0.122183
27834,0.187508
27834.5,0.648559
27835,0
27835.5,0.068377
27836,0.135212
27836.5,0.584848
27837,0
27837.5,0.48512
27838,0.510678
27838.5,0.547778
27839,0.601288
27839.5,0
27840,0.0623557
27840.5,0.123166
27841,0.179394
27841.5,0.22838
27842,0.277941
27842.5,0.310294
27843,0
27843.5,0.0551468
27844,0.112437
27844.5,0.166566
27845,0.212995
27845.5,0.266219
27846,0
27846.5,0.0554295
27847,0.422901
27847.5,0.465309
27848,0.508043
27848.5,0.551325
27849,0.594648
27849.5,0
27850,0.0482499
27850.5,0.096659
27851,0.146398
27851.5,0.18478
27852,0.232072
27852.5,0.690365
27853,0
27853.5,0.0540585
27854,0.429586
27854.5,0
27855,0.358076
27855.5,0.407121
27856,0.460086
27856.5,0.515997
27857,0.57463
27857.5,0
27858,0.0544033
27858.5,0.444142
27859,0
