time,ProvidenciaExampleScenario.node[60].veinsmobility.speed
27012,6.9
27012.5,8.15
27013,9.4
27013.5,10.65
27014,11.9
27014.5,13.15
27015,14.4
27015.5,14.15
27016,14.0137
27016.5,13.9455
27017,13.9114
27017.5,13.8944
27018,13.8858
27018.5,13.8816
27019,13.8794
27019.5,13.8784
27020,13.8778
27020.5,13.8776
27021,13.8774
27021.5,13.8774
27022,12.8773
27022.5,11
27023,11
27023.5,11
27024,11
27024.5,11.5
27025,12.5
27025.5,13.75
27026,15
27026.5,14.75
27027,14.5
27027.5,14.25
27028,14.0637
27028.5,13.9705
27029,13.9239
27029.5,13.9006
27030,13.889
27030.5,13.8831
27031,13.8802
27031.5,13.8788
27032,13.878
27032.5,13.8777
27033,13.8775
27033.5,13.8774
27034,13.8774
27034.5,13.8773
27035,13.8773
27035.5,13.8773
27036,13.8773
27036.5,13.8773
27037,13.8773
27037.5,13.8773
27038,12.9632
27038.5,12.9632
27039,12.0263
27039.5,11.1583
27040,10.3538
27040.5,9.60786
27041,8.91584
27041.5,8.2735
27042,7.67694
27042.5,7.12256
27043,6.60702
27043.5,6.12724
27044,5.6804
27044.5,5.26384
27045,4.87515
27045.5,4.51206
27046,4.1725
27046.5,3.85452
27047,3.55633
27047.5,3.27627
27048,3.01281
27048.5,2.76451
27049,2.53008
27049.5,2.30831
27050,2.09811
27050.5,1.8985
27051,1.70864
27051.5,1.52783
27052,1.35552
27052.5,1.19137
27053,1.0353
27053.5,0.887499
27054,0
27054.5,0.0668621
27055,0.131977
27055.5,0.191815
27056,0.242973
27056.5,0.282455
27057,0.307962
27057.5,0
27058,0.0503775
27058.5,0.0991077
27059,0.142869
27059.5,0.17853
27060,0
27060.5,0.0421511
27061,0.0827785
27061.5,0.118815
27062,0.147408
27062.5,0
27063,0.0342084
27063.5,0.0670628
27064,0.0958424
27064.5,0
27065,0.0297454
27065.5,0.0582547
27066,0
27066.5,0.0276399
27067,0.172081
27067.5,0.794374
27068,1.73052
27068.5,2.82359
27069,3.99513
27069.5,5.2059
27070,5.81128
27070.5,6.73898
27071,7.82782
27071.5,8.99724
27072,10.207
27072.5,11.457
27073,12.707
27073.5,12.1353
27074,12.1353
27074.5,12.6353
27075,13.6353
27075.5,14.8853
27076,14.6353
27076.5,14.3853
27077,14.2528
27077.5,14.1866
27078,14.032
27078.5,13.9546
27079,13.916
27079.5,13.8966
27080,14.087
27080.5,13.9821
27081,13.9297
27081.5,13.9035
27082,13.8904
27082.5,13.8197
27083,13.5893
27083.5,13.1472
27084,12.4305
27084.5,11.9544
27085,10.9452
27085.5,10.0236
27086,9.18149
27086.5,8.41141
27087,7.70671
27087.5,7.06133
27088,6.46977
27088.5,5.92704
27089,5.4286
27089.5,4.82169
27090,4.15537
27090.5,3.58527
27091,3.08557
27091.5,2.63706
27092,2.25531
27092.5,2.11737
27093,1.8522
27093.5,1.61234
27094,1.3946
27094.5,1.19639
27095,1.01571
27095.5,0.851171
27096,0
27096.5,0.0652023
27097,0.110066
27097.5,0.429853
27098,1.05227
27098.5,2.17469
27099,3.42469
27099.5,4.5316
27100,5.57474
27100.5,6.65364
27101,7.78426
27101.5,8.34957
27102,9.24031
27102.5,10.1038
27103,10.6434
27103.5,11
27104,11.8566
27104.5,13.0373
27105,14.2459
27105.5,14.0616
27106,13.9695
27106.5,13.9234
27107,13.9004
27107.5,13.8888
27108,13.8831
27108.5,13.8802
27109,13.8788
27109.5,13.878
27110,13.8777
27110.5,13.8775
27111,13.8774
27111.5,13.8774
27112,13.8773
27112.5,13.8773
27113,13.8773
27113.5,13.8773
27114,13.8773
27114.5,13.8773
27115,13.8773
27115.5,13.3778
27116,12.7127
27116.5,11.9638
27117,11.2494
27117.5,10.6237
27118,9.77727
27118.5,8.57701
27119,7.71613
27119.5,7.03028
27120,6.43127
27120.5,5.89326
27121,5.4031
27121.5,4.95206
27122,4.53699
27122.5,4.15498
27123,3.80238
27123.5,3.47586
27124,3.17349
27124.5,2.89346
27125,2.63303
27125.5,2.38966
27126,2.16235
27126.5,1.94925
27127,1.74864
27127.5,1.56028
27128,1.38276
27128.5,1.21436
27129,1.05483
27129.5,0.90421
27130,0
27130.5,0.0677089
27131,0.133671
27131.5,0.194354
27132,0.246354
27132.5,0.287288
27133,0
27133.5,0.414629
27134,1.16565
27134.5,2.16616
27135,3.29141
27135.5,4.47904
27136,5.69785
27136.5,6.93226
27137,8.17446
27137.5,9.42056
27138,10.6706
27138.5,11.9206
27139,13.1706
27139.5,14.4206
27140,14.1706
27140.5,14.0239
27141,13.9506
27141.5,13.914
27142,13.8956
27142.5,13.8865
27143,13.8819
27143.5,13.8796
27144,13.8785
27144.5,13.8779
