time,ProvidenciaExampleScenario.node[1058].veinsmobility.speed
27158,6.9
27158.5,8.15
27159,8.94726
27159.5,9.07741
27160,9.19903
27160.5,7.32783
27161,7.32783
27161.5,5.38327
27162,5.38327
27162.5,5.25068
27163,4.98847
27163.5,4.24545
27164,4.24545
27164.5,2.12254
27165,2.12254
27165.5,2.62254
27166,3.62254
27166.5,3.69533
27167,3.53638
27167.5,3.07325
27168,2.5769
27168.5,1.626
27169,1.626
27169.5,2.126
27170,3.126
27170.5,4.376
27171,5.48163
27171.5,5.3982
27172,5.18379
27172.5,4.96134
27173,3.73888
27173.5,1.51643
27174,0.736071
27174.5,0.551806
27175,0.874682
27175.5,1.64413
27176,1.35879
27176.5,1.57345
27177,2.2881
27177.5,2.70822
27178,3.4695
27178.5,4.37697
27179,5.21656
27179.5,5.86103
27180,6.32469
27180.5,6.65786
27181,6.90067
27181.5,7.07008
27182,7.11552
27182.5,7.05617
27183,5.99682
27183.5,3.93747
27184,0.783596
27184.5,-0.741825
27185,0
27185.5,0
27186,0
27186.5,0
27187,0
27187.5,0
27188,0
27188.5,0
27189,0
27189.5,0.0994349
27190,0.304069
27190.5,0.504855
27191,0
27191.5,0.183535
27192,0
27192.5,0
27193,0
27193.5,0.0583158
27194,0.113857
27194.5,0.297435
27195,0.525493
27195.5,0.900831
27196,1.60222
27196.5,2.65293
27197,3.34467
27197.5,3.77953
27198,4.03756
27198.5,4.13021
27199,4.18746
27199.5,4.56202
27200,5.43657
27200.5,6.4683
27201,6.56527
27201.5,6.66121
27202,6.78238
27202.5,6.44111
27203,5.98324
27203.5,5.85694
27204,5.45647
27204.5,5.10699
27205,4.75576
27205.5,4.36474
27206,3.99102
27206.5,3.70519
27207,3.51635
27207.5,3.37556
27208,3.28665
27208.5,3.29108
27209,3.25693
27209.5,3.47362
27210,3.79011
27210.5,4.22059
27211,4.94602
27211.5,5.22539
27212,2.97539
27212.5,2.97539
27213,2.75848
27213.5,3.04157
27214,3.82466
27214.5,5.07466
27215,6.32466
27215.5,7.57466
27216,7.94994
