time,ProvidenciaExampleScenario.node[4887].veinsmobility.speed
27731,4.48241
27731.5,4.495
27732,4.48814
27732.5,4.0734
27733,3.71955
27733.5,3.41753
27734,3.14936
27734.5,2.89647
27735,2.67701
27735.5,2.47973
27736,2.78244
27736.5,3.58516
27737,3.37333
27737.5,3.1895
27738,3.01144
27738.5,2.83453
27739,2.58624
27739.5,0.914081
27740,0.827221
27740.5,0.847512
27741,1.18806
27741.5,1.5036
27742,1.66164
27742.5,2.08083
27743,2.42058
27743.5,2.57008
27744,2.61977
27744.5,0.903972
27745,0
27745.5,0
27746,0.933451
27746.5,1.72309
27747,2.74291
27747.5,3.87782
27748,5.07028
27748.5,6.29151
27749,7.52712
27749.5,8.76993
27750,9.6902
27750.5,10.2186
27751,10.6978
27751.5,11.3613
27752,11.9409
27752.5,12.4386
27753,13.0116
27753.5,13.158
27754,13.3043
27754.5,13.4506
27755,13.5969
27755.5,13.743
27756,13.8893
27756.5,14.0357
27757,14.182
27757.5,14
27758,14
27758.5,14
27759,14.5
27759.5,14.4433
27760,14.4149
27760.5,14.4008
27761,14.3937
27761.5,14.3901
27762,14.3883
27762.5,14.3875
27763,14.387
27763.5,14.3868
27764,14.3867
27764.5,14.3866
27765,14.3866
27765.5,14.3866
27766,13.3866
27766.5,11
27767,11
27767.5,11.1443
27768,11.2621
27768.5,10.8119
27769,10.4208
27769.5,10.3916
27770,10.0349
27770.5,9.56462
27771,8.94344
27771.5,8.94344
27772,8.24676
27772.5,7.62757
27773,6.91018
27773.5,6.26157
27774,5.54037
27774.5,4.9626
27775,4.9626
27775.5,4.85257
27776,4.70934
27776.5,5.06612
27777,4.28071
27777.5,4.28071
27778,4.00121
27778.5,3.24866
27779,2.69147
27779.5,2.25138
27780,2.31129
27780.5,2.1103
27781,1.60165
27781.5,1.22514
27782,0.948051
27782.5,0
27783,0.0651031
27783.5,0.617065
27784,0.672022
27784.5,0.965849
27785,1.25443
27785.5,0.0618708
27786,0.83857
27786.5,1.1897
27787,0.930982
27787.5,0
27788,0.0686321
27788.5,0.538154
27789,0.609464
27789.5,1.00895
27790,1.07597
27790.5,1.13889
27791,0.556042
27791.5,0
27792,0.0649978
27792.5,0.481366
27793,0.518368
27793.5,0.556806
27794,0.596897
27794.5,0
27795,0.0619744
27795.5,0.12265
27796,0.184647
27796.5,0.246853
27797,0.309329
27797.5,0.687357
27798,0
27798.5,0.0694259
27799,0.137426
27799.5,0.206018
27800,0.274013
27800.5,0.323061
27801,0.363138
27801.5,0.388348
27802,0
27802.5,0.420253
27803,0.462744
27803.5,0
27804,0.0590695
27804.5,0.118315
27805,0.174548
27805.5,0.224872
27806,0.264591
27806.5,0.323215
27807,0
27807.5,0.055484
27808,0.369326
27808.5,0
27809,0.0549706
27809.5,0.452718
27810,0.496436
27810.5,0
27811,0.0494205
27811.5,0.0985741
27812,0.377045
27812.5,0.428076
27813,0
27813.5,0.0537723
27814,0.106288
27814.5,0.157256
27815,0.207096
27815.5,0.24701
27816,0.303748
27816.5,0.669753
27817,0.729131
27817.5,1.03299
27818,1.07042
27818.5,1.07224
27819,1.31163
27819.5,1.67046
27820,1.92733
27820.5,2.11794
27821,2.33867
27821.5,2.60222
27822,2.90652
27822.5,3.26639
27823,3.69213
27823.5,4.16506
27824,4.73198
27824.5,5.32776
27825,5.77004
27825.5,6.04848
27826,6.2026
27826.5,3.9526
27827,3.9526
27827.5,2.10587
27828,2.10587
27828.5,2.18811
27829,1.87912
27829.5,1.63777
27830,1.42663
27830.5,1.23265
27831,1.05427
27831.5,0.890378
27832,0
27832.5,0.0652505
27833,0.128755
27833.5,0.186988
27834,0.236556
27834.5,0.274487
27835,0
27835.5,0.410351
27836,0.769554
27836.5,0.983138
27837,1.3769
27837.5,1.89514
27838,2.47368
27838.5,3.04542
27839,3.57434
27839.5,4.00508
27840,2.00217
27840.5,0
27841,0.118366
27841.5,0.237767
27842,0.355706
27842.5,0.469058
27843,0.575994
27843.5,0.674754
27844,0.779385
27844.5,0.856784
27845,0.921501
27845.5,0.972411
27846,1.00862
27846.5,1.02948
27847,1.03466
27847.5,1.02411
27848,0.998166
27848.5,1.47222
27849,2.44628
27849.5,1.76931
27850,1.52709
27850.5,0.944089
27851,0
27851.5,0
27852,0.686025
27852.5,1.30227
27853,0.878295
27853.5,0
27854,0
27854.5,0
27855,0
27855.5,0
27856,0
27856.5,0.699576
27857,1.28648
27857.5,0.872721
27858,0
27858.5,0
27859,0
27859.5,0
27860,0
27860.5,0
27861,0
27861.5,0
27862,0
27862.5,0.5
27863,0
27863.5,0
27864,0
27864.5,0
27865,0
27865.5,0.5
27866,0
27866.5,0
27867,0.712711
27867.5,1.92542
27868,0.99861
27868.5,0
27869,0
27869.5,0
27870,0
27870.5,0
27871,0
27871.5,0
27872,0
27872.5,0
27873,0
27873.5,0
27874,0
27874.5,0
27875,0
27875.5,0
27876,0
27876.5,0
27877,0
27877.5,0
27878,0
27878.5,0
27879,0
27879.5,0
27880,0
27880.5,0
27881,0
27881.5,0
27882,0
27882.5,0
27883,0
27883.5,0
27884,0
27884.5,0
27885,0
27885.5,0
27886,0
27886.5,0
27887,0
27887.5,0
27888,0
27888.5,0
27889,0
27889.5,0.747119
27890,0
27890.5,0.864675
27891,0
27891.5,0
27892,0.691396
27892.5,0
27893,0
27893.5,0.61369
27894,0
27894.5,0.708966
27895,0
27895.5,0
27896,0
27896.5,0
27897,0.666194
27897.5,0
27898,0
27898.5,0.630751
27899,0
27899.5,0
27900,0
