time,ProvidenciaExampleScenario.node[3055].veinsmobility.speed
27447,5.9798
27447.5,6.80961
27448,6.93238
27448.5,7.55516
27449,7.67407
27449.5,7.77191
27450,8.36975
27450.5,9.46759
27451,10.7176
27451.5,10.7511
27452,11.2846
27452.5,12.3182
27453,13.5682
27453.5,13.69
27454,13.7866
27454.5,13.849
27455,13.8643
27455.5,11.6143
27456,11.6143
27456.5,9.94988
27457,9.94988
27457.5,8.7225
27458,7.47824
27458.5,6.52258
27459,5.80085
27459.5,5.30365
27460,4.82394
27460.5,4.84423
27461,4.89781
27461.5,4.43114
27462,4.05318
27462.5,3.74064
27463,3.76491
27463.5,3.73291
27464,3.65151
27464.5,3.52697
27465,3.09856
27465.5,2.73587
27466,2.42864
27466.5,2.15995
27467,1.93734
27467.5,1.75418
27468,1.60366
27468.5,1.34094
27469,1.12522
27469.5,0.936118
27470,0
27470.5,0.613599
27471,0.668732
27471.5,0.71636
27472,0
27472.5,0.0601949
27473,0.119523
27473.5,0.179826
27474,0.23931
27474.5,0.297556
27475,0
27475.5,0.0562572
27476,0.111776
27476.5,0.168581
27477,0.224946
27477.5,0.26157
27478,0.287205
27478.5,0
27479,0.049461
27479.5,0.319415
27480,0
27480.5,0.0500197
27481,0.0999003
27481.5,0.145217
27482,0.183724
27482.5,0.214053
27483,0
27483.5,0.0459461
27484,0.0906222
27484.5,0.131574
27485,0.166787
27485.5,0.193258
27486,0
27486.5,0.0391324
27487,0.0783819
27487.5,0.114264
27488,0.143357
27488.5,0
27489,0.0356324
27489.5,0.0701654
27490,0.100847
27490.5,0
27491,0.0322347
27491.5,0.0631654
27492,0.0901735
27492.5,0
27493,0.0278956
27493.5,0.0546089
27494,0
27494.5,0.0258622
27495,0
27495.5,0.0252107
27496,0
27496.5,0
27497,0
27497.5,0
27498,0
27498.5,0
27499,0
27499.5,0
27500,0
27500.5,0
27501,0
27501.5,0
27502,0
27502.5,0
27503,0
27503.5,0.0258415
27504,0.0545879
27504.5,0.0845315
27505,0.114389
27505.5,0
27506,0.257045
27506.5,0.348
27507,0.630436
27507.5,0.940926
27508,1.39603
27508.5,2.16035
27509,3.12759
27509.5,4.21624
27510,5.37559
27510.5,6.62559
27511,7.87559
27511.5,9.12559
27512,10.3756
27512.5,10.9464
27513,11.2368
27513.5,11.3658
27514,11
27514.5,11
27515,11
27515.5,11
27516,11
27516.5,11
27517,11
27517.5,11
27518,11
27518.5,11
27519,11
27519.5,11
27520,11
27520.5,11
27521,10.2026
27521.5,10.2026
27522,9.77601
27522.5,9.36527
27523,8.99572
27523.5,8.69171
27524,8.81984
27524.5,8.92562
27525,9.02721
27525.5,9.10225
27526,9.17582
27526.5,9.21614
27527,9.75646
27527.5,10.7968
27528,10.8261
27528.5,9.88712
27529,9.88712
27529.5,9.90151
27530,9.42842
27530.5,9.31839
27531,8.7836
27531.5,8.30878
27532,8.33396
27532.5,8.85914
27533,8.4496
27533.5,8.22137
27534,8.08241
27534.5,7.96146
27535,7.8519
27535.5,7.75072
27536,7.65165
27536.5,7.5369
27537,7.38494
27537.5,7.1086
27538,5.83226
27538.5,5.83226
27539,5.69705
27539.5,4.7859
27540,4.29766
27540.5,3.90102
27541,3.60518
27541.5,3.40654
27542,3.24652
27542.5,3.05875
27543,2.83232
27543.5,2.603
27544,1.37369
27544.5,1.37369
27545,1.24154
27545.5,0.620045
27546,0
27546.5,0
27547,0
27547.5,0
27548,0
27548.5,0
27549,0
27549.5,0
27550,0
27550.5,0
27551,0
27551.5,0
27552,0.140643
27552.5,0.316211
27553,0
27553.5,0
27554,0
27554.5,0.0534211
27555,0
27555.5,0
27556,0.0270335
27556.5,0.0698289
27557,0.341205
27557.5,0.519937
27558,0.88985
27558.5,0.929962
27559,0
27559.5,0.656816
27560,1.4454
27560.5,2.49398
27561,3.17713
27561.5,3.66805
27562,4.06544
27562.5,4.36687
27563,5.11857
27563.5,6.11885
27564,7.24399
27564.5,8.49399
27565,9.74399
27565.5,10.622
27566,11.061
27566.5,11
27567,11
27567.5,11
27568,11
27568.5,11
27569,11
27569.5,11
27570,11
27570.5,11
27571,11.5
27571.5,12.5
27572,13.75
27572.5,14.7833
27573,15.2779
27573.5,15.1081
27574,15.0232
27574.5,14.9807
27575,14.9595
27575.5,14.9489
27576,14.9436
27576.5,14.9409
27577,14.9396
