time,ProvidenciaExampleScenario.node[3120].veinsmobility.speed
27455.5,5.5
27456,6.75
27456.5,8
27457,9.25
27457.5,10.5
27458,11.75
27458.5,13
27459,13.1431
27459.5,13.2857
27460,13.9282
27460.5,15.0708
27461,16.3208
27461.5,16.16
27462,16.0796
27462.5,16.0394
27463,13.7424
27463.5,11.4924
27464,11.4924
27464.5,11.9924
27465,11.8591
27465.5,11.9735
27466,11.8487
27466.5,11.6894
27467,11.5376
27467.5,11.8857
27468,11.7114
27468.5,12.0371
27469,12.5371
27469.5,13.0371
27470,13.5371
27470.5,13.6826
27471,13.7417
27471.5,13.7625
27472,13.8613
27472.5,13.9559
27473,14.0458
27473.5,14.129
27474,14.2061
27474.5,14.2807
27475,13.5988
27475.5,12.9674
27476,12.9674
27476.5,12.3252
27477,11.7278
27477.5,11.7278
27478,11.5874
27478.5,11.208
27479,10.488
27479.5,10.2478
27480,9.5679
27480.5,8.93907
27481,8.64302
27481.5,8.04891
27482,7.49475
27482.5,7.19105
27483,6.90128
27483.5,6.5615
27484,6.20543
27484.5,5.76238
27485,5.13186
27485.5,4.54843
27486,4.00532
27486.5,3.5264
27487,3.10282
27487.5,2.72699
27488,2.39234
27488.5,2.09322
27489,1.82479
27489.5,1.58293
27490,1.36421
27490.5,1.16586
27491,0.985723
27491.5,0
27492,0.0699858
27492.5,0.138226
27493,0.201195
27493.5,0.25548
27494,0.298046
27494.5,0.326512
27495,0
27495.5,0.0538565
27496,0.106029
27496.5,0.153118
27497,0.191904
27497.5,0.219686
27498,0
27498.5,0.0415745
27499,0.081636
27499.5,0.117139
27500,0.145254
27500.5,0
27501,0.0337808
27501.5,0.307505
27502,0
27502.5,0.0342597
27503,0.0676652
27503.5,0.0972692
27504,0
27504.5,0.0306936
27505,0.0601452
27505.5,0.0858048
27506,0
27506.5,0.0264859
27507,0.0518324
27507.5,0
27508,0
27508.5,0.0251168
27509,0.0509682
27509.5,0.16793
27510,0.196742
27510.5,0.225546
27511,0.25218
27511.5,0
27512,0
27512.5,0
27513,0
27513.5,0
27514,0
27514.5,0
27515,0
27515.5,0
27516,0
27516.5,0
27517,0
27517.5,0
27518,0
27518.5,0
27519,0
27519.5,0
27520,0
27520.5,0
27521,0
27521.5,0
27522,0
27522.5,0
27523,0
27523.5,0
27524,0.0643972
27524.5,0.138974
27525,0.216389
27525.5,0.286395
27526,0.345834
27526.5,0.315934
27527,0.290981
27527.5,0.269813
27528,0.251613
27528.5,0.235786
27529,0.221887
27529.5,0.916906
27530,1.54973
27530.5,2.02105
27531,2.41222
27531.5,2.498
27532,0
27532.5,1
27533,0
27533.5,0
27534,0.5
27534.5,1.5
27535,2.75
27535.5,4
27536,5.25
27536.5,6.41906
27537,7.66906
27537.5,7.80644
27538,8.44382
27538.5,9.5812
27539,10.8312
27539.5,10.916
27540,11.0355
27540.5,11.1719
27541,11.8084
27541.5,12.9448
27542,14.1948
27542.5,14.3324
27543,14.97
27543.5,15.099
27544,14.6565
27544.5,14.714
27545,12.7053
27545.5,10.4553
27546,8.20534
27546.5,8.20534
27547,6.48357
27547.5,6.48357
27548,5.4279
27548.5,4.68783
27549,4.14277
27549.5,3.72553
27550,3.39583
27550.5,3.12811
27551,2.9054
27551.5,2.71595
27552,2.55136
27552.5,2.4054
27553,2.27335
27553.5,2.14629
27554,2.01752
27554.5,1.88843
27555,1.76051
27555.5,1.63519
27556,1.51381
27556.5,1.39738
27557,1.28213
27557.5,1.16451
27558,1.04752
27558.5,0.934317
27559,0
27559.5,0.0777404
27560,0.154683
27560.5,0.226696
27561,0.29092
27561.5,0.345027
27562,0.387417
27562.5,0.415636
27563,0
27563.5,0.0639029
27564,0.126998
27564.5,0.185484
27565,0.235631
27565.5,0.275079
27566,0.301447
27566.5,0
27567,0.0504737
27567.5,0.099299
27568,0.143151
27568.5,0.178898
27569,0.203946
27569.5,0
27570,0.038253
27570.5,0.0750593
27571,0.107509
27571.5,0.132915
27572,0
27572.5,0.0305771
27573,0.0598948
27573.5,0.0854253
27574,0
27574.5,0.0263539
27575,0.0515724
27575.5,0
27576,0
27576.5,0
27577,0
27577.5,0
27578,0
27578.5,0
27579,0
27579.5,0
27580,0
27580.5,0
27581,0
27581.5,0
27582,0
27582.5,0
27583,0
27583.5,0
27584,0
27584.5,0
27585,0
27585.5,0
27586,0
27586.5,0
27587,0
27587.5,0
27588,0
27588.5,0
27589,0
27589.5,0
27590,0
27590.5,0
27591,0
27591.5,0
27592,0
27592.5,0
27593,0
27593.5,0
27594,0
27594.5,0
27595,0
27595.5,0
27596,0
27596.5,0
27597,0
27597.5,0
27598,0
27598.5,0
27599,0
27599.5,0
27600,0
27600.5,0
27601,0
27601.5,0
27602,0
27602.5,0
27603,0
27603.5,0
27604,0
27604.5,0
27605,0
27605.5,0
27606,0
27606.5,0
27607,0
27607.5,0
27608,0
27608.5,0
27609,0
27609.5,0
27610,0
27610.5,0
27611,0
27611.5,0
27612,0
27612.5,0
27613,0
27613.5,0
27614,0
27614.5,0
27615,0
27615.5,0
27616,0
27616.5,0
27617,0
27617.5,0
27618,0
27618.5,0
27619,0
27619.5,0
27620,0
27620.5,0
27621,0
27621.5,0
27622,0
27622.5,0
27623,0
27623.5,0
27624,0
27624.5,0
27625,0
27625.5,0
27626,0.0255276
27626.5,0.36089
27627,0.519268
27627.5,1.03784
27628,1.91822
27628.5,2.98342
27629,4.23342
27629.5,5.48342
27630,6.73342
27630.5,7.98342
27631,9.14102
27631.5,10.391
27632,11
27632.5,12.109
27633,13.359
27633.5,14.609
27634,15.859
27634.5,17.109
27635,17.9059
27635.5,18.028
27636,18.1422
27636.5,18.2471
27637,18.3414
27637.5,18.4236
27638,18.4922
27638.5,18.5452
27639,18.5804
27639.5,18.5951
27640,18.586
27640.5,18.5484
27641,18.4755
27641.5,18.3563
27642,18.1701
27642.5,17.8639
27643,17.6577
27643.5,16.4515
27644,14.9043
27644.5,14
27645,14
27645.5,13.9995
27646,14
27646.5,14
27647,14.4117
27647.5,14.7557
27648,15.5997
27648.5,13.3497
27649,13.3497
27649.5,13.8497
27650,14
27650.5,14
27651,14
27651.5,14.5
27652,15.5
27652.5,16.75
27653,18
27653.5,19.25
27654,19.2245
27654.5,19.2118
27655,19.2054
27655.5,19.2023
27656,19.2007
27656.5,18.1991
27657,18.1991
