time,ProvidenciaExampleScenario.node[1734].veinsmobility.speed
27256,5.02622
27256.5,4.81989
27257,4.63536
27257.5,4.70596
27258,4.26144
27258.5,3.89857
27259,3.59697
27259.5,3.32654
27260,3.08935
27260.5,3.35216
27261,2.98912
27261.5,3.12608
27262,3.0472
27262.5,2.60402
27263,2.22292
27263.5,1.89341
27264,1.60689
27264.5,1.82036
27265,1.37822
27265.5,1.09642
27266,0.795886
27266.5,0.637528
27267,0.535917
27267.5,0.464115
27268,0.410265
27268.5,0.537748
27269,1.10843
27269.5,1.42692
27270,1.46523
27270.5,1.49882
27271,1.48627
27271.5,1.67344
27272,2.20195
27272.5,2.63942
27273,2.77495
27273.5,2.9992
27274,3.4736
27274.5,3.53431
27275,3.93373
27275.5,3.92755
27276,4.19512
27276.5,3.2937
27277,3.2937
27277.5,3.7937
27278,4.21182
27278.5,4.61685
27279,4.83601
27279.5,5.26184
27280,5.928
27280.5,6.37884
27281,6.65323
27281.5,6.75234
27282,6.8067
27282.5,6.58929
27283,6.72083
27283.5,6.96135
27284,7.49312
27284.5,7.91604
27285,8.41344
27285.5,9.04527
27286,9.36104
27286.5,9.99607
27287,10.8818
27287.5,11.8928
27288,13.0292
27288.5,14.0689
27289,14.9825
27289.5,15.5709
27290,16.2148
27290.5,16.5842
27291,14.3342
27291.5,14.3342
27292,12.0842
27292.5,9.83419
27293,9.83419
27293.5,8.44944
27294,6.19944
27294.5,6.19944
27295,5.16379
27295.5,4.37051
27296,3.69941
27296.5,3.13491
27297,2.65757
27297.5,2.25167
27298,1.90443
27298.5,1.60554
27299,1.34669
27299.5,1.12131
27300,0.924314
27300.5,0
27301,0.0642434
27301.5,0.126743
27302,0.183976
27302.5,0.232558
27303,0.269535
27303.5,0
27304,0.0522941
27304.5,0.102919
27305,0.148509
27305.5,0.185882
27306,0.212385
27306.5,0
27307,0.0400295
27307.5,0.0785757
27308,0.112654
27308.5,0.139499
27309,0
27309.5,0.0322211
27310,0.0631386
27310.5,0.0901346
27311,0
27311.5,0.027883
27312,0.054584
27312.5,0
27313,0.0258501
27313.5,0
27314,0.0251988
27314.5,0
27315,0
27315.5,0
27316,0
27316.5,0
27317,0
27317.5,0
27318,0
27318.5,0
27319,0
27319.5,0
27320,0
27320.5,0
27321,0
27321.5,0
27322,0
27322.5,0
27323,0
27323.5,0
27324,0
27324.5,0
27325,0
27325.5,0
27326,0
27326.5,0
27327,0
27327.5,0
27328,0
27328.5,0
27329,0
27329.5,0
27330,0
27330.5,0
27331,0
27331.5,0
27332,0
27332.5,0
27333,0
27333.5,0
27334,0
27334.5,0
27335,0
27335.5,0
27336,0
27336.5,0
27337,0
27337.5,0
27338,0
27338.5,0
27339,0
27339.5,0
27340,0
27340.5,0
27341,0
27341.5,0
27342,0
27342.5,0
27343,0
27343.5,0
27344,0
27344.5,0
27345,0
27345.5,0
27346,0
27346.5,0
27347,0
27347.5,0
27348,0
27348.5,0
27349,0
27349.5,0
27350,0
27350.5,0
27351,0
27351.5,0
27352,0
27352.5,0
27353,0
27353.5,0
27354,0
27354.5,0
27355,0
27355.5,0
27356,0
27356.5,0
27357,0
27357.5,0
27358,0
27358.5,0
27359,0
27359.5,0
27360,0
27360.5,0
27361,0
27361.5,0
27362,0.117747
27362.5,0.619637
27363,1.40444
27363.5,2.65444
27364,3.86552
27364.5,5.11552
27365,6.36552
27365.5,7.01761
27366,7.96866
27366.5,9.06918
27367,10.2444
27367.5,11.4571
27368,12.6884
27368.5,13.929
27369,15.1574
27369.5,16.2574
27370,17.0288
27370.5,17.4821
27371,17.7739
27371.5,17.9095
27372,18.0448
27372.5,18.1795
27373,18.3129
27373.5,18.6442
27374,19.4754
27374.5,19.2254
27375,19.0085
27375.5,18.9001
27376,18.8459
27376.5,18.8188
27377,18.8052
27377.5,18.7984
27378,18.7951
27378.5,18.7934
27379,18.7925
27379.5,18.7921
27380,18.7919
27380.5,18.7918
27381,18.7917
27381.5,18.7917
27382,18.7917
27382.5,18.7917
27383,18.7917
27383.5,18.7917
27384,17.0255
27384.5,15.1745
27385,14
27385.5,14
27386,14
27386.5,14
27387,14
27387.5,14.5
27388,15.5
27388.5,16.75
27389,18
27389.5,19.25
27390,19.0208
27390.5,18.9062
27391,18.849
27391.5,18.8203
27392,18.806
27392.5,18.7988
27393,18.7952
27393.5,18.7935
27394,18.7926
27394.5,18.7921
27395,18.7919
27395.5,18.7918
27396,18.7917
27396.5,18.7917
