time,ProvidenciaExampleScenario.node[4723].veinsmobility.speed
27706,6.9
27706.5,8.15
27707,9.4
27707.5,10.65
27708,8.4
27708.5,6.15
27709,3.9
27709.5,3.9
27710,1.944
27710.5,1.944
27711,1.1254
27711.5,1.1254
27712,1.6254
27712.5,2.6254
27713,3.8754
27713.5,3.87712
27714,3.93415
27714.5,3.9037
27715,4.37326
27715.5,5.34282
27716,5.20442
27716.5,5.31512
27717,5.92583
27717.5,6.02699
27718,5.96821
27718.5,5.50171
27719,5.53522
27719.5,6.06872
27720,7.10222
27720.5,8.35222
27721,9.60222
27721.5,10.8522
27722,12.1022
27722.5,12.878
27723,13.0221
27723.5,10.7721
27724,10.7721
27724.5,9.43183
27725,7.18183
27725.5,7.18183
27726,7.68183
27726.5,7.68247
27727,5.43247
27727.5,5.43247
27728,3.18247
27728.5,3.18247
27729,3.13005
27729.5,2.91024
27730,2.55499
27730.5,2.10068
27731,1.42022
27731.5,1.42022
27732,1.4578
27732.5,1.99539
27733,2.57417
27733.5,3.17759
27734,3.92624
27734.5,4.59472
27735,5.16173
27735.5,5.27085
27736,5.37651
27736.5,5.27178
27737,4.16704
27737.5,3.07856
27738,0.586616
27738.5,0
27739,0.0278198
27739.5,0.16917
27740,0.251171
27740.5,0.280108
27741,0
27741.5,0.129215
27742,0.175959
27742.5,0.2144
27743,0.388745
27743.5,0.765892
27744,1.36725
27744.5,2.07596
27745,2.59133
27745.5,3.02248
27746,3.75134
27746.5,3.79806
27747,4.12015
27747.5,3.46197
27748,2.68564
27748.5,2.38044
27749,2.57524
27749.5,3.27003
27750,4.46483
27750.5,5.71483
27751,6.96483
27751.5,7.57769
27752,7.56219
27752.5,6.54669
27753,6.54669
27753.5,6.48571
27754,6.89014
27754.5,7.46646
27755,8.37963
27755.5,9.48979
27756,10.3913
27756.5,11.467
27757,12.5674
27757.5,13.4162
27758,13.9059
27758.5,14.4644
27759,14.8052
27759.5,14.6808
27760,14.6186
27760.5,13.5563
27761,11.4941
27761.5,9.24411
27762,9.24411
27762.5,9.74411
27763,10.7441
27763.5,11.9941
27764,13.2441
27764.5,14.4941
27765,15.7441
27765.5,15.4941
27766,15.2441
27766.5,14.9941
27767,14.7752
27767.5,14.6658
27768,14.611
27768.5,14.5837
27769,13.5563
27769.5,11.529
27770,11
27770.5,11
27771,11
27771.5,11
27772,11
27772.5,11.5
27773,12.5
27773.5,13.75
27774,15
27774.5,14.7782
27775,14.6672
27775.5,14.6118
27776,14.5841
27776.5,14.5702
27777,14.5633
27777.5,14.5598
27778,14.5581
27778.5,14.1385
27779,13.7693
27779.5,13.5011
27780,13.3902
27780.5,13.4203
27781,13.5335
27781.5,13.675
27782,14.3164
27782.5,15.4579
27783,15.2079
27783.5,14.9579
27784,14.7571
27784.5,14.6567
27785,14.6065
27785.5,14.5814
27786,14.5689
27786.5,14.5626
27787,14.5595
27787.5,14.5579
27788,14.5518
27788.5,14.4388
27789,14.3181
27789.5,13.1974
27790,11
27790.5,11
27791,11
27791.5,11
27792,11
27792.5,11
27793,11.5
27793.5,12.5
27794,13.75
27794.5,15
27795,14.7782
27795.5,14.6672
27796,14.6118
27796.5,14.5841
27797,14.5702
27797.5,14.5633
27798,14.5598
27798.5,14.5581
27799,14.5572
27799.5,14.5568
27800,14.5565
