time,ProvidenciaExampleScenario.node[1541].veinsmobility.speed
27232.5,6.9
27233,8.15
27233.5,9.4
27234,9.35484
27234.5,9.30253
27235,8.97054
27235.5,8.91798
27236,8.38945
27236.5,8.04293
27237,8.19641
27237.5,8.84989
27238,7.93977
27238.5,7.23785
27239,6.68468
27239.5,6.24001
27240,5.87596
27240.5,5.85767
27241,5.83566
27241.5,5.46444
27242,5.1537
27242.5,5.25284
27243,5.32466
27243.5,5.36588
27244,5.37427
27244.5,5.34379
27245,4.89848
27245.5,4.52282
27246,4.47729
27246.5,4.39765
27247,4.00614
27247.5,3.68192
27248,3.63554
27248.5,3.52527
27249,3.16667
27249.5,2.85674
27250,2.57413
27250.5,2.29679
27251,2.06316
27251.5,1.86657
27252,1.73837
27252.5,1.51152
27253,1.30604
27253.5,1.12235
27254,0.961071
27254.5,0
27255,0
27255.5,0.0386254
27256,0.116043
27256.5,0.19027
27257,0
27257.5,0.0389722
27258,0.0946615
27258.5,0.15854
27259,0.22128
27259.5,0.280999
27260,0.338632
27260.5,0.384753
27261,0
27261.5,0.0381286
27262,0.0924128
27262.5,0.15261
27263,0.212976
27263.5,0.270968
27264,0.334268
27264.5,0.368607
27265,0
27265.5,0.0372052
27266,0.102006
27266.5,0.166057
27267,0.471082
27267.5,0.757394
27268,0.82919
27268.5,1.2869
27269,1.65908
27269.5,1.94355
27270,2.31147
27270.5,3.03087
27271,2.65595
27271.5,2.78103
27272,3.40611
27272.5,4.31097
27273,5.23144
27273.5,6.39258
27274,7.36242
27274.5,8.08057
27275,8.50992
27275.5,8.78926
27276,8.9058
27276.5,9.02226
27277,9.33869
27277.5,9.45753
27278,9.74615
27278.5,9.85499
27279,9.97443
27279.5,10.3177
27280,10.6223
27280.5,10.7414
27281,10.8603
27281.5,10.9778
27282,11
27282.5,11
27283,11
27283.5,10.6636
27284,9.3271
27284.5,9.3271
27285,9.28398
27285.5,9.74086
27286,9.87389
27286.5,10.0018
27287,10.1229
27287.5,10.243
27288,10.3683
27288.5,10.5015
27289,11.1348
27289.5,12.268
27290,12.395
27290.5,12.5209
27291,11.4851
27291.5,11.4851
27292,11.4935
27292.5,9.24352
27293,6.99352
27293.5,5.08736
27294,5.08736
27294.5,3.16391
27295,3.16391
27295.5,2.17505
27296,2.17505
27296.5,2.09794
27297,2.52084
27297.5,0.270841
27298,0
27298.5,0.327893
27299,0.399913
27299.5,0.971933
27300,2.04395
27300.5,3.29395
27301,4.54395
27301.5,4.34514
27302,4.39829
27302.5,4.46613
27303,4.48305
27303.5,4.49659
27304,4.49826
27304.5,3.19251
27305,3.19251
27305.5,2.49191
27306,2.11505
27306.5,2.22504
27307,2.30093
27307.5,2.30703
27308,2.23025
27308.5,1.58802
27309,1.58802
27309.5,1.42798
27310,0.886284
27310.5,0
27311,0.0512703
27311.5,0.325579
27312,0.358557
27312.5,0.393612
27313,0.437424
27313.5,0.808867
27314,0
27314.5,0.242554
27315,0.985107
27315.5,2.22766
27316,3.47766
27316.5,4.72766
27317,4.84353
27317.5,4.95013
27318,4.89981
27318.5,4.39063
27319,4.17071
27319.5,3.94229
27320,3.64363
27320.5,3.24354
27321,2.72425
27321.5,2.72425
27322,3.22425
27322.5,4.0044
27323,4.80754
27323.5,5.73088
27324,6.81756
27324.5,7.98531
27325,9.23266
27325.5,10.4509
27326,11.545
27326.5,12.4388
27327,13.0969
27327.5,13.2222
27328,13.3463
27328.5,13.4685
27329,13.5835
27329.5,13.6436
27330,13.2517
27330.5,11.8598
27331,11
27331.5,11
27332,11
27332.5,11
27333,11
27333.5,11
27334,11
27334.5,11
27335,11
27335.5,11
27336,11
27336.5,11
27337,11
27337.5,11
27338,11.5
27338.5,12.5
27339,13.75
27339.5,14.8131
27340,15.4486
27340.5,15.5746
27341,15.3069
27341.5,15.0152
27342,13.7236
27342.5,13.7236
27343,11.4736
27343.5,9.22355
27344,9.22355
27344.5,9.72355
27345,10.5001
27345.5,10.9134
27346,11.0315
27346.5,11.1555
27347,11.2595
27347.5,11.3721
27348,11.4419
27348.5,11.2716
27349,11.0728
27349.5,10.5782
27350,9.08358
27350.5,9.08358
27351,9.58358
27351.5,10.5836
27352,12.0836
27352.5,13.6299
27353,15.1763
27353.5,15.3201
27354,15.4628
27354.5,15.6034
27355,15.7418
27355.5,15.8774
27356,16.0099
27356.5,16.139
27357,16.2642
27357.5,16.3851
27358,16.3407
27358.5,16.3185
27359,16.3074
27359.5,16.3018
27360,16.2991
27360.5,16.2977
27361,16.297
27361.5,16.2966
27362,16.2965
27362.5,16.2964
27363,16.2963
27363.5,16.2963
27364,16.2963
27364.5,16.2963
27365,16.2963
27365.5,16.2963
