module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed,std_speed
node[2045],10.0893,0.0,27303.5,27900.0,629.9209999999999,258.566,596.5,False,120,0,0.42707804652137465,1.497024990389497
node[2046],16.25,0.0,27303.5,27583.5,533.182,1332.94,279.5,True,40,0,4.755678091592128,5.423558134524273
node[2047],16.75,0.0,27304.0,27427.0,222.703,483.715,122.5,True,0,0,3.9130188930612237,5.260328868991672
node[2048],12.5086,0.0,27304.0,27418.5,180.146,281.353,114.0,True,0,0,2.4758969649122813,3.651093433447288
node[2049],21.4243,0.0,27304.0,27647.0,648.908,1506.45,342.5,True,58,0,4.382093929635037,5.006622478332183
node[204],18.8714,3.98495,27031.5,27096.0,231.312,934.311,64.0,True,4,0,13.245751875,3.100647751498648
node[2050],19.4636,0.0,27304.0,27416.5,303.474,973.676,112.0,True,23,0,8.649284285714286,7.709328245700384
node[2051],16.5482,0.0,27304.0,27659.5,646.9069999999999,1372.93,355.0,True,55,0,3.844379844225352,5.00118495583505
node[2052],15.7222,0.0,27304.5,27449.0,273.426,673.1,144.0,True,16,0,4.671103920138889,5.196606436090104
node[2053],15.7144,0.0,27304.5,27676.5,567.621,1064.6,371.5,True,74,0,2.8371866183041723,3.3203540297346676
node[2054],18.9267,0.0,27304.5,27900.0,853.33,1431.18,595.5,False,105,0,2.3801087203190594,4.572668363692924
node[2055],17.0127,0.0,27305.0,27422.5,231.908,674.972,117.0,True,23,0,5.742157865384615,6.0251952766458245
node[2056],12.6024,-0.48072,27305.5,27900.0,730.703,652.243,594.5,False,0,0,1.0973760505466779,2.1768491759582362
node[2057],18.5,0.0,27305.5,27610.5,572.075,1389.64,304.5,True,24,0,4.505955142528736,5.71122529586358
node[2058],16.25,0.0,27305.5,27449.0,264.375,640.597,143.0,True,8,0,4.473639934615384,5.567840886006345
node[2059],15.65,0.0,27305.5,27484.0,360.829,1038.97,178.0,True,25,0,5.840132379494381,5.20471839312284
node[205],16.25,5.5,27031.5,27065.5,120.545,453.668,33.5,True,0,0,13.63409552238806,2.411896811792997
node[2060],19.1528,0.0,27306.0,27475.5,334.68,678.133,169.0,True,2,0,3.9838193724852076,5.206583172970278
node[2061],18.2715,0.0,27306.0,27421.0,242.275,650.768,114.5,True,23,0,5.6581997292576425,6.291869299462139
node[2062],14.6892,0.0,27306.0,27674.0,564.264,1071.26,367.5,True,73,0,2.8795860219047618,3.248670386962844
node[2063],16.25,0.0,27306.5,27453.0,265.053,638.192,146.0,True,2,0,4.376066815068493,5.157034050623536
node[2064],15.3707,0.0,27306.5,27900.0,932.6389999999999,1849.43,593.5,False,93,0,3.106716462763269,4.110061920657279
node[2065],21.3751,0.0,27306.5,27607.0,633.557,1671.45,300.0,True,23,0,5.491463099833333,5.940932899217952
node[2066],18.0,0.0,27306.5,27626.0,588.97,1334.91,319.0,True,48,0,4.1211598260188085,5.038115242285655
node[2067],18.9526,0.0,27307.5,27501.5,367.34,994.918,193.5,True,0,0,5.131996340826873,6.640337714765313
node[2068],15.75,0.0,27307.5,27687.0,552.721,1030.36,379.0,True,57,0,2.705761929287599,4.309138020927043
node[2069],8.88433,0.0,27307.5,27900.0,622.2230000000001,272.20099999999996,592.5,False,119,0,0.45183258312236285,1.5077049322808096
node[206],15.4383,0.0,27032.0,27228.5,415.147,1375.45,196.0,True,11,0,6.99385709387755,5.939088967846006
node[2070],16.3338,0.0,27307.5,27900.0,867.582,1370.63,592.5,False,108,0,2.2890598122362866,4.105624096680183
node[2071],14.9915,0.0,27307.5,27440.0,300.528,912.4960000000001,132.0,True,0,0,6.433788042424243,4.866027120618911
node[2072],21.75,0.0,27307.5,27496.5,410.483,915.308,188.5,True,2,0,4.767195782493369,6.747181889918299
node[2073],19.25,0.0,27308.0,27503.5,365.358,1006.67,195.0,True,0,0,5.150539735384616,6.710766393850705
node[2074],15.65,0.0,27308.0,27375.0,131.784,275.36,66.5,True,14,0,4.138320689473685,5.365910781178433
node[2075],15.3714,0.0,27308.0,27582.0,463.56199999999995,1159.48,273.5,True,42,0,4.2120925579524675,4.581093066735993
node[2076],16.25,0.0,27308.0,27706.0,751.9630000000001,1728.84,397.5,True,0,0,4.326412896477987,5.2244843764977595
node[2077],15.75,0.0,27308.5,27570.5,424.344,1064.68,261.5,True,41,0,4.048054318355641,4.436776014286231
node[2078],10.5475,0.0,27308.5,27335.5,50.032,107.751,26.5,True,6,0,4.039489666037737,4.015767636520231
node[2079],16.5,0.0,27309.0,27705.5,587.427,884.342,396.0,True,13,0,2.237095726262626,3.9365130976199443
node[207],19.75,-0.532913,27032.0,27250.0,503.351,1367.53,217.5,True,0,0,6.226828089425287,7.010203386599641
node[2080],16.5,0.0,27309.0,27425.0,252.49400000000003,667.867,115.5,True,24,0,5.762346384415585,5.975715631689059
node[2081],16.25,0.0,27309.0,27448.5,252.38099999999997,664.0089999999999,139.0,True,2,0,4.777648664028776,5.083933111343129
node[2082],15.85,0.0,27309.0,27900.0,925.066,1864.22,591.0,False,92,0,3.1424364561759726,4.173543211092998
node[2083],16.1374,0.0,27309.0,27858.0,869.54,1845.44,548.5,True,106,0,3.2959627358249772,4.292321032429547
node[2084],18.9207,0.0,27309.0,27486.5,369.255,975.61,177.0,True,36,0,5.48166554661017,6.809710061115439
node[2085],15.7353,0.0,27309.0,27375.5,146.295,454.29,66.0,True,0,0,6.920202267424244,5.592816113170926
node[2086],15.9639,-1.97425,27310.0,27900.0,799.934,1102.73,590.0,False,9,0,1.8627193162711866,3.527734793071678
node[2087],15.75,0.0,27310.0,27568.0,416.575,1050.09,257.5,True,40,0,4.070115820776699,4.432602718495405
node[2088],16.25,-1.25578,27310.0,27775.5,696.275,1080.53,465.0,True,93,0,2.314950803118279,3.6199844787719204
node[2089],18.1204,0.0,27310.0,27419.5,229.143,768.71,109.0,True,14,0,7.0882628573394495,7.181758332919949
node[208],16.1183,0.0,27032.0,27422.0,682.9630000000001,1592.95,389.5,True,66,0,4.056097306033377,4.425210135249249
node[2090],15.5,-0.6746449999999999,27310.0,27706.5,688.5239999999999,1594.75,396.0,True,0,0,3.851803696590909,5.392865323547649
node[2091],11.4421,0.0,27310.5,27900.0,724.15,669.635,589.5,False,0,0,1.1286451014419001,2.094600954152747
node[2092],20.7337,0.0,27310.5,27486.0,383.44199999999995,1090.31,175.0,True,35,0,6.272586283142857,5.992285429731853
node[2093],15.0,0.0,27310.5,27457.0,258.507,640.519,146.0,True,2,0,4.40094590890411,4.713363359919001
node[2094],15.0988,0.0,27310.5,27452.0,288.846,863.0169999999999,141.0,True,16,0,6.11387484893617,5.317379818444015
node[2095],18.0052,-0.566971,27310.5,27900.0,821.753,1279.04,589.5,False,82,0,2.145895874045802,4.329002069025268
node[2096],16.0401,0.0,27311.0,27900.0,858.068,1300.09,589.0,False,52,0,2.2072460600169777,3.8520234960436763
node[2097],18.2951,0.0,27311.0,27495.5,378.775,990.6239999999999,184.0,True,0,0,5.374042251358696,5.899242841191293
node[2098],15.75,-3.45931,27311.0,27572.5,464.25,1078.02,261.0,True,42,0,4.07761353927203,4.56725144885854
node[2099],20.5,0.0,27311.0,27418.5,270.709,976.862,107.0,True,21,0,9.136481309345797,7.153705863480891
node[209],14.4618,0.0,27032.0,27156.5,252.535,862.453,124.0,True,16,0,6.949789988709678,6.285693346929867
node[20],21.298000000000002,-1.09274,27003.5,27332.5,828.6260000000001,2664.43,328.5,True,28,0,8.03963880913242,6.612085589195802
node[2100],19.25,0.0,27311.0,27374.5,195.95,635.9580000000001,63.0,True,0,0,10.09393304920635,6.820230164977025
node[2101],16.25,0.0,27311.5,27377.0,146.773,283.606,65.0,True,13,0,4.338895035384616,5.343843100715966
node[2102],17.5321,-0.6449699999999999,27311.5,27654.0,621.066,1362.21,342.0,True,55,0,3.944757861549708,5.310215530797647
node[2103],23.8272,0.0,27311.5,27640.5,678.595,1613.67,328.5,True,13,0,4.879943535007611,6.841635551778505
node[2104],19.2674,0.0,27312.0,27414.0,239.021,782.834,101.5,True,12,0,7.732278476206897,7.2172595589176565
node[2105],21.25,0.0,27312.0,27418.0,227.28099999999998,477.277,105.5,True,21,0,4.478773048815166,6.1335959218519545
node[2106],16.25,0.0,27312.0,27420.5,276.48400000000004,863.53,108.0,True,0,0,7.360044305555556,4.513511605382423
