Module;maxSpeed;minSpeed;startTime;stopTime;totalCO2Emission;totalDistance;totalTime
147;20.5985;0;27023;27118.5;253.227;1061.18;95
114;21.1825;0;27018.5;27119;298.56;1082.91;100
154;21.6692;0;27024;27121;288.019;1083.18;96.5
421;15.5;1.71685;27062.5;27125;182.091;677.922;62
9;15.65;0;27002;27125;261.274;1035.65;122.5
117;16.25;0;27019;27126;251.11;1045.95;106.5
28;19.25;0;27005.5;27126.5;350.121;1113.52;120.5
81;19.5;0;27014.5;27126.5;326.701;1120.12;111.5
7;19.4;0;27001.5;27126.5;317.233;978.496;124.5
84;15.888;0;27015;27127.5;254.77;1033.02;112
463;15;0;27069;27128.5;116.287;272.21;59
153;21;0;27024;27129.5;315.384;997.008;105
806;12.5858;5.28512;27118.5;27130;34.2911;116.836;11
10;18.5234;0;27002;27130;283.149;993.168;127.5
51;19.4;0;27009.5;27130;272.29;972.649;120
4;19.75;0;27001.5;27130;362.878;1000.6;128
41;19.75;0;27007.5;27130;333.918;1007.11;122
110;18.5337;0;27018;27130;289.05;1003.11;111.5
459;15.1357;0;27068.5;27130.5;120.888;274.156;61.5
19;18.5415;0;27003.5;27130.5;315.856;1008.09;126.5
100;15.7708;0;27017;27130.5;279.529;1029.62;113
307;16.25;0;27045.5;27132.5;291.719;1131.45;86.5
174;18.5563;0;27026.5;27132.5;278.213;989.024;105.5
29;17.7774;0;27006;27132.5;301.376;983.765;126
139;15.2776;0;27022;27132.5;268.084;1055.96;110
327;17.5;3.5;27048.5;27133;294.911;1195.21;84
266;16.25;0;27039.5;27133.5;167.038;281.849;93.5
122;18.5563;0;27020;27134;306.459;1126.08;113.5
63;23.2;0;27012;27134.5;425.283;1281.02;122
2;18.0124;0;27001;27134.5;385.02;1361.98;133
325;15;0;27048.5;27135;151.034;281.953;86
282;16.25;0;27042;27135;164.888;277.197;92.5
112;17.5575;0;27018;27135;276.895;976.005;116.5
135;17.9832;0;27021.5;27135.5;261.322;997.607;113.5
601;20.1566;5.5;27089.5;27135.5;195.298;661.676;45.5
145;17.1;0;27022.5;27136;281.198;686.703;113
77;21.9;0;27014;27136.5;326.222;903.44;122
299;16.25;0;27044.5;27136.5;206.502;588.684;91.5
346;16.25;0;27051.5;27137;157.12;276.112;85
161;18.0989;0;27024.5;27138;266.955;992.914;113
228;18.9171;0;27034.5;27138;264.964;956.939;103
481;16.25;0;27071;27138;157.72;458.052;66.5
43;15;0;27007.5;27138.5;329.626;1333.76;130.5
381;16.25;0;27056.5;27139;150.465;276.989;82
485;16.9;0;27072;27139.5;142.204;281.03;67
109;21.6265;0;27017.5;27139.5;328.12;917.231;121.5
38;15.65;0;27007;27139.5;252.653;622.029;132
27;15.65;0;27005.5;27139.5;251.861;620.585;133.5
106;16.2938;0;27017.5;27140.5;303.292;854.203;122.5
102;15.6337;0;27017;27141;253.167;620.995;123.5
436;16.25;0;27065;27141.5;149.885;284.298;76
287;18.6779;0;27042.5;27141.5;255.968;973.554;98.5
286;15.7353;0;27042.5;27141.5;217.762;622.65;98.5
385;16.25;0;27057;27141.5;204.784;661.376;84
116;20.2981;0;27018.5;27142;333.51;909.767;123
175;16.25;0;27026.5;27142;291.186;1056.97;115
92;16.4742;-0.503887;27016;27142.5;256.269;666.896;126
55;15.65;0;27010;27142.5;322.186;1037.34;132
269;18.15;0;27039.5;27143;261.366;980.803;103
337;16;0;27049.5;27143;257.889;879.787;93
316;16.75;0;27047;27143;299.861;884.679;95.5
11;18.5;0;27002;27143;352.673;1063.84;140.5
599;16.25;0;27089.5;27143.5;125.57;283.49;53.5
171;21.9227;0;27025.5;27144;320.743;920.96;118
564;16.25;1.49143;27084;27144;167.077;625.273;59.5
511;15.15;0;27075.5;27144;169.911;624.579;68
605;16.9;3.56562;27090;27144.5;170.409;660.614;54
60;15;0;27011.5;27145;299.732;1077.23;133
305;17.1485;0;27045.5;27145.5;241.917;974.521;99.5
236;18.75;0;27035.5;27145.5;286.189;910.94;109.5
646;16.25;5.2754;27094.5;27145.5;157.575;621.437;50.5
234;16.25;0;27035.5;27145.5;294.414;1018.19;109.5
370;17.07;2.98094;27055;27145.5;260.513;1056.79;90
666;16.25;5.03468;27096.5;27146.5;152.568;622.439;49.5
254;21.1117;0;27038;27146.5;295;873.284;108
653;15;0;27095.5;27147;113.69;270.027;51
