node,mean_speed,std
node[0],7.38691503992016,6.173162661094357
node[9],8.452474326530611,6.76841639164511
node[99],10.93157137755102,6.3731005533744876
node[999],6.044420850980392,6.101686314272753
node[1000],8.168225771193416,6.246575283753283
node[1001],5.818251942008197,5.177093743705164
node[1002],3.91510363568421,5.249798195508344
node[1003],5.367611260775862,5.400094331842069
node[1004],2.4226138911682895,4.5138290360198345
node[1005],3.951442142535211,5.731825302760944
node[1006],5.500459243131869,6.708907490020599
node[1007],4.231315657547169,5.357219719919097
node[1008],5.005192367266186,5.465097237931751
node[100],9.102157865486726,5.833729881085759
node[1009],12.638452941176471,3.7030210730366067
node[1010],4.841229469244604,6.0330510601510685
node[1011],7.774682937058825,4.635235330150127
node[1012],4.4769394661826345,5.74643739284147
node[1013],2.2787700806569346,3.1660700621230484
node[1014],7.973458310240964,4.874058857216352
node[1015],8.141316101694915,6.502645216575122
node[1016],2.445983267118134,4.328678041273545
node[1017],5.422000933762887,5.8074669076755665
node[1018],8.245764991286308,6.754832709074864
node[101],13.197370676691728,2.526286178660826
node[1019],3.714976963054187,6.211234859620996
node[1020],5.0084090205,6.0289766298728455
node[1021],8.402607855932205,4.039905421685587
node[1022],6.98463052173913,4.526705362167132
node[1023],5.159339036309524,5.668162354903547
node[1024],2.739434729346486,5.0352336251060805
node[1025],5.218735858522727,6.885520655432111
node[1026],5.480564198698884,5.325981488378051
node[1027],16.155419791666667,2.2368373759969225
node[1028],8.23149266932773,6.465543774897007
node[102],5.010361680161942,6.231824792412308
node[1029],6.436062581967215,7.9482343939020135
node[1030],3.403885012323492,4.722288047092262
node[1031],16.84522197802198,2.621931040232336
node[1032],3.895293125287356,5.235338650743086
node[1033],8.140086023766816,7.255566871270801
node[1034],9.529270424509804,4.477269266047677
node[1035],4.594295402546296,6.213835354740113
node[1036],9.394999285714286,3.9802319034100546
node[1037],5.689482292493299,5.9404291413736585
node[1038],4.745541935869566,5.809196450826564
node[103],16.62260860215054,2.4921128067258387
node[1039],4.778024844598337,4.885818217742907
node[1040],9.252106697247706,3.99672495601481
node[1041],5.576310193697479,5.402530744724861
node[1042],2.400297089209115,4.250893337347584
node[1043],4.431540358928571,6.184467107870741
node[1044],6.506494747899159,7.8572083051210395
node[1045],5.39075385135135,6.558017977131943
node[1046],4.449146863606558,5.686635341370059
node[1047],7.988951604784687,5.594101708296882
node[1048],5.820253837352941,5.695142590054967
node[104],7.422539373726542,6.572762726764622
node[1049],6.9767684823741,7.080914450572885
node[1050],6.692272340811965,5.944119711994356
node[1051],8.638896816666668,5.3754964753109045
node[1052],3.826999909761163,4.809180326150823
node[1053],4.426991846266234,4.737836764183568
node[1054],6.564830398305085,7.960314879377075
node[1055],8.710851562751678,6.481237200951756
node[1056],8.030590633663367,5.622305750272345
node[1057],8.166960744200628,6.55142593493785
node[1058],3.4637701268488743,4.868727423892176
node[105],12.988964140625,2.4664411460452014
node[1059],4.634064546713615,5.5743854476191945
node[1060],8.117489346938774,5.752123529636103
node[1061],2.19168083024911,2.9723371730936607
node[1062],5.634533175068493,5.7253556311471705
node[1063],5.726553730172414,5.539360934424218
node[1064],6.798360940958607,5.66752467619582
node[1065],5.079562105463182,6.233879549840308
node[1066],12.730477647058821,3.701517816423738
node[1067],3.3116815290909094,4.526003018044824
node[1068],7.881393147239264,4.656081893789441
node[106],6.920130285714285,7.00918122592996
node[1069],5.576027090223377,5.821217657804767
node[1070],6.558431602991453,7.342986436124335
node[1071],9.530821956834531,4.170960800388205
node[1072],6.823608002428256,5.520203107292498
node[1073],3.9075629566558563,4.934702908186025
node[1074],5.730544627272727,5.279231635176257
node[1075],8.74664192094241,5.709595073991797
node[1076],4.075848453879941,5.65293757738026
node[1077],4.244627653753026,4.361655596411524
node[1078],3.5296154000000004,4.635339171803976
node[107],8.802681546451614,6.080045664706516
node[1079],5.5336111838874675,6.8920426653656595
node[1080],6.767810357456141,7.8878850230465725
node[1081],8.669669380530976,6.754672923257361
node[1082],3.691857565212982,4.575743891772617
node[1083],4.5172571425581385,5.567980684132899
node[1084],4.440059292607004,5.712153431248049
node[1085],1.8162116413676368,3.774914685046504
node[1086],5.744455988695652,5.04237315356888
node[1087],8.567171664628821,6.625483446321808
node[1088],3.7099660118025755,5.415012212333148
node[108],12.507205227272728,3.305499449445296
node[1089],13.006568489208632,2.6053697221688283
node[1090],8.862843193220339,6.207781278020252
node[1091],3.6911327067669175,5.476091680192421
node[1092],4.537993005846774,5.637575710248745
node[1093],5.5540202736051505,5.454860957386251
node[1094],6.738544540692641,7.213972346867068
node[1095],2.411070687109905,4.23869266368195
node[1096],8.494845372169813,6.423637283742668
node[1097],3.5700531104406132,4.604763487133459
node[1098],5.359564740926642,5.318467022124968
