time,RSUExampleScenario.node[3390].veinsmobility.speed
27496.5,6.9
27497,8.15
27497.5,7.51288
27498,6.96166
27498.5,6.8796
27499,6.75063
27499.5,6.2011
27500,5.72195
27500.5,5.30085
27501,4.90907
27501.5,4.55582
27502,4.24113
27502.5,3.94309
27503,3.677
27503.5,3.91091
27504,3.69074
27504.5,3.48752
27505,3.7843
27505.5,4.58109
27506,4.45323
27506.5,4.33017
27507,4.70711
27507.5,5.58404
27508,6.83404
27508.5,6.62356
27509,6.70212
27509.5,7.28068
27510,8.35924
27510.5,8.39523
27511,7.99023
27511.5,7.09633
27512,7.09633
27512.5,7.42171
27513,7.57444
27513.5,8.22717
27514,9.24126
27514.5,10.3733
27515,11.3303
27515.5,9.08028
27516,6.83028
27516.5,6.83028
27517,7.33028
27517.5,5.08028
27518,2.83028
27518.5,2.83028
27519,2.52707
27519.5,2.72386
27520,2.63415
27520.5,2.60002
27521,2.59574
27521.5,3.09145
27522,4.08716
27522.5,3.92388
27523,3.79077
27523.5,3.68885
27524,3.60634
27524.5,3.5244
27525,3.45664
27525.5,3.39994
27526,3.34243
27526.5,3.28997
27527,3.24723
27527.5,3.20057
27528,3.32506
27528.5,3.43582
27529,3.3514
27529.5,3.76697
27530,3.8474
27530.5,3.89535
27531,4.44329
27531.5,4.47864
27532,4.45387
27532.5,4.40694
27533,4.35622
27533.5,4.80551
27534,4.79735
27534.5,4.81756
27535,4.83609
27535.5,4.82886
27536,4.73931
27536.5,4.65819
27537,5.07706
27537.5,5.99594
27538,5.95453
27538.5,6.05944
27539,6.60525
27539.5,7.50316
27540,7.25795
27540.5,7.51273
27541,7.53272
27541.5,5.28272
27542,3.03272
27542.5,0.782716
27543,0.629555
27543.5,0.53047
27544,0.458464
27544.5,0.383587
27545,0.346802
27545.5,0.534413
27546,0.266979
27546.5,0.308104
27547,0.84923
27547.5,1.89035
27548,3.14035
27548.5,4.39036
27549,2.14036
27549.5,0
27550,0
27550.5,0.5
27551,1.5
27551.5,2.75
27552,4
27552.5,5.25
27553,5.32211
27553.5,5.89422
27554,5.87804
27554.5,5.34425
27555,4.87826
27555.5,4.40247
27556,3.9637
27556.5,3.47894
27557,1.99419
27557.5,1.99419
27558,1.45195
27558.5,1.24493
27559,1.10753
27559.5,0.992348
27560,0
27560.5,0.0790286
27561,0.157457
27561.5,0.232412
27562,0.301301
27562.5,0.360505
27563,0.406437
27563.5,0.438003
27564,0
27564.5,0.069414
27565,0.137887
27565.5,0.201337
27566,0.256904
27566.5,0.302339
27567,0.33492
27567.5,0
27568,0.0576297
27568.5,0.113965
27569,0.165364
27569.5,0.209111
27570,0.242277
27570.5,0
27571,0.0476006
27571.5,0.0935899
27572,0.13472
27572.5,0.167944
27573,0
27573.5,0.039429
27574,0.0773869
27574.5,0.110913
27575,0.13727
27575.5,0
27576,0.0316634
27576.5,0.062038
27577,0.0885358
27577.5,0
27578,0.027363
27578.5,0.0535596
27579,0
27579.5,0.0253516
27580,0
27580.5,0
27581,0
27581.5,0
27582,0
27582.5,0
27583,0
27583.5,0
27584,0
27584.5,0
27585,0
27585.5,0
27586,0
27586.5,0
27587,0
27587.5,0
27588,0
27588.5,0
27589,0
27589.5,0
27590,0
27590.5,0
27591,0
27591.5,0
27592,0
27592.5,0
27593,0
27593.5,0
27594,0
27594.5,0
27595,0
27595.5,0
27596,0
27596.5,0
27597,0
27597.5,0
27598,0
27598.5,0
27599,0
27599.5,0
27600,0
27600.5,0
27601,0
27601.5,0
27602,0
27602.5,0
27603,0
27603.5,0
27604,0
27604.5,0.281759
27605,0.536832
27605.5,0
27606,0.261806
27606.5,0.565617
27607,0.99196
27607.5,1.53052
27608,2.36044
27608.5,3.06242
27609,3.72371
27609.5,4.18673
27610,5.07198
27610.5,5.68364
27611,5.7983
27611.5,5.91363
27612,6.25119
27612.5,6.61916
27613,7.01522
27613.5,7.20228
27614,7.61214
27614.5,8.17276
27615,9.21856
27615.5,10.1052
27616,10.8351
27616.5,11.5709
27617,11.5981
27617.5,11.354
27618,11
27618.5,11
27619,11.5
27619.5,12.5
27620,13.75
27620.5,15
27621,15.5448
27621.5,15.4325
27622,15.3764
27622.5,15.3483
27623,15.3343
27623.5,15.3272
27624,15.3237
27624.5,15.322
27625,15.3211
27625.5,15.3207
27626,15.3204
27626.5,15.3203
27627,15.3203
27627.5,15.3202
27628,14.3202
27628.5,12.3202
27629,12.3202
27629.5,10.0702
27630,10.0702
27630.5,9.38125
27631,9.12926
27631.5,9.37727
27632,10.1253
27632.5,11.3733
27633,12.6233
27633.5,13.8733
27634,15.1233
27634.5,13.4069
27635,11.9083
27635.5,10.5984
27636,9.44946
27636.5,8.43076
27637,7.52639
27637.5,6.72243
27638,6.0067
27638.5,5.36854
27639,4.79857
27639.5,4.28856
27640,3.83127
27640.5,3.42033
27641,3.05011
27641.5,2.71566
27642,2.4126
27642.5,2.13712
27643,1.88586
27643.5,1.65593
27644,1.44488
27644.5,1.25071
27645,1.07185
27645.5,0.907254
27646,0
27646.5,0.0663525
27647,0.130958
27647.5,0.190288
27648,0.240941
27648.5,0.27993
27649,0.304969
27649.5,0
27650,0.0498183
27650.5,0.0979961
27651,0.141225
27651.5,0.176391
27652,0
27652.5,0.0415997
27653,0.0816859
27653.5,0.117212
27654,0.145348
27654.5,0
27655,0.0336895
27655.5,0.0660378
27656,0.0943503
27656.5,0
27657,0.0292577
27657.5,0.0572931
27658,0
27658.5,0.0271705
27659,0.0531804
27659.5,0
27660,0.0251671
27660.5,0
27661,0
27661.5,0
27662,0
27662.5,0
27663,0
27663.5,0
27664,0
27664.5,0
27665,0
27665.5,0
27666,0
27666.5,0
27667,0
27667.5,0
27668,0.110024
27668.5,0.0165625
27669,0.392877
27669.5,0.233516
27670,0.206577
27670.5,0.506554
27671,1.19806
27671.5,2.16881
27672,3.27918
27672.5,4.45937
27673,5.67447
27673.5,6.90701
27674,8.15701
27674.5,9.40701
27675,10.4535
27675.5,10.9768
27676,11
27676.5,11
27677,11
27677.5,11
27678,11
27678.5,11.5
27679,12.5
27679.5,13.75
27680,15
27680.5,16.123
27681,15.873
27681.5,15.623
27682,15.4716
27682.5,15.3959
27683,15.3581
27683.5,15.3391
27684,15.3297
27684.5,15.3249
27685,15.3226
27685.5,15.3214
27686,15.3208
27686.5,15.3205
27687,15.3204
27687.5,15.3203
27688,15.3203
27688.5,15.3202
27689,15.3202
27689.5,15.3202
27690,15.3202
27690.5,15.3202
27691,15.3202
27691.5,15.8202
27692,15.5702
