time,RSUExampleScenario.node[2329].veinsmobility.speed
27343.5,6.9
27344,8.15
27344.5,8.28766
27345,8.92533
27345.5,9.05709
27346,9.18576
27346.5,9.81443
27347,9.94098
27347.5,10.5675
27348,10.7052
27348.5,10.7365
27349,11.1549
27349.5,10.8217
27350,9.48857
27350.5,7.23857
27351,7.23857
27351.5,7.73857
27352,8.73857
27352.5,9.62407
27353,10.352
27353.5,11.2247
27354,11.8711
27354.5,12.333
27355,12.6666
27355.5,12.9179
27356,13.0446
27356.5,13.1706
27357,13.2932
27357.5,13.3999
27358,13.3535
27358.5,13.3745
27359,13.417
27359.5,13.6911
27360,13.7677
27360.5,13.0783
27361,12.6168
27361.5,12.3112
27362,12.1154
27362.5,11.9865
27363,10.8576
27363.5,10.8576
27364,8.96388
27364.5,6.71388
27365,6.71388
27365.5,4.46388
27366,4.46388
27366.5,2.21388
27367,2.21388
27367.5,0.801175
27368,0
27368.5,0.62682
27369,0.965437
27369.5,1.02214
27370,0
27370.5,0
27371,0.0700893
27371.5,0.140174
27372,0.515242
27372.5,1.24989
27373,1.33583
27373.5,1.42167
27374,1.8653
27374.5,2.14102
27375,0.877653
27375.5,0
27376,0
27376.5,0.5
27377,1.5
27377.5,2.75
27378,2.7049
27378.5,2.59381
27379,1.85798
27379.5,1.40327
27380,1.06779
27380.5,0.8683
27381,0
27381.5,0.444057
27382,0.497814
27382.5,0
27383,0.0622444
27383.5,0.670474
27384,0
27384.5,0.0625046
27385,0.433504
27385.5,0
27386,0.0629122
27386.5,0.127795
27387,0.651511
27387.5,0.696618
27388,0
27388.5,0.0592122
27389,0.117988
27389.5,0.462487
27390,0.492992
27390.5,0
27391,0.0572212
27391.5,0.114878
27392,0.167859
27392.5,0.213909
27393,0.251649
27393.5,0.28072
27394,0
27394.5,0.0541045
27395,0.106862
27395.5,0.155672
27396,0.19837
27396.5,0.233513
27397,0
27397.5,0.0490114
27398,0.0973049
27398.5,0.142328
27399,0.180535
27399.5,0.208617
27400,0
27400.5,0.0428078
27401,0.0849278
27401.5,0.122729
27402,0.154047
27402.5,0
27403,0.0375501
27403.5,0.0739368
27404,0.106015
27404.5,0.131117
27405,0
27405.5,0.0301871
27406,0.0591257
27406.5,0.0843099
27407,0
27407.5,0.0259928
27408,0
27408.5,0.0253396
27409,0
27409.5,0
27410,0
27410.5,0
27411,0
27411.5,0
27412,0
27412.5,0
27413,0
27413.5,0
27414,0
27414.5,0
27415,0
27415.5,0
27416,0
27416.5,0
27417,0
27417.5,0
27418,0
27418.5,0
27419,0
27419.5,0
27420,0
27420.5,0
27421,0
27421.5,0
27422,0
27422.5,0
27423,0
27423.5,0
27424,0
27424.5,0
27425,0
27425.5,0
27426,0
27426.5,0
27427,0
27427.5,0
27428,0
27428.5,0
27429,0
27429.5,0
27430,0
27430.5,0
27431,0
27431.5,0
27432,0.0250248
27432.5,0.0525575
27433,0.0811291
27433.5,0
27434,0.265715
27434.5,0
27435,0.223702
27435.5,0.601522
27436,1.15972
27436.5,1.93561
27437,2.88446
27437.5,3.95183
27438,5.11052
27438.5,6.36052
27439,7.61052
27439.5,8.86052
27440,9.00708
27440.5,9.00472
27441,9.14854
27441.5,9.03784
27442,9
27442.5,9
27443,9
27443.5,9
27444,9
27444.5,9
27445,9
27445.5,9
27446,9
27446.5,9.5
27447,10.5
27447.5,11.75
27448,11.118
27448.5,10.4793
27449,9.91848
27449.5,9.34657
27450,8.79477
27450.5,8.25605
27451,7.75782
27451.5,7.38407
27452,6.83325
27452.5,6.83325
27453,7.33325
27453.5,8.33325
27454,9.58325
27454.5,8.63429
27455,7.85652
27455.5,7.21968
27456,6.70135
27456.5,6.28234
27457,5.93327
27457.5,5.63896
27458,5.38974
27458.5,5.34457
27459,5.79939
27459.5,6.75421
27460,8.00421
27460.5,9.25421
27461,10.5042
27461.5,11.7542
27462,13.0042
27462.5,14.2542
27463,14.3939
27463.5,14.5336
27464,14.6732
27464.5,14.8127
27465,14.9521
27465.5,15.0906
27466,15.1458
27466.5,14.8859
27467,14.6243
27467.5,13.3627
27468,11.9688
27468.5,11
27469,11
27469.5,11
27470,11
27470.5,11
27471,11
27471.5,11
27472,11
27472.5,11
27473,11.5
27473.5,12.5
27474,13.75
27474.5,15
27475,16.0722
27475.5,15.8222
27476,15.5722
27476.5,15.425
27477,15.3514
27477.5,15.3146
27478,15.2962
27478.5,15.287
27479,15.2824
