time,RSUExampleScenario.node[3770].veinsmobility.speed
27555,6.9
27555.5,7.02475
27556,7.64951
27556.5,8.77426
27557,10.0243
27557.5,10.1289
27558,10.2402
27558.5,10.35
27559,10.4323
27559.5,10.5104
27560,10.5782
27560.5,10.6038
27561,10.6377
27561.5,9.62054
27562,9.62054
27562.5,7.59634
27563,7.59634
27563.5,8.09634
27564,8.21916
27564.5,8.32439
27565,8.40654
27565.5,8.44543
27566,8.41989
27566.5,8.31284
27567,8.10553
27567.5,7.77458
27568,7.2852
27568.5,6.57999
27569,5.68636
27569.5,5.68636
27570,5.6195
27570.5,5.22383
27571,5.15559
27571.5,4.85709
27572,3.55858
27572.5,3.55858
27573,3.87494
27573.5,4.30365
27574,4.38388
27574.5,4.26183
27575,3.3487
27575.5,1.43558
27576,1.43558
27576.5,1.87122
27577,2.14173
27577.5,2.21504
27578,2.24986
27578.5,2.04873
27579,1.64539
27579.5,1.38816
27580,0.786708
27580.5,0.786708
27581,1.21793
27581.5,1.27551
27582,1.33192
27582.5,1.38412
27583,1.4225
27583.5,1.35239
27584,1.35672
27584.5,1.36931
27585,1.38508
27585.5,1.40141
27586,1.41685
27586.5,1.43048
27587,0.715235
27587.5,0
27588,0.058132
27588.5,0.629836
27589,1.09827
27589.5,1.43159
27590,1.49635
27590.5,1.55239
27591,0.491673
27591.5,0
27592,0.0684463
27592.5,0.139325
27593,0.209399
27593.5,0.271688
27594,0.325722
27594.5,0.369275
27595,0.398086
27595.5,0.465349
27596,0.933702
27596.5,0.970565
27597,0
27597.5,0.0623712
27598,0.123316
27598.5,0.180074
27599,0.599809
27599.5,0
27600,0.0620905
27600.5,0.122782
27601,0.179388
27601.5,0.229681
27602,0.272187
27602.5,0.306304
27603,0.332226
27603.5,0
27604,0.0556011
27604.5,0.110743
27605,0.163025
27605.5,0.210482
27606,0.251799
27606.5,0.286353
27607,0
27607.5,0.0550975
27608,0.109668
27608.5,0.161247
27609,0.2078
27609.5,0.24795
27610,0.278027
27610.5,0
27611,0.0508479
27611.5,0.101897
27612,0.150705
27612.5,0.195163
27613,0.231315
27613.5,0
27614,0.0491046
27614.5,0.0981713
27615,0.144652
27615.5,0.184691
27616,0.214577
27616.5,0
27617,0.0444826
27617.5,0.0882348
27618,0.127578
27618.5,0.160279
27619,0
27619.5,0.0391127
27620,0.0770258
27620.5,0.11053
27621,0.136888
27621.5,0
27622,0.0316246
27622.5,0.0622595
27623,0.0900201
27623.5,0.409593
27624,0.698872
27624.5,0.97101
27625,0
27625.5,0.389203
27626,0.548568
27626.5,0.90377
27627,1.48533
27627.5,2.34731
27628,3.40331
27628.5,4.5563
27629,5.7578
27629.5,6.98355
27630,8.23355
27630.5,9.48355
27631,10.5825
27631.5,11.8325
27632,11.086
27632.5,10.7543
27633,10.5615
27633.5,10.5412
27634,10.6068
27634.5,10.6978
27635,10.7783
27635.5,10.832
27636,10.8621
27636.5,10.881
27637,10.8975
27637.5,10.9117
27638,10.9224
27638.5,10.9306
27639,10.9361
27639.5,11.1128
27640,8.86278
27640.5,8.86278
27641,6.61278
27641.5,4.74907
27642,3.21557
27642.5,3.21557
27643,3.71557
27643.5,4.71557
27644,5.96557
27644.5,7.21557
27645,8.46557
27645.5,9.71557
27646,9.8434
27646.5,9.96988
27647,10.0929
27647.5,10.2083
27648,10.3063
27648.5,10.3599
27649,10.3153
27649.5,9.61575
27650,9.30159
27650.5,8.96722
27651,8.61183
27651.5,8.25291
27652,7.89272
27652.5,7.52094
27653,7.10987
27653.5,6.59186
27654,5.92757
27654.5,4.26327
27655,4.26327
27655.5,4.70036
27656,4.95383
27656.5,5.05944
27657,5.14871
27657.5,5.20076
27658,5.13561
27658.5,4.73009
27659,3.81497
27659.5,3.36001
27660,2.78138
27660.5,1.53185
27661,1.53185
27661.5,0
27662,0.0902408
27662.5,0.185517
27663,0.282263
27663.5,0.378018
27664,0.973773
27664.5,2.06953
27665,3.31953
27665.5,3.27045
27666,3.12875
27666.5,3.06555
27667,2.00235
27667.5,2.00235
27668,1.89641
27668.5,1.11541
27669,0.71745
27669.5,0
27670,0.321963
27670.5,0.580081
27671,0.622367
27671.5,0
27672,0.693607
27672.5,1.05966
27673,0.247692
27673.5,0.303692
27674,0.365289
27674.5,0.420169
27675,0.975049
27675.5,1.00815
27676,1.03262
27676.5,0.815747
27677,0
27677.5,0.0595113
27678,0.543153
27678.5,0.60579
27679,0.667933
27679.5,0.729696
27680,0.79111
27680.5,0.852227
27681,0.913141
27681.5,0.973777
27682,1.30048
27682.5,1.36333
27683,1.42035
27683.5,1.48131
27684,1.56941
27684.5,1.8406
27685,2.29908
27685.5,2.93765
27686,3.73406
27686.5,4.66019
27687,5.68719
27687.5,6.79122
27688,7.90413
27688.5,9.05488
27689,10.2382
27689.5,10.9507
27690,12.1631
27690.5,10.5367
27691,8.832
27691.5,7
27692,7
27692.5,7
27693,7
27693.5,7
27694,7
27694.5,7
27695,7
27695.5,7.5
27696,8.5
27696.5,9.75
27697,11
27697.5,12.25
27698,13.5
27698.5,14.75
27699,16
27699.5,15.8723
27700,15.8084
27700.5,15.7765
27701,15.7606
27701.5,15.7526
27702,15.7486
27702.5,15.7466
27703,15.7456
27703.5,15.7451
27704,15.7448
27704.5,15.7447
27705,15.7447
27705.5,15.7446
27706,15.7446
27706.5,15.7446
27707,15.7446
27707.5,15.7446
27708,15.7446
27708.5,15.7446
27709,15.7446
27709.5,15.7446
27710,15.7446
27710.5,15.7446
