time,RSUExampleScenario.node[793].veinsmobility.speed
27116.5,6.9
27117,8.15
27117.5,9.4
27118,10.65
27118.5,10.2163
27119,9.41744
27119.5,8.68182
27120,8.00398
27120.5,7.37896
27121,6.80222
27121.5,6.26961
27122,5.77733
27122.5,5.32189
27123,4.90007
27123.5,4.50896
27124,4.14583
27124.5,3.80822
27125,3.49385
27125.5,3.20061
27126,2.92659
27126.5,2.67001
27127,2.42927
27127.5,2.2029
27128,1.98958
27128.5,1.78815
27129,1.59761
27129.5,1.41714
27130,1.24614
27130.5,1.08425
27131,0.931429
27131.5,0
27132,0.0693366
27132.5,0.136927
27133,0.199242
27133.5,0.252873
27134,0.29479
27134.5,0.322627
27135,0
27135.5,0.0531263
27136,0.104575
27136.5,0.150963
27137,0.189087
27137.5,0.216267
27138,0
27138.5,0.0408502
27139,0.080201
27139.5,0.115035
27140,0.142553
27140.5,0
27141,0.467513
27141.5,1.32403
27142,2.3773
27142.5,3.52893
27143,4.72974
27143.5,5.33015
27144,6.43056
27144.5,7.68056
27145,8.93056
27145.5,9.65942
27146,10.1187
27146.5,10.6955
27147,11.598
27147.5,12.6742
27148,13.8374
27148.5,15.0439
27149,14.9911
27149.5,14.9647
27150,14.8933
27150.5,14.8249
27151,14.7649
27151.5,14.6936
27152,14.6119
27152.5,15.0303
27153,14.9843
27153.5,13.9383
27154,12.4081
27154.5,10.8426
27155,9.23578
27155.5,7.57942
27156,5.86074
27156.5,4.05808
27157,2.12705
27157.5,0
27158,0
27158.5,0
27159,0
27159.5,0
27160,0
27160.5,0
27161,0
27161.5,0
27162,0
27162.5,0
27163,0
27163.5,0
27164,0
27164.5,0
27165,0
27165.5,0
27166,0
27166.5,0
27167,0
27167.5,0
27168,0
27168.5,0
27169,0
27169.5,0
27170,0
27170.5,0
27171,0
27171.5,0
27172,0
27172.5,0
27173,0
27173.5,0
27174,0
27174.5,0
27175,0
27175.5,0
27176,0
27176.5,0
27177,0
27177.5,0
27178,0
27178.5,0
27179,0
27179.5,0
27180,0
27180.5,0
27181,0
27181.5,0
27182,0
27182.5,0
27183,0
27183.5,0
27184,0
27184.5,0
27185,0
27185.5,0
27186,0
27186.5,0
27187,0
27187.5,0
27188,0
27188.5,0
27189,0
27189.5,0
27190,0
27190.5,0
27191,0
27191.5,0
27192,0
27192.5,0
27193,0
27193.5,0
27194,0
27194.5,0
27195,0
27195.5,0
27196,0
27196.5,0
27197,0
27197.5,0
27198,0
27198.5,0
27199,0
27199.5,0
27200,0
27200.5,0
27201,0
27201.5,0
27202,0
27202.5,0
27203,0
27203.5,0
27204,0
27204.5,0
27205,0
27205.5,0
27206,0
27206.5,0
27207,0
27207.5,0
27208,0
27208.5,0
27209,0
27209.5,0
27210,0
27210.5,0
27211,0
27211.5,0
27212,0
27212.5,0
27213,0
27213.5,1
27214,2.25
27214.5,3.5
27215,4.75
27215.5,6
27216,7.25
27216.5,8.5
27217,9.75
27217.5,11
27218,11
27218.5,11
27219,11
27219.5,11
27220,11
27220.5,11.5
27221,12.5
27221.5,13.75
27222,15
27222.5,14.9691
27223,14.9537
27223.5,14.946
27224,14.9421
27224.5,14.9402
27225,14.9392
27225.5,14.9388
27226,14.9385
27226.5,14.9384
27227,14.9383
27227.5,14.9383
27228,14.9383
27228.5,14.9383
27229,14.9383
27229.5,14.9383
27230,13.9383
27230.5,12.5037
27231,11.0351
27231.5,9.52716
27232,7.97264
27232.5,6.36088
27233,4.6747
27233.5,2.88222
27234,0
27234.5,0
27235,0
27235.5,0
27236,0
27236.5,0
27237,0
27237.5,0
27238,0
27238.5,0
27239,0
27239.5,0
27240,0
27240.5,0
27241,0
27241.5,0
27242,0
27242.5,0
27243,0
27243.5,0
27244,0
27244.5,0
27245,0
27245.5,0
27246,0
27246.5,0
27247,0
27247.5,0
27248,0
27248.5,0
27249,0
27249.5,0
27250,0
27250.5,0
27251,0
27251.5,0
27252,0
27252.5,0
27253,0
27253.5,0
27254,0
27254.5,0
27255,1
27255.5,0
27256,0
27256.5,0.5
27257,1.5
27257.5,2.75
27258,4
27258.5,5.25
27259,6.5
27259.5,7.75
27260,9
27260.5,10.25
27261,11
27261.5,11
27262,11
27262.5,11.5
27263,12.5
27263.5,13.75
27264,15
27264.5,14.9691
27265,14.9537
27265.5,14.946
27266,14.9421
27266.5,14.9402
27267,14.9392
27267.5,14.9388
27268,14.9385
27268.5,14.9384
27269,14.9383
27269.5,14.9383
27270,14.9383
27270.5,14.9383
27271,14.9383
27271.5,14.8144
27272,14.6615
27272.5,14.5028
27273,13.344
27273.5,11
27274,11
27274.5,11
27275,11
27275.5,11
27276,11
27276.5,8.75
27277,8.75
27277.5,7.71038
27278,7.02088
27278.5,7.02088
27279,7.52088
27279.5,7.39676
27280,7.27414
27280.5,7.65152
27281,8.5289
27281.5,8.65786
27282,9.28682
27282.5,10.4158
27283,8.16577
27283.5,8.16577
27284,7.64993
27284.5,7.51896
27285,7.60098
27285.5,8.05416
27286,8.95898
27286.5,9.53836
27287,9.67091
27287.5,10.1499
27288,10.9523
27288.5,11.465
27289,11.7894
27289.5,11.9228
27290,12.0018
27290.5,12.0559
27291,11
27291.5,11
27292,11
27292.5,11.5
27293,12.5
27293.5,12.2188
27294,11.9493
27294.5,11.6503
27295,11.1883
27295.5,10.594
27296,10.4042
27296.5,9.87365
27297,9.50295
27297.5,8.95249
27298,8.31692
27298.5,7.65501
27299,6.5643
27299.5,5.75102
27300,5.12517
27300.5,4.6334
27301,4.23984
27301.5,3.91966
27302,3.65523
27302.5,3.43376
27303,3.24575
27303.5,3.08404
27304,2.94309
27304.5,2.81856
27305,2.707
27305.5,2.60558
27306,2.51198
27306.5,2.42424
27307,2.3407
27307.5,2.25987
27308,2.17696
27308.5,2.08797
27309,1.99408
27309.5,1.89655
27310,1.79668
