time,RSUExampleScenario.node[2968].veinsmobility.speed
27432.5,6.9
27433,8.15
27433.5,9.4
27434,9.42932
27434.5,9.46159
27435,9.49722
27435.5,8.99
27436,8.48643
27436.5,8.18453
27437,8.20782
27437.5,8.23745
27438,8.27239
27438.5,8.35229
27439,6.42512
27439.5,6.42512
27440,6.92512
27440.5,7.92512
27441,9.17512
27441.5,10.4251
27442,11.6751
27442.5,12.9251
27443,12.9352
27443.5,12.9497
27444,12.6217
27444.5,12.2089
27445,11.7118
27445.5,11.1825
27446,11.006
27446.5,10.8294
27447,10.6715
27447.5,10.5198
27448,10.3578
27448.5,10.1671
27449,9.92556
27449.5,9.60338
27450,8.28121
27450.5,7.35283
27451,6.73117
27451.5,6.18156
27452,5.59174
27452.5,4.88105
27453,4.88105
27453.5,5.38105
27454,6.38105
27454.5,7.63105
27455,8.88105
27455.5,10.1311
27456,11.3811
27456.5,12.6311
27457,13.8811
27457.5,15.0409
27458,15.1637
27458.5,15.2863
27459,15.4085
27459.5,15.524
27460,15.4362
27460.5,14.9866
27461,14.5508
27461.5,13.1149
27462,11
27462.5,11
27463,11
27463.5,11
27464,11
27464.5,10.8475
27465,9.69501
27465.5,9.69501
27466,7.44501
27466.5,5.19501
27467,2.94501
27467.5,2.94501
27468,2.12075
27468.5,1.77182
27469,1.72275
27469.5,1.82386
27470,1.99514
27470.5,2.20093
27471,2.47123
27471.5,2.75138
27472,2.97316
27472.5,3.41566
27473,4.2184
27473.5,5.24476
27474,6.37777
27474.5,7.38488
27475,8.39771
27475.5,9.45801
27476,10.5707
27476.5,11.8207
27477,13.0707
27477.5,14.3207
27478,14.917
27478.5,15.1909
27479,15.3198
27479.5,15.4398
27480,15.5472
27480.5,15.6381
27481,15.6277
27481.5,15.6225
27482,14.6173
27482.5,12.6121
27483,10.3621
27483.5,10.3621
27484,9.84754
27484.5,9.19208
27485,9.19208
27485.5,8.60518
27486,7.01829
27486.5,7.01829
27487,6.66162
27487.5,6.30263
27488,5.96395
27488.5,5.65456
27489,5.37679
27489.5,5.1298
27490,4.91135
27490.5,4.71858
27491,4.54476
27491.5,4.24874
27492,3.9338
27492.5,3.76622
27493,3.67276
27493.5,3.61584
27494,3.57569
27494.5,3.53595
27495,3.27692
27495.5,2.97572
27496,2.85731
27496.5,2.82452
27497,2.8267
27497.5,2.83032
27498,2.57179
27498.5,2.26504
27499,1.97996
27499.5,1.86977
27500,1.84817
27500.5,1.64903
27501,0.604828
27501.5,0
27502,0.561405
27502.5,0
27503,0
27503.5,0
27504,0.0664369
27504.5,0
27505,0
27505.5,0.179937
27506,0.296471
27506.5,0
27507,0
27507.5,0
27508,0
27508.5,0
27509,0.141058
27509.5,0.238154
27510,0
27510.5,0
27511,0
27511.5,0.282725
27512,0
27512.5,0
27513,0
27513.5,0.0307507
27514,0.0638478
27514.5,0.0938261
27515,0.119846
27515.5,0
27516,0.0365344
27516.5,0.0761125
27517,0.113999
27517.5,0.145501
27518,0
27518.5,0.0396457
27519,0.0807178
27519.5,0.11912
27520,0.150764
27520.5,0
27521,0.0396034
27521.5,0.0788119
27522,0.113968
27522.5,0.143227
27523,0
27523.5,0.0368915
27524,0.0726747
27524.5,0.105215
27525,0.131673
27525.5,0
27526,0.0323511
27526.5,0.0639996
27527,0.0917169
27527.5,0
27528,0.0285838
27528.5,0.055965
