time,RSUExampleScenario.node[4624].veinsmobility.speed
27697.5,5.7
27698,6.95
27698.5,8.2
27699,9.45
27699.5,10.7
27700,11.95
27700.5,13.2
27701,14.45
27701.5,15.7
27702,15.5101
27702.5,15.4152
27703,15.3677
27703.5,15.344
27704,15.3321
27704.5,15.3262
27705,15.3232
27705.5,13.0717
27706,10.8217
27706.5,10.8217
27707,10.796
27707.5,11.2703
27708,11.2183
27708.5,11.6664
27709,11.5982
27709.5,12.03
27710,12.1198
27710.5,12.6198
27711,13.1198
27711.5,13.8198
27712,13.9468
27712.5,14.0666
27713,14.1782
27713.5,14.2807
27714,13.8894
27714.5,13.9981
27715,14.0648
27715.5,14.5648
27716,14.5695
27716.5,14.5458
27717,14.5181
27717.5,14.2445
27718,14.0271
27718.5,13.6606
27719,13.794
27719.5,13.5706
27720,13.3202
27720.5,13.0512
27721,12.6777
27721.5,12.4171
27722,12.6564
27722.5,13.3958
27723,13.8958
27723.5,14.3958
27724,13.7285
27724.5,13.0896
27725,12.4875
27725.5,11.9202
27726,11.3458
27726.5,11.3458
27727,11.8458
27727.5,12.8458
27728,11.9047
27728.5,11.0489
27729,10.2328
27729.5,9.48702
27730,8.80539
27730.5,8.15891
27731,8.15891
27731.5,7.48845
27732,7.48845
27732.5,6.79288
27733,6.17583
27733.5,5.61933
27734,5.12745
27734.5,4.64699
27735,4.2228
27735.5,3.84793
27736,3.48831
27736.5,3.16113
27737,2.88209
27737.5,2.60784
27738,2.35741
27738.5,2.13669
27739,1.94233
27739.5,1.77349
27740,1.56788
27740.5,1.38545
27741,1.22463
27741.5,1.07713
27742,0.936228
27742.5,0
27743,0.0745085
27743.5,0.147531
27744,0.216163
27744.5,0.277842
27745,0.33062
27745.5,0.373313
27746,0.402954
27746.5,0
27747,0.0636287
27747.5,0.126925
27748,0.187091
27748.5,0.24169
27749,0.286902
27749.5,0.31901
27750,0
27750.5,0.0572328
27751,0.114727
27751.5,0.168334
27752,0.213957
27752.5,0.249692
27753,0.274808
27753.5,0
27754,0.0497935
27754.5,0.0982473
27755,0.142762
27755.5,0.181165
27756,0.212021
27756.5,0
27757,0.0439631
27757.5,0.0872408
27758,0.127406
27758.5,0.162432
27759,0.189123
27759.5,0
27760,0.0388157
27760.5,0.0778151
27761,0.365754
27761.5,0.645009
27762,0.899686
27762.5,0
27763,0.528703
27763.5,1.19086
27764,1.62401
27764.5,1.82329
27765,2.32024
27765.5,2.981
27766,3.75712
27766.5,4.63001
27767,5.58813
27767.5,6.62112
27768,7.7224
27768.5,8.9724
27769,10.2224
27769.5,11.4724
27770,12.5663
27770.5,13.6355
27771,13.7189
27771.5,13.7475
27772,13.8698
27772.5,13.7775
27773,13.4376
27773.5,12.0977
27774,10.4226
27774.5,10.4226
27775,8.17259
27775.5,8.17259
27776,8.67259
27776.5,9.67259
27777,10.9226
27777.5,12.1726
27778,13.4226
27778.5,14.6726
27779,15.9226
27779.5,17.1726
27780,18.4226
27780.5,18.4034
27781,18.3938
27781.5,18.389
27782,18.3867
27782.5,18.3855
27783,18.3849
27783.5,18.3846
27784,18.3844
27784.5,18.3843
27785,18.3843
27785.5,18.3843
27786,18.3843
27786.5,18.3843
27787,18.3843
27787.5,17.3843
27788,15.3843
27788.5,0
27789,0
27789.5,0
27790,0
27790.5,0
27791,0
27791.5,0.2
27792,0.286816
27792.5,0.357345
27793,0.405329
27793.5,0.432653
27794,0.43982
27794.5,0.427855
27795,0
27795.5,0
27796,0
27796.5,0
27797,0
27797.5,0
27798,0
27798.5,0
27799,0
27799.5,0
27800,0
27800.5,0
27801,0
27801.5,0
27802,0
27802.5,0
27803,0
27803.5,0
27804,0
27804.5,0
27805,0
27805.5,0
27806,0
27806.5,0
27807,0
27807.5,0
27808,0
27808.5,0
27809,0
27809.5,0
27810,0
27810.5,0
27811,0
27811.5,0
27812,0
27812.5,0
27813,0
27813.5,0
27814,0
27814.5,0
27815,0
27815.5,0
27816,0
27816.5,0
27817,0
27817.5,0
27818,0
27818.5,0
27819,0
27819.5,0
27820,0
27820.5,0
27821,0
27821.5,0
27822,0
27822.5,0
27823,0
27823.5,0
27824,0
27824.5,0
27825,0
27825.5,0
27826,0
27826.5,0
27827,0
27827.5,0
27828,0
27828.5,0
27829,0
27829.5,0
27830,0
27830.5,0
27831,0
27831.5,0
27832,0
27832.5,0
27833,0
27833.5,0
27834,0
27834.5,0
27835,0
27835.5,0
27836,0
27836.5,0
27837,0
27837.5,1
27838,2.25
27838.5,3.5
27839,4.75
27839.5,6
27840,7.25
27840.5,8.5
27841,9.75
27841.5,11
27842,12.25
27842.5,13.5
27843,14.75
27843.5,16
27844,17.25
27844.5,14
27845,14
27845.5,14
27846,14
27846.5,14
27847,14.5
27847.5,15.5
27848,16.75
27848.5,18
27849,19.25
27849.5,19
27850,18.75
27850.5,17.7753
27851,16.7366
27851.5,15.8038
27852,14.8332
27852.5,14.8332
