Module,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_maxSpeed,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_minSpeed,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_startTime,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_stopTime,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalDistance,/veins-4.4/examples/pveins_providencia/results/2hrsPER10/nodebug-0.sca_nodebug-0-20170613-11:07:55-11240_totalTime
ProvidenciaExampleScenario.node[117].veinsmobility,16.25,0,27033,27097.5,211.181,869.318,64
ProvidenciaExampleScenario.node[131].veinsmobility,16.95,2.827,27037,27098.5,209.575,874.442,61
ProvidenciaExampleScenario.node[10].veinsmobility,16.25,0,27004,27099,210.637,672.08,94.5
ProvidenciaExampleScenario.node[11].veinsmobility,20.3636,0,27004.5,27099.5,310.291,1050.41,94.5
ProvidenciaExampleScenario.node[61].veinsmobility,16.9,0,27019,27100.5,200.899,675.662,81
ProvidenciaExampleScenario.node[136].veinsmobility,16.25,3.5,27038.5,27101,201.525,860.346,62
ProvidenciaExampleScenario.node[6].veinsmobility,21.25,4.97824,27003.5,27101.5,308.268,1292.1,97.5
ProvidenciaExampleScenario.node[106].veinsmobility,16.25,7.1,27031,27103.5,196.122,1008.52,72
ProvidenciaExampleScenario.node[44].veinsmobility,23.7,0,27014.5,27105,359.179,1292.55,90
ProvidenciaExampleScenario.node[25].veinsmobility,15.65,0,27009,27112,216.192,646.431,102.5
ProvidenciaExampleScenario.node[39].veinsmobility,22.0747,0,27013.5,27115,303.23,1070.68,101
ProvidenciaExampleScenario.node[16].veinsmobility,21.6053,0,27007.5,27115.5,320.961,1063.28,107.5
ProvidenciaExampleScenario.node[74].veinsmobility,21.9686,0,27023,27118,294.327,1067.76,94.5
ProvidenciaExampleScenario.node[1].veinsmobility,22.5376,0,27001,27120,349.56,1066.55,118.5
ProvidenciaExampleScenario.node[189].veinsmobility,13.7902,0,27057.5,27123.5,121.915,273.122,65.5
ProvidenciaExampleScenario.node[73].veinsmobility,18.15,0,27022.5,27128,265.688,975.821,105
ProvidenciaExampleScenario.node[135].veinsmobility,15.8662,1.06577,27038.5,27128.5,228.852,1034.52,89.5
ProvidenciaExampleScenario.node[99].veinsmobility,18.4326,0,27028.5,27129,272.428,981.71,100
ProvidenciaExampleScenario.node[3].veinsmobility,21,0,27001.5,27129.5,394.502,1283.57,127.5
ProvidenciaExampleScenario.node[38].veinsmobility,19.2775,0,27013.5,27130,294.57,997.953,116
ProvidenciaExampleScenario.node[64].veinsmobility,18.6534,0,27020,27130,282.457,992.267,109.5
ProvidenciaExampleScenario.node[102].veinsmobility,19.6,0,27029,27130.5,273.945,988.348,101
ProvidenciaExampleScenario.node[83].veinsmobility,18.5,0,27025.5,27130.5,275.802,991.176,104.5
ProvidenciaExampleScenario.node[146].veinsmobility,17.5,4,27042,27131.5,308.309,1206.98,89
ProvidenciaExampleScenario.node[18].veinsmobility,16.4171,0,27008,27131.5,317.039,1046.76,123
ProvidenciaExampleScenario.node[7].veinsmobility,17.6714,0,27003.5,27133,358.713,1319.31,129
ProvidenciaExampleScenario.node[185].veinsmobility,15.65,0,27056.5,27133.5,152.881,281.584,76.5
ProvidenciaExampleScenario.node[234].veinsmobility,15.65,0,27076,27135,123.124,276.361,58.5
ProvidenciaExampleScenario.node[290].veinsmobility,15.65,0,27091.5,27137,109.293,276.925,45
ProvidenciaExampleScenario.node[0].veinsmobility,22.5189,0,27000.5,27137,360.978,907.556,136
ProvidenciaExampleScenario.node[161].veinsmobility,15.65,1.647,27048,27138.5,238.72,1035.62,90
ProvidenciaExampleScenario.node[169].veinsmobility,16.9,0,27051.5,27139,224.022,625.032,87
ProvidenciaExampleScenario.node[57].veinsmobility,20.9558,0,27018,27140,319.284,908.674,121.5
ProvidenciaExampleScenario.node[69].veinsmobility,15,0,27021.5,27140,230.698,624.319,118
ProvidenciaExampleScenario.node[354].veinsmobility,16.25,2.64855,27110,27140.5,104.57,276.986,30
ProvidenciaExampleScenario.node[297].veinsmobility,16.25,0,27094,27141,120.348,277.921,46.5
ProvidenciaExampleScenario.node[236].veinsmobility,16.25,0,27076.5,27141,171.632,620.288,64
ProvidenciaExampleScenario.node[31].veinsmobility,17.9965,0,27010.5,27141,354.62,1046.84,130
ProvidenciaExampleScenario.node[119].veinsmobility,22.244,0,27033.5,27142,311.406,908.487,108
ProvidenciaExampleScenario.node[322].veinsmobility,16.25,0,27101.5,27142.5,112.236,278.207,40.5
ProvidenciaExampleScenario.node[79].veinsmobility,19.3923,0,27024,27143,341.971,1070.51,118.5
ProvidenciaExampleScenario.node[60].veinsmobility,17.5,-0.179893,27018.5,27143,361.126,1077.73,124
ProvidenciaExampleScenario.node[71].veinsmobility,17.5,0,27022,27143,334.86,1077.96,120.5
ProvidenciaExampleScenario.node[305].veinsmobility,16.25,5.4,27095,27144,152.653,623.947,48.5
ProvidenciaExampleScenario.node[437].veinsmobility,14.7868,6.9,27135.5,27144.5,34.9947,104.262,8.5
ProvidenciaExampleScenario.node[315].veinsmobility,17.5,6.9,27099,27146,158.941,658.58,46.5
ProvidenciaExampleScenario.node[114].veinsmobility,21.4708,0,27032.5,27146,296.609,841.59,113
ProvidenciaExampleScenario.node[155].veinsmobility,15.5,0,27046,27146,282.315,886.237,99.5
ProvidenciaExampleScenario.node[154].veinsmobility,16.25,1.61952,27046,27146,295.465,1069.29,99.5
ProvidenciaExampleScenario.node[196].veinsmobility,15.4398,0,27059.5,27147.5,248.266,862.035,87.5
ProvidenciaExampleScenario.node[205].veinsmobility,19.8,0,27063,27148,181.261,323.519,84.5
ProvidenciaExampleScenario.node[162].veinsmobility,15,0,27049,27148.5,268.741,883.857,99
ProvidenciaExampleScenario.node[414].veinsmobility,16.25,6.9,27127,27149,89.0826,279.37,21.5
ProvidenciaExampleScenario.node[53].veinsmobility,15.65,0,27017.5,27149,373.491,1469.25,131
ProvidenciaExampleScenario.node[261].veinsmobility,16.2915,0,27082,27150,236.566,897.641,67.5
ProvidenciaExampleScenario.node[422].veinsmobility,15.65,6.9,27129.5,27151,75.8943,279.723,21
ProvidenciaExampleScenario.node[329].veinsmobility,12.0751,1.12445,27103.5,27151,109.952,339.708,47
ProvidenciaExampleScenario.node[47].veinsmobility,21,0,27015,27151,347.064,1312.95,135.5
ProvidenciaExampleScenario.node[212].veinsmobility,16.25,0,27068,27151,245.178,865.244,82.5
ProvidenciaExampleScenario.node[50].veinsmobility,22.8595,0,27016,27152.5,400.653,1450.08,136
ProvidenciaExampleScenario.node[152].veinsmobility,19.75,0,27044.5,27153.5,270.181,773.252,108.5
ProvidenciaExampleScenario.node[237].veinsmobility,19.25,0,27076.5,27153.5,222.927,765.643,76.5
ProvidenciaExampleScenario.node[125].veinsmobility,19.25,0,27035.5,27153.5,272.962,770.403,117.5
ProvidenciaExampleScenario.node[265].veinsmobility,15.5,-3.1145,27083.5,27153.5,228.822,885.912,69.5
ProvidenciaExampleScenario.node[217].veinsmobility,19.25,0,27069,27154,230.836,769.378,84.5
ProvidenciaExampleScenario.node[98].veinsmobility,16,0,27028.5,27154.5,240.384,662.257,125.5
ProvidenciaExampleScenario.node[263].veinsmobility,18.7222,0,27083,27155.5,221.004,766.325,72
ProvidenciaExampleScenario.node[249].veinsmobility,19.1625,0,27079,27155.5,228.731,769.729,76
ProvidenciaExampleScenario.node[172].veinsmobility,18,0,27052.5,27157,227.368,768.681,104
ProvidenciaExampleScenario.node[163].veinsmobility,18.3754,0,27050,27157,242.13,773.679,106.5
ProvidenciaExampleScenario.node[241].veinsmobility,18.7063,0,27077.5,27157,216.104,763.274,79
ProvidenciaExampleScenario.node[280].veinsmobility,19.25,0.561055,27088,27157.5,208.114,771.656,69
ProvidenciaExampleScenario.node[127].veinsmobility,16.9,0,27036,27158.5,281.715,692.671,122
ProvidenciaExampleScenario.node[63].veinsmobility,15.65,0,27019.5,27158.5,284.878,947.408,138.5
ProvidenciaExampleScenario.node[482].veinsmobility,15.65,6.9,27149.5,27158.5,37.8742,105.303,8.5
ProvidenciaExampleScenario.node[213].veinsmobility,15,0,27068.5,27158.5,209.752,789.117,89.5
ProvidenciaExampleScenario.node[268].veinsmobility,17.7129,0,27084.5,27158.5,205.909,779.532,73.5
ProvidenciaExampleScenario.node[182].veinsmobility,17.8503,0,27055.5,27159,229.619,770.588,103
ProvidenciaExampleScenario.node[255].veinsmobility,18.8423,0,27080.5,27159.5,222.413,784.826,78.5
ProvidenciaExampleScenario.node[245].veinsmobility,18.9672,0,27078,27160.5,224.752,787.195,82
ProvidenciaExampleScenario.node[194].veinsmobility,15.1807,0,27059.5,27161.5,222.26,694.005,101.5
ProvidenciaExampleScenario.node[276].veinsmobility,15.4383,0,27087,27162.5,196.293,801.237,75
ProvidenciaExampleScenario.node[312].veinsmobility,18,0,27098.5,27162.5,189.975,768.529,63.5
ProvidenciaExampleScenario.node[275].veinsmobility,17.9243,0,27086,27162.5,198.794,770.697,76
ProvidenciaExampleScenario.node[17].veinsmobility,19.4,0,27007.5,27163.5,442.16,1300.71,155.5
ProvidenciaExampleScenario.node[81].veinsmobility,15,0,27024.5,27164.5,253.503,694.56,139.5
ProvidenciaExampleScenario.node[70].veinsmobility,18.8392,0,27022,27164.5,402.118,1292.78,142
ProvidenciaExampleScenario.node[345].veinsmobility,18.3678,5.70469,27108,27164.5,180.861,781.892,56
ProvidenciaExampleScenario.node[140].veinsmobility,16.25,0,27039.5,27165,250.471,695.185,125
ProvidenciaExampleScenario.node[85].veinsmobility,18.15,0,27025.5,27165.5,392.135,1301.31,139.5
ProvidenciaExampleScenario.node[333].veinsmobility,16.25,3.5,27105.5,27165.5,201.414,862.395,59.5
ProvidenciaExampleScenario.node[138].veinsmobility,16.25,0,27039,27166,260.737,742.634,126.5
ProvidenciaExampleScenario.node[285].veinsmobility,15.8029,0,27089.5,27166.5,163.729,485.539,76.5
ProvidenciaExampleScenario.node[259].veinsmobility,16.0324,0,27081.5,27166.5,214.31,872.98,84.5
ProvidenciaExampleScenario.node[216].veinsmobility,15.1412,0,27069,27167,217.735,700.822,97.5
ProvidenciaExampleScenario.node[258].veinsmobility,17.5,0,27081.5,27167,213.453,661.499,85
ProvidenciaExampleScenario.node[101].veinsmobility,16.3967,0,27029,27167,330.229,1078.42,137.5
ProvidenciaExampleScenario.node[123].veinsmobility,18.839,0,27035,27167.5,372.195,1296.48,132
ProvidenciaExampleScenario.node[191].veinsmobility,16.7222,0,27057.5,27168,255.171,744.072,110
ProvidenciaExampleScenario.node[370].veinsmobility,18.1261,4.59556,27115.5,27168,177.662,772.017,52
ProvidenciaExampleScenario.node[266].veinsmobility,15,0,27084,27170,197.413,691.777,85.5
ProvidenciaExampleScenario.node[287].veinsmobility,16.15,0,27090.5,27170,209.759,689.532,79
ProvidenciaExampleScenario.node[457].veinsmobility,22.6635,6.9,27140.5,27170,160.586,473.796,29
ProvidenciaExampleScenario.node[248].veinsmobility,16.9,0,27079,27170,227.762,749.541,90.5
ProvidenciaExampleScenario.node[141].veinsmobility,18.7486,0,27040,27170.5,285.042,873.317,130
ProvidenciaExampleScenario.node[27].veinsmobility,15.65,0,27009,27170.5,358.432,1105.77,161
ProvidenciaExampleScenario.node[167].veinsmobility,19.4,0,27051,27170.5,341.243,1301.23,119
ProvidenciaExampleScenario.node[356].veinsmobility,15.3193,3.5,27110,27171.5,186.023,843.01,61
ProvidenciaExampleScenario.node[411].veinsmobility,19.9568,6.9,27126,27172,190.702,771.543,45.5
ProvidenciaExampleScenario.node[304].veinsmobility,15.9763,0,27095,27172.5,205.144,856.664,77
ProvidenciaExampleScenario.node[253].veinsmobility,16.25,0,27080.5,27173,219.55,757.68,92
ProvidenciaExampleScenario.node[441].veinsmobility,16.25,6.9,27136,27173,137.754,492.757,36.5
ProvidenciaExampleScenario.node[342].veinsmobility,16.5417,0.747075,27107.5,27173,223.052,888.699,65
ProvidenciaExampleScenario.node[190].veinsmobility,18.75,0,27057.5,27173.5,273.909,859.125,115.5
ProvidenciaExampleScenario.node[143].veinsmobility,15.85,0,27041.5,27174,325.594,1143.64,132
ProvidenciaExampleScenario.node[359].veinsmobility,16.9,6.9,27112,27174,185.834,859.275,61.5
ProvidenciaExampleScenario.node[176].veinsmobility,15.65,0,27053.5,27175,241.713,676.59,121
ProvidenciaExampleScenario.node[380].veinsmobility,16.4725,0,27119,27175.5,126.862,273.542,56
ProvidenciaExampleScenario.node[227].veinsmobility,18.8898,0,27072.5,27175.5,247.835,863.157,102.5
ProvidenciaExampleScenario.node[347].veinsmobility,16.25,0,27108.5,27175.5,192.788,689.695,66.5
