time,ProvidenciaExampleScenario.manager.realtime
0,0
27060,20
27120,25
27180,35
27240,48
27300,62
27360,78
27420,94
27480,111
27540,128
27600,146
27660,166
27720,187
27780,205
27840,223
27900,242
27960,265
28020,287
28080,310
28140,335
28200,360
28260,389
28320,422
28380,453
28440,491
28500,530
28560,571
28620,613
28680,662
28740,714
28800,770
28860,830
28920,896
28980,963
29040,1032
29100,1102
29160,1175
29220,1247
29280,1320
29340,1393
29400,1468
29460,1544
29520,1623
29580,1706
29640,1789
29700,1876
29760,1966
29820,2057
29880,2156
29940,2260
30000,2364
30060,2471
30120,2583
30180,2696
30240,2816
30300,2945
30360,3082
30420,3230
30480,3381
30540,3542
30600,3710
30660,3884
30720,4064
30780,4249
30840,4439
30900,4634
30960,4832
31020,5036
31080,5250
31140,5471
31200,5702
31260,5944
31320,6197
31380,6460
31440,6730
31500,7002
31560,7278
31620,7560
31680,7848
31740,8138
31800,8436
31860,8743
31920,9057
31980,9377
32040,9701
32100,10032
32160,10363
32220,10701
32280,11040
32340,11395
32400,11750
32460,12110
32520,12469
32580,12829
32640,13196
32700,13565
32760,13935
32820,14323
32880,14724
32940,15104
33000,15484
33060,15865
33120,16241
33180,16621
33240,16996
33300,17373
33360,17756
33420,18138
33480,18518
33540,18907
33600,19308
33660,19706
33720,20115
33780,20529
33840,20930
33900,21398
33960,21881
34020,22378
34080,22862
34140,23281
34200,23709
