Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_SentWarnings
ProvidenciaExampleScenario.node[265].appl,1,0,0
ProvidenciaExampleScenario.node[50].appl,1,22,0
ProvidenciaExampleScenario.node[152].appl,1,3,0
ProvidenciaExampleScenario.node[237].appl,1,2,0
ProvidenciaExampleScenario.node[125].appl,1,2,0
ProvidenciaExampleScenario.node[217].appl,1,3,0
ProvidenciaExampleScenario.node[98].appl,1,23,0
ProvidenciaExampleScenario.node[255].appl,1,3,0
ProvidenciaExampleScenario.node[249].appl,1,3,0
ProvidenciaExampleScenario.node[280].appl,1,3,0
ProvidenciaExampleScenario.node[172].appl,1,3,0
ProvidenciaExampleScenario.node[163].appl,1,2,0
ProvidenciaExampleScenario.node[127].appl,1,24,0
ProvidenciaExampleScenario.node[63].appl,1,15,0
ProvidenciaExampleScenario.node[482].appl,1,2,0
ProvidenciaExampleScenario.node[213].appl,1,0,0
ProvidenciaExampleScenario.node[241].appl,1,3,0
ProvidenciaExampleScenario.node[182].appl,1,2,0
ProvidenciaExampleScenario.node[268].appl,1,3,0
ProvidenciaExampleScenario.node[245].appl,1,3,0
ProvidenciaExampleScenario.node[263].appl,1,4,0
ProvidenciaExampleScenario.node[17].appl,1,18,0
ProvidenciaExampleScenario.node[81].appl,1,25,0
ProvidenciaExampleScenario.node[276].appl,1,0,0
ProvidenciaExampleScenario.node[312].appl,1,3,0
ProvidenciaExampleScenario.node[275].appl,1,3,0
ProvidenciaExampleScenario.node[140].appl,1,25,0
ProvidenciaExampleScenario.node[345].appl,1,4,0
ProvidenciaExampleScenario.node[216].appl,1,20,0
ProvidenciaExampleScenario.node[70].appl,1,19,0
ProvidenciaExampleScenario.node[333].appl,1,0,0
ProvidenciaExampleScenario.node[138].appl,1,22,0
ProvidenciaExampleScenario.node[285].appl,1,16,0
ProvidenciaExampleScenario.node[85].appl,1,19,0
ProvidenciaExampleScenario.node[194].appl,1,22,0
ProvidenciaExampleScenario.node[266].appl,1,17,0
ProvidenciaExampleScenario.node[258].appl,1,17,0
ProvidenciaExampleScenario.node[101].appl,1,22,0
ProvidenciaExampleScenario.node[259].appl,1,8,0
ProvidenciaExampleScenario.node[191].appl,1,19,0
ProvidenciaExampleScenario.node[370].appl,1,3,0
ProvidenciaExampleScenario.node[342].appl,1,0,0
ProvidenciaExampleScenario.node[287].appl,1,15,0
ProvidenciaExampleScenario.node[123].appl,1,19,0
ProvidenciaExampleScenario.node[457].appl,1,6,0
ProvidenciaExampleScenario.node[248].appl,1,15,0
ProvidenciaExampleScenario.node[141].appl,1,26,0
ProvidenciaExampleScenario.node[27].appl,1,18,0
ProvidenciaExampleScenario.node[167].appl,1,17,0
ProvidenciaExampleScenario.node[358].appl,1,0,0
ProvidenciaExampleScenario.node[411].appl,1,2,0
ProvidenciaExampleScenario.node[253].appl,1,15,0
ProvidenciaExampleScenario.node[441].appl,1,0,0
ProvidenciaExampleScenario.node[190].appl,1,23,0
ProvidenciaExampleScenario.node[143].appl,1,17,0
ProvidenciaExampleScenario.node[311].appl,1,15,0
ProvidenciaExampleScenario.node[304].appl,1,8,0
ProvidenciaExampleScenario.node[381].appl,1,8,0
ProvidenciaExampleScenario.node[176].appl,1,1,0
ProvidenciaExampleScenario.node[380].appl,1,0,0
ProvidenciaExampleScenario.node[227].appl,1,21,0
