time,RSUExampleScenario.node[4109].veinsmobility.speed
27606,3.38698
27606.5,3.02719
27607,2.73351
27607.5,2.50387
27608,2.48437
27608.5,2.22665
27609,2.46893
27609.5,2.07467
27610,1.74147
27610.5,1.46162
27611,1.22896
27611.5,1.03817
27612,0.884272
27612.5,0
27613,0.0732798
27613.5,0.146686
27614,0.215281
27614.5,0.276534
27615,0.32863
27615.5,0.370675
27616,0.402688
27616.5,0
27617,0.0684639
27617.5,0.135471
27618,0.198186
27618.5,0.254159
27619,0.301613
27619.5,0.33956
27620,0.36494
27620.5,0
27621,0.0577251
27621.5,0.115185
27622,0.454995
27622.5,0.483191
27623,0.528561
27623.5,0
27624,0.0590985
27624.5,0.470301
27625,0
27625.5,0.0632481
27626,0.501631
27626.5,0.564273
27627,0
27627.5,0.0677554
27628,0.543544
27628.5,0.604806
27629,0.674582
27629.5,1.15142
27630,1.50597
27630.5,1.89871
27631,2.32449
27631.5,2.75326
27632,3.16
27632.5,3.56383
27633,3.94508
27633.5,4.22946
27634,4.30394
27634.5,4.29976
27635,4.33661
27635.5,4.39342
27636,4.43578
27636.5,4.52661
27637,4.52517
27637.5,4.35701
27638,4.2861
27638.5,4.37103
27639,4.46867
27639.5,4.4259
27640,3.86802
27640.5,3.59412
27641,3.45134
27641.5,3.3574
27642,3.30232
27642.5,3.29379
27643,3.33742
27643.5,3.44248
27644,3.71922
27644.5,3.98111
27645,3.84962
27645.5,3.48488
27646,3.18488
27646.5,3.01644
27647,2.9437
27647.5,2.93265
27648,3.00415
27648.5,3.1812
27649,3.41892
27649.5,3.70287
27650,3.8939
27650.5,3.86353
27651,3.78634
27651.5,3.82899
27652,4.0578
27652.5,4.46838
27653,5.03343
27653.5,5.77647
27654,6.6789
27654.5,7.6608
27655,8.63665
27655.5,9.68626
27656,10.3418
27656.5,10.7232
27657,10.849
27657.5,10.9726
27658,11.0882
27658.5,11.1821
27659,11.1551
27659.5,10.636
27660,9.11689
27660.5,9.11689
27661,9.00614
27661.5,8.41271
27662,8.20205
27662.5,7.94653
27663,7.71317
27663.5,7.55581
27664,7.32624
27664.5,6.09668
27665,6.09668
27665.5,6.11515
27666,6.33482
27666.5,4.08482
27667,4.08482
27667.5,2.42897
27668,2.42897
27668.5,2.92897
27669,3.92897
27669.5,5.17897
27670,6.42897
27670.5,6.54448
27671,6.65162
27671.5,6.73737
27672,6.77452
27672.5,6.71279
27673,5.65106
27673.5,3.58933
27674,3.58933
27674.5,3.50643
27675,3.36028
27675.5,3.05377
27676,2.58416
27676.5,0.334162
27677,0
27677.5,0.0627447
27678,0.12375
27678.5,0.1795
27679,0.226627
27679.5,0.262203
27680,0
27680.5,0.0507017
27681,0.0997522
27681.5,0.143822
27682,0.179771
27682.5,0.204999
27683,0
27683.5,0.0384741
27684,0.0754967
27684.5,0.108148
27685,0.133733
27685.5,0
27686,0.0307807
27686.5,0.0602964
27687,0.0860079
27687.5,0
27688,0.0265426
27688.5,0.051944
27689,0
27689.5,0
27690,0
27690.5,0
27691,0
27691.5,0
27692,0
27692.5,0
27693,0
27693.5,0
27694,0
27694.5,0
27695,0
27695.5,0
27696,0
27696.5,0
27697,0
27697.5,0
27698,0
27698.5,0
27699,0
27699.5,0
27700,0
27700.5,0
27701,0
27701.5,0
27702,0
27702.5,0
27703,0
27703.5,0
27704,0
27704.5,0
27705,0
27705.5,0
27706,0
27706.5,0
27707,0
27707.5,0
27708,0
27708.5,0
27709,0
27709.5,0
27710,0
27710.5,0
27711,0
27711.5,0
27712,0
27712.5,0
27713,0
27713.5,0
27714,0
27714.5,0
27715,0
27715.5,0
27716,0
27716.5,0
27717,0
27717.5,0
27718,0
27718.5,0.286471
27719,0.410045
27719.5,0.927182
27720,1.01768
27720.5,1.05826
27721,1.00623
27721.5,0.969886
27722,0
27722.5,0.137676
27723,0.150344
27723.5,0.0749671
27724,0.0374832
27724.5,0.146785
27725,0.262968
27725.5,0.382445
27726,0.503184
27726.5,0.623919
27727,0.743814
27727.5,0.862159
27728,0.978451
27728.5,1.09235
27729,1.20358
27729.5,1.31187
27730,1.41698
27730.5,1.51864
27731,1.61961
27731.5,1.71335
27732,1.82391
27732.5,0
27733,0
27733.5,0
27734,1
27734.5,2.25
27735,3.5
27735.5,3.53994
27736,3.59065
27736.5,4.14137
27737,4.1943
27737.5,4.74722
27738,4.80035
27738.5,5.35348
27739,5.43673
27739.5,5.51563
27740,5.58672
27740.5,5.6519
27741,5.70584
27741.5,5.74091
27742,5.75099
27742.5,5.72992
27743,4.88604
27743.5,4.48806
27744,4.292
27744.5,4.39033
27745,2.1898
27745.5,2.1898
27746,1.09486
27746.5,0.286247
27747,0
27747.5,0.0416769
27748,0.081839
27748.5,0.117436
27749,0.146308
27749.5,0.180844
27750,0.452088
27750.5,0.491329
27751,0.760469
27751.5,0
27752,0.63938
27752.5,1.04768
27753,0
27753.5,0
27754,0
27754.5,0
27755,0.5
27755.5,1.5
27756,2.75
27756.5,4
27757,4.10433
27757.5,4.21456
27758,4.66849
27758.5,4.6704
27759,5.1105
27759.5,5.073
27760,5.47952
27760.5,5.59212
27761,5.56697
27761.5,4.54181
27762,2.51666
27762.5,2.51666
27763,1.25278
27763.5,0.622337
27764,0.309989
27764.5,0.397043
27765,1
27765.5,2.10296
27766,3.35296
27766.5,4.60296
27767,5.2984
27767.5,5.37756
27768,5.26992
27768.5,4.65452
27769,4.13778
27769.5,3.71332
27770,3.35811
27770.5,3.01619
27771,2.70422
27771.5,2.41881
27772,2.15789
27772.5,1.92082
27773,1.70706
27773.5,1.51609
27774,1.34713
27774.5,1.19908
27775,1.06272
27775.5,0.930518
27776,0
27776.5,0.0740294
27777,0.148182
27777.5,0.219598
27778,0.284185
27778.5,0.337871
27779,0.379017
27779.5,0.407112
27780,0
27780.5,0.0650888
27781,0.128675
27781.5,0.18781
27782,0.239893
27782.5,0.282958
27783,0.314005
27783.5,0
27784,0.0547683
27784.5,0.109059
27785,0.159081
27785.5,0.201139
27786,0.23333
27786.5,0
27787,0.0477972
27787.5,0.0942665
