time,RSUExampleScenario.node[2817].veinsmobility.speed
27412.5,6.9
27413,8.15
27413.5,9.4
27414,10.65
27414.5,11.9
27415,10.9459
27415.5,10.0847
27416,9.30643
27416.5,8.56575
27417,7.89404
27417.5,7.26851
27418,6.70148
27418.5,6.18748
27419,5.69308
27419.5,5.24452
27420,4.83717
27420.5,4.44634
27421,4.0841
27421.5,3.75453
27422,3.45434
27422.5,3.16211
27423,2.89042
27423.5,2.63632
27424,2.39888
27424.5,2.1773
27425,1.96926
27425.5,1.77261
27426,1.58741
27426.5,1.41381
27427,1.24984
27427.5,1.0938
27428,0.947212
27428.5,0
27429,0.0715419
27429.5,0.141477
27430,0.206305
27430.5,0.262661
27431,0.307326
27431.5,0.337865
27432,0
27432.5,0.0560986
27433,0.110494
27433.5,0.159747
27434,0.200589
27434.5,0.230254
27435,0
27435.5,0.0438235
27436,0.0860941
27436.5,0.123684
27437,0.153677
27437.5,0
27438,0.0357933
27438.5,0.0701946
27439,0.100406
27439.5,0.127504
27440,0
27440.5,0.0383911
27441,0.0795668
27441.5,0.118465
27442,0.40396
27442.5,0.475861
27443,0.78692
27443.5,1.31119
27444,2.02138
27444.5,2.913
27445,3.98381
27445.5,5.14422
27446,6.39422
27446.5,7.64422
27447,8.89422
27447.5,10.1442
27448,10.8873
27448.5,11.2808
27449,11
27449.5,11
27450,11
27450.5,11
27451,11
27451.5,11
27452,11
27452.5,11
27453,11
27453.5,11
27454,11.5
27454.5,12.5
27455,13.75
27455.5,13.2419
27456,12.6646
27456.5,12.0073
27457,11.3244
27457.5,10.7701
27458,10.4245
27458.5,10.2513
27459,10.0045
27459.5,9.72749
27460,9.42855
27460.5,9.1139
27461,8.7894
27461.5,8.46018
27462,8.63096
27462.5,8.21659
27463,8.30222
27463.5,8.43599
27464,8.54954
27464.5,8.63324
27465,8.67975
27465.5,8.68372
27466,8.6415
27466.5,7.59929
27467,6.57837
27467.5,6.57837
27468,6.60075
27468.5,6.58287
27469,6.52142
27469.5,6.41431
27470,5.3072
27470.5,4.4983
27471,4.4983
27471.5,4.51065
27472,4.48028
27472.5,4.40349
27473,3.50719
27473.5,2.92282
27474,2.52489
27474.5,2.60016
27475,2.64
27475.5,2.18575
27476,1.8782
27476.5,1.65052
27477,1.46442
27477.5,1.30541
27478,1.15339
27478.5,1.01179
27479,0.883932
27479.5,0
27480,0.0742273
27480.5,0.14975
27481,0.221904
27481.5,0.286105
27482,0.340183
27482.5,0.382886
27483,0.440661
27483.5,0.493786
27484,0
27484.5,0.0634063
27485,0.520121
27485.5,0.844334
27486,1.11974
27486.5,1.7517
27487,2.69269
27487.5,3.78818
27488,4.96093
27488.5,6.21093
27489,7.46093
27489.5,8.71093
27490,9.96093
27490.5,10.9453
27491,11
27491.5,11
27492,11
27492.5,11
27493,11
27493.5,11
27494,11
27494.5,11
27495,11
27495.5,11
27496,11
27496.5,11
27497,11.5
27497.5,12.5
27498,13.75
27498.5,15
27499,15.1388
27499.5,15.276
27500,15.4103
27500.5,15.344
27501,15.3109
27501.5,15.2943
27502,15.2861
27502.5,15.2819
27503,15.2798
27503.5,15.2788
27504,15.2783
27504.5,15.278
27505,15.2779
27505.5,15.2778
27506,15.2778
27506.5,15.2778
27507,15.2778
27507.5,15.2778
27508,15.2778
27508.5,15.2778
