time,RSUExampleScenario.node[1554].veinsmobility.speed
27234,6.9
27234.5,8.15
27235,9.4
27235.5,10.65
27236,11.15
27236.5,12.15
27237,12.2687
27237.5,11.99
27238,12.1207
27238.5,12.7515
27239,13.0362
27239.5,13.1964
27240,13.2341
27240.5,13.1625
27241,13.0424
27241.5,12.748
27242,11.4535
27242.5,9.20353
27243,6.95353
27243.5,4.19648
27244,4.19648
27244.5,4.69648
27245,4.99276
27245.5,5.24841
27246,5.44891
27246.5,3.19891
27247,3.19891
27247.5,1.58688
27248,0.787465
27248.5,0.787465
27249,1.28747
27249.5,2.28747
27250,3.18151
27250.5,3.67973
27251,3.96115
27251.5,1.71115
27252,1.71115
27252.5,2.21115
27253,2.32516
27253.5,2.43697
27254,2.5452
27254.5,2.08169
27255,1.85003
27255.5,1.91767
27256,1.62993
27256.5,1.37804
27257,1.15817
27257.5,1.00078
27258,0.88533
27258.5,0
27259,0.369625
27259.5,0
27260,0.0605026
27260.5,0.121381
27261,0.177644
27261.5,0.235336
27262,0.293365
27262.5,0.351065
27263,0
27263.5,0.328025
27264,0
27264.5,0.0546262
27265,0.109335
27265.5,0.449558
27266,0.489686
27266.5,0
27267,0.277816
27267.5,0
27268,0.284356
27268.5,0.574627
27269,0.853886
27269.5,1.1133
27270,1.11447
27270.5,1.10204
27271,1.33971
27271.5,1.66102
27272,2.01705
27272.5,2.41656
27273,2.78985
27273.5,3.39997
27274,4.33003
27274.5,5.42006
27275,6.59007
27275.5,7.80008
27276,9.03008
27276.5,10.1776
27277,11.0713
27277.5,11.2155
27278,11.3594
27278.5,11.925
27279,11.9464
27279.5,11.919
27280,11.8272
27280.5,11
27281,11
27281.5,11
27282,11
27282.5,11
27283,11
27283.5,11
27284,11
27284.5,11
27285,11
27285.5,11
27286,11
27286.5,11
27287,11.2539
27287.5,11.2383
27288,11.5045
27288.5,11.9528
27289,12.2421
27289.5,12.202
27290,12.246
27290.5,9.99596
27291,9.99596
27291.5,7.74596
27292,7.74596
27292.5,6.44787
27293,6.44787
27293.5,6.94787
27294,7.94787
27294.5,8.07574
27295,8.0061
27295.5,8.43646
27296,8.3365
27296.5,8.24822
27297,8.16773
27297.5,8.08523
27298,7.98223
27298.5,7.82973
27299,7.58824
27299.5,7.21291
27300,5.83759
27300.5,3.58759
27301,3.58759
27301.5,3.61702
27302,1.36702
27302.5,1.36702
27303,1.19669
27303.5,1.03597
27304,1.09448
27304.5,1.14385
27305,1.20779
27305.5,1.77174
27306,1.64614
27306.5,1.53127
27307,1.40168
27307.5,1.32663
27308,1.19104
27308.5,1.0694
27309,1.07058
27309.5,1.06683
27310,1.059
27310.5,0.85602
27311,0
27311.5,0.0629989
27312,0.441068
27312.5,0.474268
27313,0.519469
27313.5,0
27314,0.065166
27314.5,0.433397
27315,0
27315.5,0.071349
27316,0.144892
27316.5,0.2138
27317,0.275757
27317.5,0.345701
27318,0.415334
27318.5,0.48487
27319,0.559059
27319.5,0
27320,0.075442
27320.5,0.153242
27321,0.226429
27321.5,0.299905
27322,0.372777
27322.5,0.445079
27323,0.516779
27323.5,0.587979
27324,0.662953
27324.5,1.04237
27325,1.41919
27325.5,1.81277
27326,2.15428
27326.5,2.24541
27327,2.34581
27327.5,2.78256
27328,3.05437
27328.5,3.02219
27329,3.21287
27329.5,3.62927
27330,4.24541
27330.5,5.04129
27331,6.05713
27331.5,7.1442
27332,8.24425
27332.5,9.30293
27333,10.2359
27333.5,10.9716
27334,11.7372
27334.5,11.8726
27335,12.2654
27335.5,12.1727
27336,11.9927
27336.5,11.6913
27337,11
27337.5,11
27338,11
27338.5,11
27339,11
27339.5,11
27340,11
27340.5,11
27341,11
27341.5,11.5
27342,12.5
27342.5,13.75
27343,14.4391
27343.5,14.7656
27344,14.7034
27344.5,14.6723
27345,14.6568
27345.5,14.649
27346,14.6451
27346.5,14.6431
27347,14.6422
27347.5,14.6417
