time,RSUExampleScenario.node[1883].veinsmobility.speed
27277.5,6.9
27278,7.00816
27278.5,7.11547
27279,7.22178
27279.5,7.32702
27280,7.42635
27280.5,7.5514
27281,7.65797
27281.5,7.77089
27282,7.88082
27282.5,7.98731
27283,8.08199
27283.5,8.20889
27284,8.70965
27284.5,9.28916
27285,9.89029
27285.5,10.2563
27286,10.3862
27286.5,10.5162
27287,10.6462
27287.5,10.7707
27288,11.0677
27288.5,10.9696
27289,11.3716
27289.5,11.9978
27290,12.3109
27290.5,12.9425
27291,13.7529
27291.5,14.6126
27292,15.3881
27292.5,12.9336
27293,10.4791
27293.5,8.12808
27294,8.12808
27294.5,7.78169
27295,7.66703
27295.5,8.05238
27296,8.93773
27296.5,8.25356
27297,8.25356
27297.5,7.8365
27298,6.88115
27298.5,6.10705
27299,4.47553
27299.5,4.47553
27300,4.97553
27300.5,2.72553
27301,2.72553
27301.5,0.475531
27302,0.511189
27302.5,1.04685
27303,0.919286
27303.5,0.2
27304,0.330264
27304.5,0.458726
27305,0.584234
27305.5,0.705403
27306,0
27306.5,0.524725
27307,0.588162
27307.5,0.653361
27308,0.998204
27308.5,0
27309,0.0696676
27309.5,0.967976
27310,1.04897
27310.5,0.871627
27311,0
27311.5,0.0650937
27312,0.131565
27312.5,0.19736
27313,0.784264
27313.5,0.837842
27314,0
27314.5,0.0743392
27315,0.153301
27315.5,0.23063
27316,0.300534
27316.5,0.361218
27317,0.411886
27317.5,0.452792
27318,0.485026
27318.5,0.510124
27319,0
27319.5,0.0780929
27320,0.15482
27320.5,0.227544
27321,0.294037
27321.5,0.352735
27322,0.402828
27322.5,0.444162
27323,0.473115
27323.5,0
27324,0.0704759
27324.5,0.140845
27325,0.208405
27325.5,0.270801
27326,0.324073
27326.5,0.364225
27327,0.390691
27327.5,0
27328,0.0635094
27328.5,0.12774
27329,0.188246
27329.5,0.240625
27330,0.282717
27330.5,0.313387
27331,0
27331.5,0.056405
27332,0.111344
27332.5,0.161939
27333,0.205678
27333.5,0.239407
27334,0
27334.5,0.048127
27335,0.0951151
27335.5,0.13749
27336,0.172233
27336.5,0
27337,0.0413883
27337.5,0.0812671
27338,0.116598
27338.5,0.144559
27339,0
27339.5,0.0334909
27340,0.0656455
27340.5,0.0937796
27341,0
27341.5,0.0290713
27342,0.0569257
27342.5,0
27343,0.0269913
27343.5,0.0528275
27344,0
27344.5,0
27345,0
27345.5,0
27346,0
27346.5,0
27347,0
27347.5,0
27348,0
27348.5,0
27349,0
27349.5,0
27350,0
27350.5,0
27351,0
27351.5,0
27352,0
27352.5,0
27353,0
27353.5,0
27354,0
27354.5,0
27355,0
27355.5,0
27356,0
27356.5,0
27357,0
27357.5,0
27358,0
27358.5,0
27359,0
27359.5,0
27360,0
27360.5,0
27361,0
27361.5,0
27362,0
27362.5,0
27363,0.0253583
27363.5,0.276996
27364,0.570738
27364.5,0
27365,0.306189
27365.5,0.684087
27366,1.25422
27366.5,2.16429
27367,3.24433
27367.5,4.49433
27368,5.74433
27368.5,6.99433
27369,8.24433
27369.5,9.49433
27370,10.7443
27370.5,11.9943
27371,13.2443
27371.5,14
27372,14
27372.5,14.5
27373,15.5
27373.5,16.75
27374,18
27374.5,19.1242
27375,18.8742
27375.5,18.6242
27376,18.4788
27376.5,18.4061
27377,18.3697
27377.5,18.3515
27378,18.3424
27378.5,18.3379
27379,18.3356
27379.5,18.3345
27380,18.3339
27380.5,18.3336
27381,18.3335
27381.5,18.3334
27382,18.3334
27382.5,18.3333
27383,18.3333
27383.5,18.3333
27384,18.3333
27384.5,18.3333
27385,18.8333
27385.5,18.5833
27386,18.4583
27386.5,18.3958
27387,18.3646
27387.5,18.2845
27388,17.2045
27388.5,15.7106
27389,14
27389.5,14
27390,14
27390.5,14
27391,14
27391.5,14.5
27392,15.5
27392.5,16.75
27393,18
27393.5,19.25
27394,19
27394.5,18.75
27395,18.5417
27395.5,18.4375
27396,18.3854
27396.5,18.3594
27397,18.3464
27397.5,18.3398
27398,18.3366
27398.5,18.335
27399,18.3341
27399.5,18.3337
27400,18.3335
27400.5,18.3334
