time,RSUExampleScenario.node[5048].veinsmobility.speed
27766,3.9742
27766.5,4.1984
27767,4.9226
27767.5,6.1468
27768,7.3968
27768.5,8.6468
27769,9.8968
27769.5,9.96517
27770,10.5335
27770.5,11.6019
27771,12.8519
27771.5,14.1019
27772,15.3221
27772.5,15.1302
27773,15.0342
27773.5,14.9862
27774,14.9623
27774.5,14.9503
27775,14.9443
27775.5,14.9413
27776,13.9383
27776.5,13.9383
27777,11.6883
27777.5,11.6883
27778,11.8184
27778.5,11.9339
27779,10.549
27779.5,9.04761
27780,9.04761
27780.5,8.79761
27781,8.63069
27781.5,8.39736
27782,7.96341
27782.5,6.52946
27783,4.27946
27783.5,4.27946
27784,3.80113
27784.5,3.61533
27785,2.42952
27785.5,1.52725
27786,0.999211
27786.5,0.999211
27787,1.49921
27787.5,2.33988
27788,3.38522
27788.5,4.57052
27789,5.82052
27789.5,7.07052
27790,8.32052
27790.5,9.57052
27791,10.5005
27791.5,11.5905
27792,12.7606
27792.5,13.9706
27793,15.2206
27793.5,15.0794
27794,15.0088
27794.5,14.9736
27795,14.9559
27795.5,14.9471
27796,14.9427
27796.5,14.9405
27797,14.9394
27797.5,14.9388
27798,14.9385
27798.5,14.9384
27799,14.9383
27799.5,14.9383
27800,14.9383
27800.5,14.9383
27801,13.9383
27801.5,12.4269
27802,10.8804
27802.5,9.293
27803,7.65665
27803.5,5.95902
27804,4.17943
27804.5,2.27636
27805,0
27805.5,0
27806,0
27806.5,0
27807,0
27807.5,0
27808,0
27808.5,0
27809,0
27809.5,0
27810,0
27810.5,0
27811,0
27811.5,0
27812,0
27812.5,0
27813,0
27813.5,0
27814,0
27814.5,0
27815,0
27815.5,1
27816,2.25
27816.5,3.5
27817,4.75
27817.5,6
27818,7.25
27818.5,8.5
27819,9.75
27819.5,11
27820,12.25
27820.5,13.5
27821,14.75
27821.5,16
27822,15.75
27822.5,15.5
27823,15.25
27823.5,15.0941
27824,15.0162
27824.5,14.9772
27825,14.9578
27825.5,14.948
27826,14.9431
27826.5,14.9407
27827,14.9395
27827.5,14.9389
27828,14.9386
27828.5,14.9384
27829,14.9383
27829.5,14.9383
27830,14.9383
27830.5,14.9383
27831,14.9383
27831.5,14.9383
27832,14.9383
27832.5,14.9383
27833,15.4383
27833.5,15.1883
27834,15.0633
27834.5,13.9383
27835,12.3296
27835.5,10.6845
27836,8.99653
27836.5,7.25641
27837,5.4494
27837.5,3.54913
27838,1.49609
27838.5,0
27839,0
27839.5,0
27840,0
27840.5,0
27841,0
27841.5,0
27842,0
27842.5,0
27843,0
27843.5,0
27844,0
27844.5,0
27845,0
27845.5,0
27846,0
27846.5,0
27847,0
27847.5,0
27848,0
27848.5,0
27849,0
27849.5,0
27850,0
27850.5,0
27851,0
27851.5,1
27852,2.25
27852.5,3.5
27853,4.75
27853.5,6
27854,7.25
27854.5,8.5
27855,9.75
27855.5,11
27856,12.25
27856.5,13.5
27857,14.75
27857.5,16
27858,15.75
27858.5,15.5
27859,15.25
27859.5,15.0941
27860,15.0162
27860.5,14.9772
27861,14.9578
27861.5,14.948
27862,14.9431
27862.5,14.9407
27863,14.9395
