time,RSUExampleScenario.node[4946].veinsmobility.speed
27743,2.18522
27743.5,1.09258
27744,1.09258
27744.5,1.59258
27745,2.59258
27745.5,3.84258
27746,5.09258
27746.5,6.34258
27747,6.48238
27747.5,6.61652
27748,7.25067
27748.5,7.37198
27749,6.53787
27749.5,5.89075
27750,5.37885
27750.5,4.96695
27751,4.63049
27751.5,4.35193
27752,4.11844
27752.5,3.9205
27753,3.75085
27753.5,3.60392
27754,3.47532
27754.5,3.36156
27755,3.25984
27755.5,3.16783
27756,3.08362
27756.5,3.0056
27757,2.93237
27757.5,2.86275
27758,2.79567
27758.5,2.73019
27759,2.66546
27759.5,2.60069
27760,2.53246
27760.5,2.45787
27761,2.37774
27761.5,2.29297
27762,2.20449
27762.5,2.11322
27763,2.01999
27763.5,1.92317
27764,1.82111
27764.5,1.71522
27765,0.855761
27765.5,0
27766,0
27766.5,0
27767,0
27767.5,0
27768,0
27768.5,0
27769,0
27769.5,0
27770,0
27770.5,0
27771,0
27771.5,0
27772,0
27772.5,0
27773,0
27773.5,0
27774,0
27774.5,0
27775,0
27775.5,0
27776,0
27776.5,0
27777,0
27777.5,0
27778,0
27778.5,0
27779,0
27779.5,0
27780,0
27780.5,0
27781,0
27781.5,0
27782,0
27782.5,0
27783,0
27783.5,0
27784,0
27784.5,0
27785,0
27785.5,0
27786,0
27786.5,0
27787,0
27787.5,0
27788,0
27788.5,0
27789,0
27789.5,0
27790,0
27790.5,0
27791,0
27791.5,0
27792,0
27792.5,0
27793,0
27793.5,0
27794,0
27794.5,0
27795,0
27795.5,0
27796,0
27796.5,0
27797,0
27797.5,0
27798,0
27798.5,0
27799,0
27799.5,0
27800,0
27800.5,0
27801,0
27801.5,0
27802,0
27802.5,0
27803,0
27803.5,0
27804,0
27804.5,0
27805,0
27805.5,0
27806,0
27806.5,0.0573829
27807,0.172838
27807.5,0.3316
27808,0.685684
27808.5,1.35561
27809,2.31558
27809.5,3.42056
27810,4.59805
27810.5,5.8118
27811,7.0618
27811.5,8.3118
27812,9.5618
27812.5,10.6398
27813,11
27813.5,11
27814,11
27814.5,11
27815,11
27815.5,11.5
27816,12.5
27816.5,13.75
27817,14.9252
27817.5,15.6052
27818,15.4839
27818.5,15.4233
27819,15.393
27819.5,15.3778
27820,15.3702
27820.5,15.3664
27821,15.3646
27821.5,15.3587
27822,15.2385
27822.5,15.2505
27823,14.9087
27823.5,13.5668
27824,12.0227
27824.5,11
27825,11
27825.5,11
27826,11.5
27826.5,12.5
27827,13.75
27827.5,14.809
27828,15.6382
27828.5,15.5004
27829,15.4315
27829.5,15.3971
27830,15.3799
27830.5,15.3713
27831,14.9775
27831.5,15.0837
27832,15.1812
27832.5,15.1689
27833,15.1832
27833.5,14.9011
27834,13.6191
27834.5,12.0987
27835,11
27835.5,11
27836,11
27836.5,11
27837,11
27837.5,11
27838,11
27838.5,11
27839,11.5
27839.5,12.5
27840,13.75
27840.5,14.742
27841,15.3101
27841.5,15.4454
27842,15.404
27842.5,15.3833
27843,15.373
27843.5,15.3678
27844,15.3652
27844.5,15.3639
27845,15.3633
27845.5,15.363
27846,15.3628
27846.5,15.3627
27847,15.3627
27847.5,15.3627
27848,15.3627
27848.5,15.3627
27849,15.3627
27849.5,15.3627
27850,15.3627
27850.5,15.4745
27851,15.4186
27851.5,15.3906
27852,15.3766
