time,RSUExampleScenario.node[2303].veinsmobility.speed
27339.5,5.46702
27340,5.88598
27340.5,6.19448
27341,6.41247
27341.5,6.81269
27342,6.21394
27342.5,5.35017
27343,5.35017
27343.5,5.18925
27344,5.13556
27344.5,5.02107
27345,4.71841
27345.5,4.36987
27346,4.17842
27346.5,4.13087
27347,3.77642
27347.5,2.42197
27348,2.2551
27348.5,1.23153
27349,0.364862
27349.5,0.364862
27350,0.864862
27350.5,1.86486
27351,3.11486
27351.5,3.23185
27352,3.84884
27352.5,4.96583
27353,6.21583
27353.5,6.29657
27354,6.29399
27354.5,6.30844
27355,6.1667
27355.5,5.66113
27356,5.09669
27356.5,4.7271
27357,4.83481
27357.5,4.90218
27358,4.73099
27358.5,4.48718
27359,4.1155
27359.5,3.90772
27360,3.28492
27360.5,3.28492
27361,3.36899
27361.5,3.28953
27362,2.21007
27362.5,0.894572
27363,0
27363.5,0.319443
27364,0
27364.5,0.0701578
27365,0.640316
27365.5,0
27366,0
27366.5,0.0809375
27367,0.161346
27367.5,0.237996
27368,0.30668
27368.5,0.365072
27369,0.411665
27369.5,0.445877
27370,0
27370.5,0.0719721
27371,0.142412
27371.5,0.209564
27372,0.270223
27372.5,0.321745
27373,0.362236
27373.5,0.390593
27374,0
27374.5,0.0642163
27375,0.128462
27375.5,0.187805
27376,0.239585
27376.5,0.281847
27377,0.31356
27377.5,0
27378,0.0554029
27378.5,0.109861
27379,0.160566
27379.5,0.203916
27380,0.236557
27380.5,0
27381,0.0474817
27381.5,0.0935961
27382,0.135668
27382.5,0.170509
27383,0
27383.5,0.256297
27384,0.300758
27384.5,0.598245
27385,0.874323
27385.5,0.948435
27386,1.23201
27386.5,1.85651
27387,2.27238
27387.5,2.3655
27388,2.45936
27388.5,2.76087
27389,2.84812
27389.5,3.34812
27390,3.99926
27390.5,4.57967
27391,5.24491
27391.5,5.74491
27392,6.27754
27392.5,7.04337
27393,8.17975
27393.5,9.31613
27394,10.4525
27394.5,11.5889
27395,12.7253
27395.5,13.8617
27396,14.7911
27396.5,15.3238
27397,15.8011
27397.5,15.9314
27398,16.0609
27398.5,16.1898
27399,16.3177
27399.5,16.4453
27400,16.5343
27400.5,16.4381
27401,15.8469
27401.5,14.5742
27402,14
27402.5,14
27403,14
27403.5,14
27404,14.5
27404.5,15.5
27405,16.75
27405.5,17.6834
27406,18.2613
27406.5,18.0681
27407,17.9716
27407.5,17.9233
27408,17.8991
27408.5,17.8871
27409,17.881
27409.5,17.878
27410,17.8765
27410.5,17.8758
27411,17.8754
27411.5,17.8752
27412,17.8751
27412.5,17.875
27413,17.875
27413.5,17.875
27414,17.875
27414.5,17.875
27415,17.8464
27415.5,17.7518
27416,17.6383
27416.5,17.56
27417,17.5371
27417.5,17.5658
27418,17.6143
27418.5,17.599
27419,17.675
27419.5,17.734
27420,17.3494
27420.5,15.9647
27421,14
27421.5,14
27422,13.9988
27422.5,13.9984
27423,14
27423.5,14.1414
27424,14.4004
27424.5,14.7841
27425,15.2853
27425.5,15.8465
27426,16.3771
27426.5,16.8168
27427,17.4394
27427.5,17.7372
27428,17.8676
27428.5,17.9778
27429,17.9264
27429.5,17.9007
27430,17.8878
27430.5,17.8814
27431,17.8782
27431.5,17.8766
27432,17.8758
27432.5,17.8754
27433,17.8752
