time,RSUExampleScenario.node[1703].veinsmobility.speed
27252.5,3.19482
27253,3.69482
27253.5,4.69482
27254,5.94482
27254.5,3.69482
27255,3.69482
27255.5,2.77154
27256,2.77154
27256.5,3.27154
27257,4.27154
27257.5,4.29557
27258,4.21924
27258.5,4.08309
27259,3.92765
27259.5,3.81296
27260,3.85919
27260.5,3.93819
27261,4.00953
27261.5,4.28704
27262,4.55417
27262.5,5.13514
27263,2.88514
27263.5,2.88514
27264,0
27264.5,0
27265,1
27265.5,0.75
27266,0
27266.5,0.698413
27267,1.40754
27267.5,2.61668
27268,3.20341
27268.5,3.78165
27269,4.20054
27269.5,4.30235
27270,4.40056
27270.5,4.49145
27271,4.56169
27271.5,4.62855
27272,4.72829
27272.5,5.03249
27273,5.40538
27273.5,5.83903
27274,6.40568
27274.5,6.96482
27275,7.46397
27275.5,7.91164
27276,8.2795
27276.5,8.53012
27277,8.65667
27277.5,8.77383
27278,9.39099
27278.5,9.48505
27279,10.0791
27279.5,10.6709
27280,11.2733
27280.5,11.9313
27281,12.6751
27281.5,13.5328
27282,14.6692
27282.5,15.8056
27283,15.5556
27283.5,15.8056
27284,16.5556
27284.5,17.2033
27285,17.3418
27285.5,17.4776
27286,16.4732
27286.5,16.4732
27287,15.7032
27287.5,14.8099
27288,14.2943
27288.5,14
27289,14
27289.5,14
27290,14.5
27290.5,15.3494
27291,16.2433
27291.5,17.1298
27292,17.9458
27292.5,18.6376
27293,18.4346
27293.5,18.333
27294,18.2822
27294.5,18.2569
27295,18.2442
27295.5,18.2378
27296,18.2347
27296.5,18.2331
27297,18.2323
27297.5,18.2319
27298,18.2317
27298.5,18.2316
27299,18.2315
27299.5,18.2315
27300,18.2315
27300.5,18.2315
27301,18.2315
27301.5,18.2315
27302,18.2315
27302.5,18.35
27303,18.2907
27303.5,18.2611
27304,18.2463
27304.5,18.2389
27305,18.2352
27305.5,18.1523
27306,17.0694
27306.5,15.6141
27307,14
27307.5,14
27308,14
27308.5,14
27309,14
27309.5,14.5
27310,15.5
27310.5,16.75
27311,18
27311.5,19.25
27312,19
27312.5,18.75
27313,18.5
27313.5,18.3657
27314,18.2986
27314.5,18.265
27315,18.2483
27315.5,18.2399
27316,18.2357
27316.5,18.2336
27317,18.2325
27317.5,18.232
27318,18.2317
27318.5,18.2316
