time,ProvidenciaExampleScenario.node[2243].veinsmobility.speed
27332.5,6.9
27333,8.15
27333.5,8.27099
27334,8.77099
27334.5,9.27099
27335,9.77099
27335.5,10.271
27336,11.271
27336.5,11.355
27337,9.10497
27337.5,9.10497
27338,6.99902
27338.5,6.99902
27339,7.49902
27339.5,7.62779
27340,7.72889
27340.5,7.7805
27341,7.76465
27341.5,7.6668
27342,7.47517
27342.5,6.28355
27343,4.09192
27343.5,4.09192
27344,4.59192
27344.5,4.67842
27345,4.71581
27345.5,4.68221
27346,3.64861
27346.5,1.6614
27347,1.6614
27347.5,2.1614
27348,3.1614
27348.5,3.21411
27349,2.15734
27349.5,2.15734
27350,1.70137
27350.5,1.45734
27351,1.31603
27351.5,1.67471
27352,1.7732
27352.5,1.50654
27353,1.32307
27353.5,1.19081
27354,1.07711
27354.5,0.962454
27355,0
27355.5,0.0788018
27356,0.158007
27356.5,0.234929
27357,0.307242
27357.5,0.370933
27358,0.421868
27358.5,0.459178
27359,0
27359.5,0.580212
27360,0.621907
27360.5,0.662204
27361,0.720991
27361.5,1.04553
27362,1.28384
27362.5,1.91931
27363,2.86204
27363.5,4.11204
27364,5.36204
27364.5,6.61204
27365,7.86204
27365.5,5.97699
27366,5.97699
27366.5,6.47699
27367,7.47699
27367.5,8.72699
27368,8.85249
27368.5,8.71138
27369,7.84638
27369.5,6.61852
27370,5.79048
27370.5,5.23139
27371,4.77695
27371.5,4.32813
27372,3.83312
27372.5,3.17236
27373,3.17236
27373.5,3.03396
27374,2.95411
27374.5,2.90547
27375,2.87385
27375.5,2.85167
27376,2.8347
27376.5,2.82042
27377,2.80722
27377.5,2.794
27378,2.77993
27378.5,2.86241
27379,2.76062
27379.5,2.00191
27380,1.42687
27380.5,1.27392
27381,1.58863
27381.5,2.14206
27382,2.81788
27382.5,2.46244
27383,1.9182
27383.5,1.78216
27384,2.0865
27384.5,2.45418
27385,2.63934
27385.5,2.44341
27386,1.93993
27386.5,1.49112
27387,1.30805
27387.5,1.51771
27388,1.62073
27388.5,0.805875
27389,0
27389.5,0
27390,0
27390.5,0.0538162
27391,0.116936
27391.5,0.18249
27392,0
27392.5,0
27393,0
27393.5,0
27394,0
27394.5,0.0538649
27395,0
27395.5,0.0268406
27396,0.283238
27396.5,0
27397,0.34144
27397.5,0
27398,0.303081
27398.5,1.10616
27399,1.72759
27399.5,1.81648
27400,2.11396
27400.5,1.36014
27401,1.36014
27401.5,0.79591
27402,0
27402.5,0.0444121
27403,0.160463
27403.5,0.606943
27404,1.40069
27404.5,2.42257
27405,3.67257
27405.5,4.76191
27406,4.86591
27406.5,4.90491
27407,4.82196
27407.5,4.74271
27408,4.76847
27408.5,4.78563
27409,4.85043
27409.5,4.93371
27410,4.94157
27410.5,2.69157
27411,2.69157
27411.5,3.19157
27412,0.941569
27412.5,0.46365
27413,0.220896
27413.5,0.0970935
27414,0.0339116
27414.5,0.00176372
27415,0
27415.5,0
27416,0.111702
27416.5,0.220374
27417,0.319707
27417.5,0.402952
27418,0.462868
27418.5,0.491686
27419,0.498805
27419.5,0.486874
27420,0
27420.5,0
27421,0
27421.5,0
27422,0
27422.5,0
27423,0
27423.5,0
27424,0
27424.5,0
27425,0
27425.5,0
27426,0
27426.5,0
27427,0
27427.5,0
27428,0
27428.5,0
27429,0
27429.5,0
27430,0
27430.5,0
27431,0
27431.5,0
27432,0
27432.5,0
27433,0
27433.5,0
27434,0
27434.5,0
27435,0
27435.5,0
27436,0
27436.5,0
27437,0
27437.5,0
27438,0
27438.5,0
27439,0
27439.5,0
27440,0
27440.5,0
27441,0
27441.5,0
27442,0
27442.5,0
27443,0
27443.5,0
27444,0
27444.5,0
27445,0
27445.5,0
27446,0
27446.5,0
27447,0
27447.5,0
27448,0
27448.5,0
27449,0
27449.5,0
27450,0
27450.5,0
27451,0
27451.5,0
27452,0
27452.5,0
27453,0
27453.5,0
27454,0
27454.5,0
27455,0
27455.5,0
27456,0
27456.5,0
27457,0
27457.5,0
27458,0
27458.5,0
27459,0
27459.5,0
27460,0
27460.5,0
27461,0
27461.5,0
27462,0
27462.5,0
27463,0
27463.5,0
27464,0
27464.5,0
27465,0
27465.5,0
27466,0
27466.5,0
27467,0
27467.5,0
27468,0
27468.5,0
27469,0
27469.5,0
27470,0
27470.5,0
27471,0
27471.5,0
27472,0
27472.5,0
27473,0
27473.5,0
27474,0
27474.5,0
27475,0
27475.5,0
27476,0
27476.5,0
27477,0
27477.5,0
27478,0
27478.5,0
27479,0
27479.5,0
27480,0
27480.5,0
27481,0
27481.5,0
27482,0
27482.5,0
27483,0
27483.5,0
27484,0
27484.5,0
27485,0
27485.5,0
27486,0
27486.5,0
27487,0
27487.5,0
27488,0
27488.5,0
27489,0
27489.5,0
27490,0
27490.5,0
27491,0
27491.5,0
27492,0
27492.5,0
27493,0
27493.5,0
27494,0
27494.5,0
27495,0
27495.5,0
27496,0
27496.5,0
27497,0
27497.5,0
27498,0
27498.5,0
27499,0
27499.5,0
27500,0
27500.5,0
27501,0
27501.5,1
27502,2.25
27502.5,3.5
27503,4.75
27503.5,6
27504,7.25
27504.5,8.5
27505,9
27505.5,9
27506,9
27506.5,9
27507,9.5
27507.5,10.5
27508,11.75
27508.5,13
27509,14.25
27509.5,15.5
27510,15.3677
27510.5,15.3015
27511,15.2684
27511.5,15.2519
27512,15.2436
27512.5,15.2395
27513,15.2374
27513.5,15.2364
27514,15.2359
27514.5,15.2356
27515,15.2355
27515.5,15.2354
27516,15.2354
27516.5,15.2354
27517,15.2353
27517.5,15.2353
27518,15.2353
27518.5,15.2353
27519,15.2353
27519.5,15.7353
27520,15.4853
27520.5,15.3603
