time,ProvidenciaExampleScenario.node[4026].veinsmobility.speed
27597,3.22245
27597.5,2.39886
27598,1.89336
27598.5,1.45129
27599,1.13345
27599.5,0.881544
27600,0
27600.5,0.334031
27601,0.385567
27601.5,0
27602,0.0526742
27602.5,0.103676
27603,0.14963
27603.5,0.187346
27604,0.214157
27604.5,0
27605,0.0404039
27605.5,0.0793171
27606,0.11374
27606.5,0.140892
27607,0
27607.5,0.0325698
27608,0.0638269
27608.5,0.0911349
27609,0
27609.5,0.0282087
27610,0.0552258
27610.5,0
27611,0.0261625
27611.5,0.0511958
27612,0
27612.5,0
27613,0
27613.5,0
27614,0
27614.5,0.0252568
27615,0.0504921
27615.5,0.351247
27616,1.152
27616.5,2.402
27617,3.652
27617.5,3.57845
27618,4.0049
27618.5,4.93135
27619,6.18135
27619.5,7.40391
27620,7.53118
27620.5,7.65679
27621,7.78079
27621.5,7.90379
27622,8.03257
27622.5,8.53257
27623,9.03257
27623.5,7.69907
27624,5.64907
27624.5,5.64907
27625,4.818
27625.5,4.42322
27626,4.23671
27626.5,3.05019
27627,3.05019
27627.5,3.55019
27628,4.55019
27628.5,5.80019
27629,7.05019
27629.5,4.80019
27630,4.80019
27630.5,3.60804
27631,2.90863
27631.5,2.38376
27632,2.06372
27632.5,1.91731
27633,1.80665
27633.5,1.79444
27634,1.8216
27634.5,1.61785
27635,1.03139
27635.5,0.538233
27636,0
27636.5,0.128552
27637,0.242661
27637.5,0.350983
27638,0.558293
27638.5,1.07163
27639,1.91038
27639.5,2.22102
27640,1.72009
27640.5,1.57126
27641,1.52585
27641.5,1.48023
27642,1.40327
27642.5,1.24638
27643,0.90745
27643.5,0
27644,0.0510084
27644.5,0.112987
27645,0.178578
27645.5,0.241863
27646,0.29931
27646.5,0.349182
27647,0.3912
27647.5,0.426177
27648,0
27648.5,0
27649,0.0569185
27649.5,0.127184
27650,0.204065
27650.5,0.282494
27651,0.357477
27651.5,0.424856
27652,0.482308
27652.5,0.536914
27653,0
27653.5,0.188628
27654,0.556655
27654.5,0
27655,0
27655.5,0
27656,0
27656.5,0
27657,0
27657.5,0
27658,0
27658.5,0
27659,0
27659.5,0
27660,0
27660.5,0
27661,0
27661.5,0
27662,0
27662.5,0
27663,0
27663.5,0
27664,0
27664.5,0
27665,0
27665.5,0
27666,0
27666.5,0
27667,0
27667.5,0
27668,0
