time,ProvidenciaExampleScenario.node[1857].veinsmobility.speed
27274.5,6.9
27275,8.15
27275.5,9.4
27276,10.65
27276.5,11.9
27277,13.15
27277.5,14.4
27278,15.65
27278.5,15.7853
27279,16.4206
27279.5,17.5559
27280,18.8059
27280.5,18.5559
27281,18.3059
27281.5,18.0559
27282,17.8127
27282.5,17.6911
27283,17.6303
27283.5,17.5998
27284,16.5694
27284.5,14.8527
27285,14
27285.5,14
27286,14
27286.5,14
27287,14.284
27287.5,14.5455
27288,15.307
27288.5,16.557
27289,14.5974
27289.5,14
27290,14
27290.5,14
27291,14
27291.5,14.5
27292,15.5
27292.5,14.5132
27293,13.4926
27293.5,12.5883
27294,12.5883
27294.5,12.2457
27295,11.9052
27295.5,11.0285
27296,10.2292
27296.5,9.49005
27297,8.81329
27297.5,8.18651
27298,7.59417
27298.5,7.05716
27299,6.58655
27299.5,6.15415
27300,5.70013
27300.5,5.27898
27301,4.89798
27301.5,5.01698
27302,4.57136
27302.5,4.16683
27303,3.80854
27303.5,3.48012
27304,3.16064
27304.5,2.8867
27305,2.67446
27305.5,2.96222
27306,2.55064
27306.5,2.20459
27307,2.35855
27307.5,1.90139
27308,1.53456
27308.5,1.27089
27309,1.07766
27309.5,0.938401
27310,0
27310.5,0.062846
27311,0.126069
27311.5,0.184556
27312,0.243156
27312.5,0.30089
27313,0.357535
27313.5,0
27314,0.0620495
27314.5,0.124428
27315,0.182083
27315.5,0.239935
27316,0.296997
27316.5,0.325658
27317,0
27317.5,0.0613894
27318,0.125125
27318.5,0.186034
27319,0.239081
27319.5,0.282419
27320,0.315358
27320.5,0.367493
27321,0
27321.5,0.059683
27322,0.119643
27322.5,0.174856
27323,0.222972
27323.5,0.262523
27324,0.293123
27324.5,0
27325,0.056299
27325.5,0.111264
27326,0.162341
27326.5,0.207471
27327,0.245388
27327.5,0.275653
27328,0
27328.5,0.0513323
27329,0.102124
27329.5,0.149944
27330,0.192758
27330.5,0.229162
27331,0.255642
27331.5,0
27332,0.0463063
27332.5,0.0926975
27333,0.136742
27333.5,0.17461
27334,0.202613
27334.5,0
27335,0.042233
27335.5,0.0850306
27336,0.124563
27336.5,0.157085
27337,0
27337.5,0.317528
27338,0
27338.5,0.282188
27339,0
27339.5,0.272228
27340,0.547782
27340.5,0.61563
27341,0.893736
27341.5,1.35681
27342,2.02849
27342.5,2.96883
27343,4.03147
27343.5,5.13956
27344,6.23098
27344.5,7.26902
27345,8.23554
27345.5,9.26844
27346,9.40966
27346.5,9.54945
27347,9.68716
27347.5,9.82214
27348,9.94778
27348.5,10.0122
27349,10.0541
27349.5,10.0641
27350,7.81411
27350.5,7.81411
27351,8.31411
27351.5,8.90705
27352,9
27352.5,9
27353,9
27353.5,9
27354,9.5
27354.5,10.5
27355,11.75
27355.5,13
27356,14.25
27356.5,14.9084
27357,14.7748
27357.5,14.708
27358,14.6746
27358.5,14.6579
27359,14.6496
27359.5,14.6454
27360,14.6433
27360.5,14.6422
27361,14.6417
27361.5,14.8415
27362,14.7413
27362.5,14.6913
27363,14.6662
27363.5,14.6537
27364,14.6475
27364.5,14.6443
27365,14.6428
27365.5,14.642
27366,14.6416
27366.5,14.6414
27367,14.6413
27367.5,14.6413
27368,14.6412
27368.5,14.6412
27369,14.6412
27369.5,12.3912
27370,12.3912
27370.5,12.8912
27371,13.8912
27371.5,15.1412
27372,14.8912
27372.5,14.7662
27373,14.7037
27373.5,14.6725
27374,14.6568
27374.5,14.649
27375,14.6451
27375.5,14.6432
27376,14.6422
27376.5,14.6417
27377,14.6414
27377.5,14.6413
27378,14.6413
27378.5,14.6412
27379,14.6412
27379.5,14.6412
27380,14.6412
27380.5,14.6412
27381,14.6412
27381.5,14.6412
27382,15.1412
27382.5,14.8912
27383,14.7662
27383.5,14.7037
27384,14.6725
27384.5,14.6568
27385,14.649
27385.5,14.6451
27386,14.6432
27386.5,14.6422
27387,14.6417
27387.5,14.6414
27388,14.6413
27388.5,14.6413
27389,14.6412
