time,ProvidenciaExampleScenario.node[4296].veinsmobility.speed
27640.5,1.40029
27641,1.40029
27641.5,0.745811
27642,0.745811
27642.5,0
27643,0.0965225
27643.5,0.197891
27644,0.30085
27644.5,0.402996
27645,1.00514
27645.5,1.04167
27646,1.57819
27646.5,1.50436
27647,1.60864
27647.5,1.51244
27648,1.44508
27648.5,1.3616
27649,1.27109
27649.5,1.2165
27650,1.17503
27650.5,1.14383
27651,1.12346
27651.5,1.11381
27652,1.11323
27652.5,1.1202
27653,1.18341
27653.5,1.47958
27654,1.53815
27654.5,0
27655,0.930544
27655.5,0
27656,0.0791412
27656.5,0.156886
27657,0.230526
27657.5,0.29774
27658,0.356855
27658.5,0.406966
27659,0.447854
27659.5,0.476074
27660,0
27660.5,0.0704364
27661,0.140767
27661.5,0.208304
27662,0.270728
27662.5,0.326246
27663,0.37101
27663.5,0.401057
27664,0
27664.5,0.06494
27665,0.130155
27665.5,0.192787
27666,0.248632
27666.5,0.293538
27667,0.326052
27667.5,0
27668,0.0589751
27668.5,0.117217
27669,0.170552
27669.5,0.216312
27670,0.252555
27670.5,0
27671,0.0510484
27671.5,0.101138
27672,0.14677
27672.5,0.184579
27673,0.212696
27673.5,0
27674,0.0414768
27674.5,0.0814425
27675,0.116855
27675.5,0.144889
27676,0
27676.5,0.033574
27677,0.0658098
27677.5,0.0940187
27678,0
27678.5,0.0291492
27679,0.0570794
27679.5,0
27680,0.0270662
27680.5,0.052975
27681,0
27681.5,0.0250672
27682,0
27682.5,0
27683,0
27683.5,0
27684,0
27684.5,0
27685,0
27685.5,0
27686,0
27686.5,0
27687,0.358882
27687.5,0.609429
27688,0
27688.5,0
27689,0.0454286
27689.5,0.0898781
27690,0.348712
27690.5,0.636347
27691,0.686997
27691.5,0.799779
27692,1.04803
27692.5,1.48083
27693,1.90287
27693.5,2.38051
27694,2.40098
27694.5,2.92145
27695,2.76681
27695.5,1.61217
27696,-0.0896643
27696.5,0
27697,0
27697.5,0
27698,0.569444
27698.5,1.43403
27699,1.64812
27699.5,1.28855
27700,0.981705
27700.5,0
27701,0.912645
27701.5,1.94883
27702,3.09192
27702.5,4.28847
27703,4.64368
27703.5,3.82119
27704,1.9987
27704.5,0.123031
27705,0.493652
27705.5,0
27706,0
27706.5,0
27707,0
27707.5,0
27708,0
27708.5,0.5
27709,1.5
27709.5,2.75
