time,ProvidenciaExampleScenario.node[5387].veinsmobility.speed
27847.5,6.80475
27848,6.91238
27848.5,6.97839
27849,7.00658
27849.5,6.96181
27850,5.91703
27850.5,4.62947
27851,3.03277
27851.5,3.03277
27852,0.946462
27852.5,0
27853,0.489787
27853.5,1.47957
27854,1.39823
27854.5,1.19025
27855,0.905329
27855.5,0
27856,0.0340003
27856.5,0.0681939
27857,0.0994447
27857.5,0.12494
27858,0
27858.5,0.0305416
27859,0.0600104
27859.5,0.0858282
27860,0
27860.5,0.0267529
27861,0.0524205
27861.5,0
27862,0
27862.5,0.0250123
27863,0
27863.5,0.242066
27864,0.779805
27864.5,1.53013
27865,0
27865.5,0
27866,0.5
27866.5,1.5
27867,2.75
27867.5,1.93956
27868,1.397
27868.5,0.909098
27869,0.801999
27869.5,1.15046
27870,1.79766
27870.5,2.57674
27871,3.50651
27871.5,4.55402
27872,5.07778
27872.5,5.94346
27873,6.99071
27873.5,8.13404
27874,9.3307
27874.5,10.554
27875,11.804
27875.5,13.054
27876,14.304
27876.5,15.549
27877,16.236
27877.5,16.623
27878,17.0252
27878.5,17.163
27879,17.3004
27879.5,17.2894
27880,16.9306
27880.5,15.5796
27881,14
27881.5,14
27882,14
27882.5,14.5
27883,15.2569
27883.5,15.5467
27884,15.4122
27884.5,15.345
27885,15.3114
27885.5,15.2946
27886,15.2862
27886.5,15.282
27887,15.2799
27887.5,15.2788
27888,15.2783
27888.5,14.2778
27889,12.4224
27889.5,10.1724
27890,10.1724
27890.5,10.2694
27891,10.2368
27891.5,10.1612
27892,10.0538
27892.5,9.72129
27893,9.61474
27893.5,9.50095
27894,9.20745
27894.5,8.92298
27895,8.64129
27895.5,8.40543
27896,8.31822
27896.5,7.50679
27897,6.71095
27897.5,6.38324
27898,5.91737
27898.5,5.72585
27899,5.22273
27899.5,4.29436
27900,3.82889
