time,ProvidenciaExampleScenario.node[3823].veinsmobility.speed
27564.5,5.78709
27565,5.92534
27565.5,6.06274
27566,6.19975
27566.5,6.33649
27567,6.97324
27567.5,8.10998
27568,9.35998
27568.5,10.61
27569,11.86
27569.5,13.11
27570,14.36
27570.5,15.61
27571,15.4227
27571.5,15.329
27572,15.2822
27572.5,15.2197
27573,15.2059
27573.5,15.0449
27574,14.9248
27574.5,14.2299
27575,13.6132
27575.5,13.3301
27576,12.9821
27576.5,12.583
27577,12.1526
27577.5,11.7171
27578,11.2718
27578.5,10.8368
27579,10.3962
27579.5,9.77118
27580,8.83247
27580.5,7.85826
27581,7.09276
27581.5,6.51139
27582,6.0553
27582.5,5.68647
27583,5.26638
27583.5,4.7142
27584,4.11309
27584.5,3.52384
27585,3.26618
27585.5,2.00852
27586,0
27586.5,0
27587,0
27587.5,0
27588,0.040936
27588.5,0
27589,0
27589.5,0
27590,0
27590.5,0
27591,0
27591.5,0
27592,0
27592.5,0
27593,0
27593.5,0
27594,0
27594.5,0
27595,0
27595.5,0
27596,0
27596.5,0
27597,0
27597.5,0
27598,0
27598.5,0
27599,0
27599.5,0
27600,0
27600.5,0.0259632
27601,0
27601.5,0.0253101
27602,0.0529416
27602.5,0.0814401
27603,0.10731
27603.5,0.132963
27604,0
27604.5,0.033149
27605,0.32548
27605.5,0.613681
27606,0.678089
27606.5,0.917722
27607,1.3266
27607.5,1.90928
27608,2.67286
27608.5,3.85181
27609,5.02736
27609.5,6.22815
27610,7.45355
27610.5,8.69125
27611,9.86077
27611.5,10.8951
27612,11.4343
27612.5,11.557
27613,9.30705
27613.5,9.30705
27614,9.80705
27614.5,10.7773
27615,8.52733
27615.5,8.52733
27616,6.27733
27616.5,6.27733
27617,4.02733
27617.5,1.77733
27618,1.77733
27618.5,0.987604
27619,0
27619.5,0
27620,0
27620.5,0
27621,0
27621.5,0
27622,0
27622.5,0
27623,0
27623.5,0
27624,0
27624.5,0
27625,0
27625.5,0
27626,0
27626.5,0.622414
27627,1.26919
27627.5,1.35204
27628,0.895036
27628.5,0
27629,0
27629.5,0
27630,0
27630.5,0
27631,0.5
27631.5,0.575598
27632,0
27632.5,0
27633,0.910887
27633.5,0.986437
27634,0
27634.5,0
27635,0.5
27635.5,0
27636,0
27636.5,0.6429
27637,0
27637.5,0
27638,0.5
27638.5,0.55672
27639,0
27639.5,0.782656
27640,0
27640.5,0
27641,0.5
27641.5,0
27642,0.756871
27642.5,0.814408
27643,0
27643.5,0.828062
27644,0
27644.5,0
27645,0
27645.5,0.59419
27646,0
27646.5,0
27647,0
27647.5,0
27648,0.550688
27648.5,0
27649,0
27649.5,0.649567
27650,0
27650.5,0
27651,0
27651.5,0
27652,0.593545
27652.5,0
27653,0.632687
27653.5,0
27654,0.0681864
27654.5,0.136401
27655,0.200009
27655.5,0.257595
27656,0.307448
27656.5,0.346052
27657,0
27657.5,0.0623241
27658,0.124416
27658.5,0.18352
27659,0.247904
27659.5,0.290515
27660,0.323657
27660.5,0
27661,0.0588766
27661.5,0.117065
27662,0.171952
27662.5,0.221334
27663,0.263624
27663.5,0.295261
27664,0
27664.5,0.0533385
27665,0.343653
27665.5,0
27666,0.053339
27666.5,0.106417
27667,0.154843
27667.5,0.196332
27668,0.229454
27668.5,0
27669,0.0493813
27669.5,0.0974446
27670,0.141639
27670.5,0.17984
27671,0.208939
27671.5,0
27672,0.0423617
27672.5,0.0847011
27673,0.123441
27673.5,0.15507
27674,0
27674.5,0.0384815
27675,0.0757874
27675.5,0.109639
27676,0.137152
27676.5,0
27677,0.032436
27677.5,0.0635628
27678,0.090751
27678.5,0
27679,0.0280838
27679.5,0.0549795
27680,0
27680.5,0.0260426
27681,0
27681.5,0.0253884
27682,0
27682.5,0
27683,0
27683.5,0
27684,0
27684.5,0
27685,0
27685.5,0
27686,0
27686.5,0
27687,0
27687.5,0
27688,0
27688.5,0
27689,0
27689.5,0
27690,0
27690.5,0
27691,0
27691.5,0
27692,0
27692.5,0
27693,0
27693.5,0
27694,0
27694.5,0
27695,0
27695.5,0
27696,0
27696.5,0
27697,0
27697.5,0
27698,0
27698.5,0
27699,0
27699.5,0
27700,0
27700.5,0
27701,0
27701.5,0
27702,0
27702.5,0
27703,0
27703.5,0
27704,0
27704.5,0
27705,0
27705.5,0
27706,0
27706.5,0
27707,0
27707.5,0
27708,0
27708.5,0
27709,0
27709.5,0
27710,0
27710.5,0
27711,0
27711.5,0
27712,0
27712.5,0
27713,0
27713.5,0
27714,0
27714.5,0
27715,0
27715.5,0
27716,0
