time,ProvidenciaExampleScenario.node[2795].veinsmobility.speed
27409,6.9
27409.5,8.15
27410,9.4
27410.5,10.65
27411,11.9
27411.5,12.0463
27412,12.1918
27412.5,12.3365
27413,12.9812
27413.5,13.1125
27414,13.7438
27414.5,14.8751
27415,16.1251
27415.5,16.0409
27416,15.9989
27416.5,15.9778
27417,15.9673
27417.5,15.962
27418,15.9594
27418.5,15.9581
27419,15.9574
27419.5,15.9571
27420,15.957
27420.5,15.9545
27421,15.8506
27421.5,16.2466
27422,16.081
27422.5,15.9151
27423,14.7492
27423.5,13.0545
27424,11
27424.5,11
27425,11
27425.5,11
27426,11
27426.5,11
27427,11
27427.5,11
27428,11
27428.5,11
27429,11
27429.5,11
27430,11
27430.5,11
27431,11.5
27431.5,11.6206
27432,11.7306
27432.5,11.8285
27433,11.9132
27433.5,11.9834
27434,12.0384
27434.5,12.0734
27435,10.9073
27435.5,9.80137
27436,8.7186
27436.5,7.72817
27437,7.72817
27437.5,6.57874
27438,6.57874
27438.5,5.8099
27439,5.18425
27439.5,4.66531
27440,4.17199
27440.5,3.59514
27441,3.33336
27441.5,2.07159
27442,0
27442.5,0
27443,0.0882035
27443.5,0.180864
27444,0.271709
27444.5,0.862555
27445,0.923276
27445.5,0.975404
27446,1.0187
27446.5,0.905476
27447,0
27447.5,0.508338
27448,0.538244
27448.5,0.574026
27449,1.03391
27449.5,1.05912
27450,1.08013
27450.5,1.09386
27451,0.593819
27451.5,0
27452,0.448361
27452.5,0.999801
27453,1.45297
27453.5,2.40613
27454,2.52292
27454.5,2.63793
27455,2.75825
27455.5,2.88172
27456,3.00473
27456.5,3.12695
27457,3.24967
27457.5,3.37398
27458,3.9983
27458.5,5.12261
27459,6.37261
27459.5,6.42731
27460,6.55053
27460.5,7.17375
27461,8.22426
27461.5,9.29757
27462,10.3823
27462.5,11.3999
27463,12.4284
27463.5,13.3124
27464,13.8287
27464.5,13.9546
27465,14.0775
27465.5,14.1964
27466,14.3022
27466.5,14.329
27467,13.8808
27467.5,13.43
27468,11.9791
27468.5,11
27469,11
27469.5,11
27470,11
27470.5,11
27471,11
27471.5,11
27472,11
27472.5,11
27473,11.5
27473.5,12.5
27474,13.75
27474.5,14.6414
27475,15.1867
27475.5,15.318
27476,15.4444
27476.5,15.5637
27477,15.673
27477.5,15.7696
27478,15.8499
27478.5,16.4302
