time,ProvidenciaExampleScenario.node[2000].veinsmobility.speed
27297,6.57525
27297.5,7.30289
27298,5.71423
27298.5,5.71423
27299,6.21423
27299.5,7.21423
27300,7.3162
27300.5,7.41899
27301,7.4899
27301.5,7.55265
27302,7.60813
27302.5,7.65706
27303,7.69999
27303.5,8.24292
27304,9.28586
27304.5,10.5359
27305,11.5717
27305.5,11.7041
27306,11.8231
27306.5,11.9193
27307,11.985
27307.5,12.0062
27308,11.7225
27308.5,10.4388
27309,8.21123
27309.5,8.21123
27310,7.44979
27310.5,5.68835
27311,5.68835
27311.5,5.49896
27312,5.31748
27312.5,5.14704
27313,4.91543
27313.5,4.95387
27314,4.98603
27314.5,2.53151
27315,2.53151
27315.5,0.904907
27316,0
27316.5,0.0429212
27317,0.310185
27317.5,0.359281
27318,0.656152
27318.5,0.70755
27319,0
27319.5,0.269888
27320,0.630253
27320.5,0.952225
27321,1.32304
27321.5,0.477501
27322,0
27322.5,0.0377974
27323,0.300385
27323.5,0
27324,0.047248
27324.5,0.0989358
27325,0.581054
27325.5,1.11761
27326,1.18298
27326.5,0.59131
27327,0.59131
27327.5,1.09131
27328,2.03462
27328.5,1.35018
27329,0.992566
27329.5,0
27330,0.824499
27330.5,1.51645
27331,2.15651
27331.5,2.56576
27332,2.65455
27332.5,1.72332
27333,0.873243
27333.5,0
27334,0.905935
27334.5,2.04232
27335,2.69199
27335.5,3.11502
27336,3.19693
27336.5,3.25755
27337,2.384
27337.5,1.59576
27338,1.00741
27338.5,0
27339,0.509263
27339.5,0.543948
27340,0
27340.5,0.410661
27341,0
27341.5,0.326066
27342,0
27342.5,0.320495
27343,0
27343.5,0.0266646
27344,0.0534408
27344.5,0
27345,0.0274945
27345.5,0.0546253
27346,0
27346.5,0.0278079
27347,0.0552197
27347.5,0
27348,0.028044
27348.5,0.055664
27349,0
27349.5,0.0282117
27350,0.0559754
27350.5,0
27351,0.0283187
27351.5,0.278773
27352,0
27352.5,0.574658
27353,0.865285
27353.5,0
27354,0.488307
27354.5,0.535517
27355,0.560993
27355.5,0
27356,0.428951
27356.5,0.473082
27357,0.512634
27357.5,0.546956
27358,0.575298
27358.5,0.602235
27359,0
27359.5,0.37346
27360,0
27360.5,0.369092
27361,0
27361.5,0.380871
27362,0
27362.5,0.301578
27363,0
27363.5,0.323866
27364,0
27364.5,0.335376
27365,0
27365.5,0.330208
27366,0.6406
27366.5,0.538008
27367,0.411206
27367.5,0.307181
27368,0.223804
27368.5,0.158928
27369,0.110143
27369.5,0.0746736
27370,0.0497229
27370.5,0.0326104
27371,0.0211848
27371.5,0.013668
27372,0.00876575
27372.5,0.0056001
27373,0.00355307
27373.5,0.00225592
27374,0.00144567
27374.5,0.000911155
27375,0
27375.5,0.321132
27376,0.710773
27376.5,1.09716
27377,1.35017
27377.5,1.63656
27378,2.04398
27378.5,2.62889
27379,3.7138
27379.5,3.95005
27380,4.61515
27380.5,5.5268
27381,6.60517
27381.5,7.76936
27382,8.97645
27382.5,10.205
27383,11.4443
27383.5,12.6943
27384,13.7467
27384.5,14.3564
27385,14.7829
27385.5,14.8638
27386,14.8931
27386.5,14
27387,14
27387.5,14
27388,14
27388.5,14.5
27389,15.5
27389.5,16.75
27390,17.4658
27390.5,17.7702
27391,17.8993
27391.5,18.0127
27392,17.9693
27392.5,17.9476
27393,17.9368
27393.5,17.9313
27394,17.9286
27394.5,17.9128
27395,17.6508
27395.5,17.5592
27396,17.5134
27396.5,17.4905
27397,17.479
27397.5,17.4733
27398,17.4704
27398.5,17.469
27399,17.4682
27399.5,17.4679
27400,17.4677
27400.5,17.4676
27401,17.4676
27401.5,17.4675
27402,17.4675
27402.5,17.7176
27403,15.8191
27403.5,15.8191
27404,15.5739
27404.5,15.5074
27405,15.7773
27405.5,14.9316
27406,14
27406.5,14
27407,13.9996
27407.5,13.9993
27408,14
27408.5,14.5007
27409,15.5014
27409.5,16.716
27410,17.4899
27410.5,17.8033
27411,17.8917
27411.5,17.8412
27412,16.7908
27412.5,16.7908
27413,17.2908
27413.5,17.6304
27414,17.7571
27414.5,17.8555
27415,17.8933
27415.5,17.778
27416,17.6228
27416.5,17.5452
27417,17.5064
27417.5,17.9675
27418,17.9467
